Return_ID,Return Type,Return Creation Date,Return Closed Date,Customer ID,SR ID,Product ID,R Order ID,Return Status,Return Value ($),Cost ($)
RET-50016,Defective,2025-05-06,2025-06-25,CUST-10853,SR-80616,PROD-11991,ORD-44358,In Progress,856,1743
RET-50017,Wrong Item,2025-08-23,2025-02-06,CUST-10205,SR-80641,PROD-11482,ORD-42583,Closed,2716,1228
RET-50018,Damaged,2025-04-23,2025-05-16,CUST-10452,SR-83709,PROD-11327,ORD-41852,Rejected,2210,3903
RET-50019,Damaged,2025-06-17,2025-01-03,CUST-10319,SR-82367,PROD-11458,ORD-44033,Approved,2195,1402
RET-50020,Warranty Claim,2025-02-01,2025-06-19,CUST-10422,SR-82756,PROD-11132,ORD-43854,In Progress,1046,3639
RET-50021,Customer Dissatisfaction,2025-07-27,2025-03-08,CUST-10928,SR-82319,PROD-11722,ORD-41877,Approved,4080,2534
RET-50022,Damaged,2025-02-08,2025-07-08,CUST-10970,SR-84172,PROD-11438,ORD-40240,Approved,3524,2106
RET-50023,Damaged,2025-01-01,2025-02-25,CUST-10717,SR-84761,PROD-11120,ORD-41845,Closed,1533,511
RET-50024,Defective,2025-08-21,2025-06-09,CUST-10822,SR-82191,PROD-11701,ORD-43752,Approved,2982,3523
RET-50025,Warranty Claim,2025-07-03,2025-02-06,CUST-10928,SR-84715,PROD-11062,ORD-41533,Approved,1793,207
RET-50026,Damaged,2025-08-11,2025-02-11,CUST-10542,SR-82868,PROD-11288,ORD-40189,In Progress,670,1014
RET-50027,Warranty Claim,2025-03-14,2025-03-20,CUST-10870,SR-83732,PROD-11631,ORD-41740,Open,1730,2879
RET-50028,Warranty Claim,2025-07-27,2025-02-03,CUST-10899,SR-80471,PROD-11497,ORD-40846,In Progress,4933,398
RET-50029,Warranty Claim,2025-08-24,2025-04-13,CUST-10237,SR-82531,PROD-11757,ORD-42625,Approved,242,3983
RET-50030,Wrong Item,2025-04-17,2025-01-01,CUST-10282,SR-82212,PROD-11632,ORD-43501,Approved,2219,96
RET-50031,Damaged,2025-06-15,2025-02-05,CUST-10145,SR-80626,PROD-11271,ORD-44397,Open,204,3657
RET-50032,Damaged,2025-03-09,2025-06-01,CUST-10754,SR-84203,PROD-11049,ORD-41720,Open,617,2529
RET-50033,Customer Dissatisfaction,2025-03-04,2025-04-28,CUST-10728,SR-84820,PROD-11765,ORD-42681,Open,1782,3695
RET-50034,Warranty Claim,2025-08-01,2025-01-16,CUST-10035,SR-81875,PROD-11273,ORD-43693,In Progress,2608,1858
RET-50035,Defective,2025-02-11,2025-03-07,CUST-10908,SR-84576,PROD-11526,ORD-41501,In Progress,415,3777
RET-50036,Damaged,2025-05-09,2025-08-07,CUST-10663,SR-82062,PROD-11789,ORD-43605,Rejected,4399,2854
RET-50037,Defective,2025-06-17,2025-03-26,CUST-10515,SR-83692,PROD-11554,ORD-40089,Closed,4140,2804
RET-50038,Wrong Item,2025-06-05,2025-05-23,CUST-10980,SR-82289,PROD-11933,ORD-43028,Rejected,457,3675
RET-50039,Wrong Item,2025-08-04,2025-03-19,CUST-10048,SR-84127,PROD-11995,ORD-43593,Rejected,3481,1601
RET-50040,Damaged,2025-01-24,2025-05-19,CUST-10136,SR-80371,PROD-11655,ORD-40134,In Progress,555,200
RET-50041,Customer Dissatisfaction,2025-05-18,2025-06-03,CUST-10351,SR-84399,PROD-11335,ORD-40122,Closed,3304,3548
RET-50042,Wrong Item,2025-02-02,2025-06-11,CUST-10133,SR-83245,PROD-11199,ORD-43525,Rejected,4580,301
RET-50043,Defective,2025-06-09,2025-04-02,CUST-10229,SR-81219,PROD-11660,ORD-41433,In Progress,3957,740
RET-50044,Warranty Claim,2025-01-24,2025-04-27,CUST-10330,SR-83504,PROD-11964,ORD-44204,In Progress,4671,742
RET-50045,Defective,2025-02-12,2025-01-26,CUST-10246,SR-83558,PROD-11870,ORD-42887,Approved,3204,3527
RET-50046,Damaged,2025-02-28,2025-06-21,CUST-10454,SR-80276,PROD-11124,ORD-40956,Closed,4529,1238
RET-50047,Customer Dissatisfaction,2025-06-20,2025-02-28,CUST-10669,SR-84551,PROD-11179,ORD-40878,Approved,2843,1714
RET-50048,Customer Dissatisfaction,2025-03-20,2025-07-11,CUST-10007,SR-83071,PROD-11993,ORD-41757,Closed,2460,295
RET-50049,Damaged,2025-06-10,2025-08-01,CUST-10586,SR-80196,PROD-11531,ORD-44477,In Progress,1582,1710
RET-50050,Customer Dissatisfaction,2025-08-26,2025-05-24,CUST-10296,SR-83779,PROD-11635,ORD-42135,Approved,673,3392
RET-50051,Wrong Item,2025-03-20,2025-02-21,CUST-10582,SR-82262,PROD-11299,ORD-43551,Approved,872,3496
RET-50052,Defective,2025-01-13,2025-01-05,CUST-10783,SR-84338,PROD-11077,ORD-44149,Approved,1389,2424
RET-50053,Warranty Claim,2025-02-27,2025-01-30,CUST-10617,SR-81441,PROD-11551,ORD-41370,Closed,3239,2235
RET-50054,Customer Dissatisfaction,2025-08-04,2025-02-06,CUST-10600,SR-81126,PROD-11334,ORD-41710,Open,4567,1998
RET-50055,Wrong Item,2025-07-24,2025-02-04,CUST-10829,SR-80677,PROD-11339,ORD-44928,Approved,1699,1569
RET-50056,Customer Dissatisfaction,2025-02-16,2025-03-23,CUST-10570,SR-82606,PROD-11200,ORD-42140,Open,4617,473
RET-50057,Customer Dissatisfaction,2025-01-24,2025-03-02,CUST-10108,SR-83019,PROD-11380,ORD-41878,In Progress,698,3769
RET-50058,Warranty Claim,2025-05-16,2025-04-27,CUST-11000,SR-83033,PROD-11287,ORD-40493,Rejected,256,662
RET-50059,Wrong Item,2025-05-19,2025-06-05,CUST-10743,SR-80162,PROD-11065,ORD-40611,Approved,130,2262
RET-50060,Warranty Claim,2025-05-17,2025-01-05,CUST-10685,SR-82064,PROD-11236,ORD-41031,Open,351,3547
RET-50061,Damaged,2025-05-11,2025-07-31,CUST-10138,SR-83691,PROD-11697,ORD-44930,Rejected,568,3575
RET-50062,Damaged,2025-01-23,2025-06-19,CUST-10249,SR-81842,PROD-11868,ORD-41597,Rejected,3174,2473
RET-50063,Warranty Claim,2025-06-18,2025-07-16,CUST-10386,SR-84559,PROD-11477,ORD-44390,In Progress,2269,2148
RET-50064,Wrong Item,2025-03-04,2025-08-02,CUST-10309,SR-80079,PROD-11664,ORD-44447,In Progress,3737,1520
RET-50065,Warranty Claim,2025-04-04,2025-02-14,CUST-10761,SR-81537,PROD-11325,ORD-42673,Approved,4620,1615
RET-50066,Warranty Claim,2025-01-04,2025-05-26,CUST-10150,SR-82765,PROD-11502,ORD-41691,Rejected,4768,969
RET-50067,Wrong Item,2025-06-07,2025-07-07,CUST-10661,SR-82922,PROD-11847,ORD-44004,Closed,2780,607
RET-50068,Defective,2025-08-07,2025-06-06,CUST-10288,SR-82173,PROD-11482,ORD-42146,Open,2369,1791
RET-50069,Warranty Claim,2025-03-18,2025-08-11,CUST-10579,SR-84434,PROD-11872,ORD-44373,In Progress,4750,3163
RET-50070,Customer Dissatisfaction,2025-03-25,2025-01-26,CUST-10556,SR-80568,PROD-11598,ORD-42885,Open,4557,2241
RET-50071,Customer Dissatisfaction,2025-08-14,2025-06-19,CUST-10157,SR-81948,PROD-11898,ORD-40426,Open,2754,1742
RET-50072,Wrong Item,2025-07-09,2025-05-30,CUST-10078,SR-83384,PROD-11306,ORD-40347,Closed,4770,879
RET-50073,Wrong Item,2025-03-06,2025-01-27,CUST-10658,SR-81253,PROD-11306,ORD-43501,Open,1367,998
RET-50074,Defective,2025-02-16,2025-06-23,CUST-10979,SR-81983,PROD-11717,ORD-42494,In Progress,4087,1539
RET-50075,Defective,2025-05-27,2025-05-24,CUST-10717,SR-80403,PROD-11616,ORD-40629,Approved,4962,1013
RET-50076,Customer Dissatisfaction,2025-08-17,2025-03-27,CUST-10540,SR-83894,PROD-11277,ORD-44694,Rejected,817,2224
RET-50077,Defective,2025-02-28,2025-05-14,CUST-10043,SR-84435,PROD-11861,ORD-41391,Closed,1289,2038
RET-50078,Customer Dissatisfaction,2025-01-01,2025-07-30,CUST-10905,SR-82317,PROD-11452,ORD-40551,Open,4891,2834
RET-50079,Customer Dissatisfaction,2025-05-23,2025-05-05,CUST-10295,SR-80688,PROD-11495,ORD-42391,In Progress,1784,3762
RET-50080,Wrong Item,2025-02-11,2025-02-28,CUST-10117,SR-80460,PROD-11477,ORD-43443,Rejected,1915,2850
RET-50081,Wrong Item,2025-01-24,2025-08-13,CUST-10010,SR-80146,PROD-11981,ORD-43655,Rejected,2055,2713
RET-50082,Warranty Claim,2025-07-30,2025-08-21,CUST-10497,SR-84759,PROD-11872,ORD-43036,Approved,2538,2453
RET-50083,Customer Dissatisfaction,2025-06-16,2025-05-13,CUST-10641,SR-82755,PROD-11106,ORD-41407,In Progress,632,2369
RET-50084,Defective,2025-04-05,2025-07-28,CUST-10623,SR-84139,PROD-11247,ORD-42794,Open,470,1577
RET-50085,Defective,2025-05-15,2025-07-14,CUST-10759,SR-84312,PROD-11606,ORD-44508,Rejected,1483,539
RET-50086,Defective,2025-08-26,2025-02-12,CUST-10676,SR-81570,PROD-11788,ORD-41734,Closed,3706,3749
RET-50087,Customer Dissatisfaction,2025-06-27,2025-03-07,CUST-10914,SR-81228,PROD-11986,ORD-41691,Rejected,4214,2687
RET-50088,Defective,2025-06-06,2025-07-06,CUST-10088,SR-83789,PROD-11247,ORD-44027,In Progress,4704,809
RET-50089,Defective,2025-03-15,2025-07-23,CUST-10707,SR-82689,PROD-11783,ORD-40334,Open,400,375
RET-50090,Customer Dissatisfaction,2025-08-04,2025-02-14,CUST-10944,SR-82037,PROD-11639,ORD-43767,Open,724,2288
RET-50091,Damaged,2025-02-13,2025-05-15,CUST-10233,SR-81859,PROD-11710,ORD-40934,Approved,1121,2792
RET-50092,Wrong Item,2025-05-09,2025-07-18,CUST-10254,SR-83491,PROD-11109,ORD-44699,Rejected,405,1564
RET-50093,Warranty Claim,2025-02-13,2025-05-24,CUST-10845,SR-83736,PROD-11505,ORD-44098,Approved,1073,3251
RET-50094,Warranty Claim,2025-06-24,2025-05-07,CUST-10952,SR-80005,PROD-11070,ORD-43357,Approved,4612,2215
RET-50095,Wrong Item,2025-06-04,2025-08-18,CUST-10417,SR-84134,PROD-11490,ORD-40136,In Progress,2651,184
RET-50096,Customer Dissatisfaction,2025-08-17,2025-08-20,CUST-10475,SR-81273,PROD-11577,ORD-40401,Rejected,3798,1824
RET-50097,Warranty Claim,2025-06-22,2025-04-05,CUST-10785,SR-84636,PROD-11914,ORD-42180,Open,2624,3604
RET-50098,Defective,2025-06-19,2025-06-25,CUST-10926,SR-81344,PROD-11807,ORD-40656,Rejected,3799,2183
RET-50099,Warranty Claim,2025-07-11,2025-03-16,CUST-10592,SR-83987,PROD-11051,ORD-43591,Approved,421,1664
RET-50100,Damaged,2025-06-27,2025-03-15,CUST-10559,SR-80736,PROD-11107,ORD-43943,In Progress,308,2221
RET-50101,Defective,2025-07-14,2025-02-24,CUST-10654,SR-81194,PROD-11364,ORD-43538,Approved,2361,3746
RET-50102,Warranty Claim,2025-06-15,2025-08-26,CUST-10908,SR-83440,PROD-11752,ORD-42323,Open,101,3740
RET-50103,Customer Dissatisfaction,2025-03-07,2025-03-31,CUST-10740,SR-83450,PROD-11290,ORD-42842,Open,473,3925
RET-50104,Defective,2025-03-10,2025-03-10,CUST-10701,SR-80214,PROD-11030,ORD-41091,Rejected,578,1128
RET-50105,Defective,2025-07-31,2025-06-12,CUST-10180,SR-81638,PROD-11876,ORD-44382,Open,3280,2529
RET-50106,Wrong Item,2025-02-14,2025-06-26,CUST-10325,SR-81662,PROD-11667,ORD-44011,Approved,4461,2984
RET-50107,Damaged,2025-05-19,2025-04-30,CUST-10310,SR-84147,PROD-11579,ORD-43702,Approved,1756,3260
RET-50108,Defective,2025-01-20,2025-04-26,CUST-10153,SR-84349,PROD-11109,ORD-43416,Approved,3089,2104
RET-50109,Customer Dissatisfaction,2025-08-06,2025-01-05,CUST-10687,SR-84663,PROD-11339,ORD-40174,Open,179,2959
RET-50110,Warranty Claim,2025-06-07,2025-07-11,CUST-10043,SR-80767,PROD-11433,ORD-43405,Rejected,2725,1682
RET-50111,Warranty Claim,2025-06-23,2025-04-17,CUST-10568,SR-83940,PROD-11488,ORD-42939,Closed,2114,3044
RET-50112,Customer Dissatisfaction,2025-01-28,2025-03-10,CUST-10239,SR-82452,PROD-11412,ORD-42638,Rejected,728,3102
RET-50113,Wrong Item,2025-01-11,2025-04-10,CUST-10888,SR-84884,PROD-11986,ORD-44885,In Progress,1278,1476
RET-50114,Wrong Item,2025-08-29,2025-06-15,CUST-10066,SR-81383,PROD-11112,ORD-43582,In Progress,2579,2914
RET-50115,Customer Dissatisfaction,2025-03-07,2025-04-23,CUST-10169,SR-83770,PROD-11062,ORD-43453,Closed,1893,3476
RET-50116,Defective,2025-08-22,2025-03-26,CUST-10167,SR-82611,PROD-11108,ORD-44627,Open,4617,735
RET-50117,Wrong Item,2025-07-24,2025-08-28,CUST-10027,SR-84311,PROD-11808,ORD-41256,Approved,2248,1788
RET-50118,Defective,2025-06-15,2025-05-19,CUST-10742,SR-83875,PROD-11516,ORD-44612,Open,2409,1948
RET-50119,Warranty Claim,2025-03-01,2025-01-21,CUST-10555,SR-80877,PROD-11682,ORD-41668,In Progress,1714,3841
RET-50120,Defective,2025-05-03,2025-02-07,CUST-10930,SR-84011,PROD-11979,ORD-44977,Closed,516,929
RET-50121,Damaged,2025-03-28,2025-04-28,CUST-10617,SR-82305,PROD-11464,ORD-43020,Rejected,4529,2604
RET-50122,Damaged,2025-07-28,2025-04-07,CUST-10430,SR-81732,PROD-11142,ORD-40636,Open,3561,2120
RET-50123,Warranty Claim,2025-04-25,2025-03-05,CUST-10443,SR-81145,PROD-11963,ORD-44007,Rejected,4465,158
RET-50124,Damaged,2025-04-27,2025-04-26,CUST-10222,SR-80450,PROD-11996,ORD-40832,In Progress,972,137
RET-50125,Customer Dissatisfaction,2025-04-08,2025-07-28,CUST-10268,SR-83376,PROD-11871,ORD-44768,Rejected,3410,3840
RET-50126,Defective,2025-03-08,2025-04-29,CUST-10243,SR-82644,PROD-11515,ORD-41758,Rejected,2657,3188
RET-50127,Defective,2025-05-14,2025-02-24,CUST-10273,SR-80724,PROD-11467,ORD-42499,In Progress,4008,3572
RET-50128,Defective,2025-02-28,2025-06-12,CUST-10338,SR-80562,PROD-11910,ORD-42442,Open,3424,3341
RET-50129,Defective,2025-01-07,2025-04-15,CUST-10324,SR-82274,PROD-11145,ORD-41343,Rejected,240,2293
RET-50130,Damaged,2025-04-08,2025-02-18,CUST-10499,SR-81635,PROD-11935,ORD-42663,Approved,2533,1001
RET-50131,Warranty Claim,2025-02-13,2025-02-26,CUST-10268,SR-80195,PROD-11988,ORD-43056,Closed,2736,3895
RET-50132,Damaged,2025-03-14,2025-06-08,CUST-10221,SR-83191,PROD-11311,ORD-42356,In Progress,4391,3577
RET-50133,Defective,2025-06-03,2025-06-26,CUST-10053,SR-80771,PROD-11986,ORD-43972,Open,2940,424
RET-50134,Defective,2025-02-16,2025-05-30,CUST-10873,SR-80617,PROD-11088,ORD-40384,Rejected,4822,1765
RET-50135,Wrong Item,2025-01-02,2025-03-14,CUST-10193,SR-84080,PROD-11556,ORD-42423,Rejected,1225,3000
RET-50136,Damaged,2025-05-06,2025-05-21,CUST-10808,SR-83614,PROD-11682,ORD-43990,Closed,3333,1677
RET-50137,Wrong Item,2025-07-04,2025-06-07,CUST-10921,SR-82448,PROD-11761,ORD-41175,Approved,3594,2242
RET-50138,Customer Dissatisfaction,2025-04-25,2025-01-22,CUST-10743,SR-81096,PROD-11194,ORD-41380,Open,1444,521
RET-50139,Customer Dissatisfaction,2025-01-24,2025-06-13,CUST-10023,SR-82422,PROD-11153,ORD-42772,Approved,3658,3772
RET-50140,Wrong Item,2025-03-24,2025-02-24,CUST-10022,SR-84031,PROD-11862,ORD-41532,Closed,303,1310
RET-50141,Damaged,2025-08-31,2025-08-18,CUST-10528,SR-82467,PROD-11988,ORD-41399,Rejected,4253,1621
RET-50142,Wrong Item,2025-08-08,2025-04-07,CUST-10606,SR-83599,PROD-11030,ORD-44065,Open,2835,1778
RET-50143,Defective,2025-03-31,2025-05-13,CUST-10791,SR-83766,PROD-11724,ORD-41764,Rejected,3154,1458
RET-50144,Damaged,2025-02-24,2025-05-18,CUST-10303,SR-81179,PROD-11022,ORD-43190,In Progress,3661,1881
RET-50145,Damaged,2025-03-21,2025-02-17,CUST-10105,SR-84441,PROD-11773,ORD-44392,In Progress,377,644
RET-50146,Damaged,2025-04-29,2025-01-27,CUST-10946,SR-80447,PROD-11423,ORD-43875,In Progress,4764,3270
RET-50147,Customer Dissatisfaction,2025-03-21,2025-08-16,CUST-10519,SR-80173,PROD-11402,ORD-40476,In Progress,4513,271
RET-50148,Customer Dissatisfaction,2025-07-06,2025-03-24,CUST-10149,SR-84286,PROD-11743,ORD-42864,Rejected,3856,3706
RET-50149,Customer Dissatisfaction,2025-01-09,2025-04-12,CUST-10717,SR-83817,PROD-11641,ORD-44051,Rejected,550,2611
RET-50150,Wrong Item,2025-08-01,2025-06-03,CUST-10934,SR-81180,PROD-11230,ORD-42857,In Progress,1295,1750
RET-50151,Customer Dissatisfaction,2025-03-19,2025-05-05,CUST-10500,SR-80733,PROD-11923,ORD-44229,Rejected,1679,233
RET-50152,Warranty Claim,2025-05-01,2025-05-13,CUST-10024,SR-81902,PROD-11305,ORD-42937,In Progress,1821,3555
RET-50153,Defective,2025-04-13,2025-01-28,CUST-10810,SR-82671,PROD-11293,ORD-42774,Open,2136,3511
RET-50154,Damaged,2025-07-11,2025-07-13,CUST-10787,SR-81125,PROD-11875,ORD-43330,Approved,4668,486
RET-50155,Customer Dissatisfaction,2025-03-13,2025-02-02,CUST-10097,SR-82647,PROD-11060,ORD-40784,Approved,4527,3193
RET-50156,Customer Dissatisfaction,2025-01-03,2025-05-31,CUST-10991,SR-82339,PROD-11710,ORD-42055,Approved,696,1131
RET-50157,Defective,2025-04-19,2025-08-12,CUST-10705,SR-80319,PROD-11057,ORD-42209,Approved,3958,703
RET-50158,Customer Dissatisfaction,2025-01-06,2025-06-08,CUST-10558,SR-84037,PROD-11930,ORD-43077,Open,922,3308
RET-50159,Wrong Item,2025-02-20,2025-01-10,CUST-10257,SR-81004,PROD-11985,ORD-43845,Closed,1131,1445
RET-50160,Warranty Claim,2025-06-09,2025-02-04,CUST-10825,SR-82726,PROD-11419,ORD-42201,Closed,2440,1211
RET-50161,Customer Dissatisfaction,2025-06-06,2025-02-06,CUST-10760,SR-84155,PROD-11006,ORD-40325,Rejected,3326,981
RET-50162,Wrong Item,2025-01-29,2025-02-03,CUST-10022,SR-81392,PROD-11308,ORD-42941,Closed,1348,3251
RET-50163,Damaged,2025-03-23,2025-02-14,CUST-10660,SR-83678,PROD-11589,ORD-41381,Open,3275,1676
RET-50164,Customer Dissatisfaction,2025-01-30,2025-04-08,CUST-10254,SR-83160,PROD-11208,ORD-42296,Open,597,1480
RET-50165,Wrong Item,2025-02-13,2025-03-08,CUST-10525,SR-80982,PROD-11054,ORD-41732,Closed,2945,2740
RET-50166,Warranty Claim,2025-05-09,2025-02-09,CUST-10811,SR-82762,PROD-11005,ORD-41249,Closed,1208,3080
RET-50167,Defective,2025-06-07,2025-01-30,CUST-10343,SR-81207,PROD-11514,ORD-41222,Closed,4216,96
RET-50168,Wrong Item,2025-07-27,2025-06-16,CUST-10087,SR-80595,PROD-11094,ORD-42018,Closed,4538,749
RET-50169,Customer Dissatisfaction,2025-03-09,2025-02-23,CUST-10913,SR-83946,PROD-11036,ORD-43304,Approved,141,3127
RET-50170,Customer Dissatisfaction,2025-07-03,2025-03-13,CUST-10085,SR-82121,PROD-11901,ORD-44524,Approved,4225,2658
RET-50171,Defective,2025-05-11,2025-07-09,CUST-10432,SR-83815,PROD-11485,ORD-40726,Open,2796,2433
RET-50172,Warranty Claim,2025-06-01,2025-08-05,CUST-10666,SR-84721,PROD-11722,ORD-43615,Rejected,3906,3191
RET-50173,Warranty Claim,2025-03-07,2025-05-11,CUST-10273,SR-82433,PROD-11383,ORD-44608,In Progress,196,182
RET-50174,Damaged,2025-03-17,2025-08-05,CUST-10595,SR-81407,PROD-11507,ORD-42883,Open,466,1968
RET-50175,Wrong Item,2025-01-20,2025-04-10,CUST-10627,SR-80740,PROD-11185,ORD-43518,Rejected,3634,3385
RET-50176,Wrong Item,2025-02-13,2025-07-07,CUST-10939,SR-84287,PROD-11664,ORD-44843,Open,582,2869
RET-50177,Damaged,2025-05-12,2025-06-21,CUST-10599,SR-80922,PROD-11767,ORD-42433,Rejected,3143,3635
RET-50178,Damaged,2025-01-06,2025-06-22,CUST-10782,SR-82548,PROD-11027,ORD-41929,In Progress,1303,168
RET-50179,Warranty Claim,2025-02-23,2025-08-23,CUST-10685,SR-83572,PROD-11582,ORD-43032,Closed,126,99
RET-50180,Damaged,2025-02-02,2025-04-27,CUST-10781,SR-82741,PROD-11341,ORD-43328,Open,3604,1268
RET-50181,Damaged,2025-02-19,2025-07-06,CUST-10632,SR-83063,PROD-11576,ORD-42119,Rejected,3400,698
RET-50182,Wrong Item,2025-06-11,2025-05-15,CUST-10355,SR-80700,PROD-11807,ORD-44051,In Progress,2816,2256
RET-50183,Defective,2025-06-11,2025-06-29,CUST-10303,SR-84650,PROD-11342,ORD-41041,Approved,3096,3285
RET-50184,Damaged,2025-01-14,2025-04-01,CUST-10450,SR-81603,PROD-11374,ORD-42545,Approved,3913,3908
RET-50185,Warranty Claim,2025-03-11,2025-04-26,CUST-10702,SR-82396,PROD-11126,ORD-44457,Closed,1619,3070
RET-50186,Customer Dissatisfaction,2025-02-18,2025-02-08,CUST-10743,SR-82078,PROD-11709,ORD-42405,Approved,2342,1923
RET-50187,Defective,2025-03-30,2025-07-09,CUST-10637,SR-80474,PROD-11893,ORD-43508,In Progress,390,2845
RET-50188,Wrong Item,2025-08-26,2025-06-17,CUST-10713,SR-80139,PROD-11851,ORD-43639,Closed,1414,1599
RET-50189,Wrong Item,2025-03-04,2025-07-17,CUST-10175,SR-83757,PROD-11704,ORD-40162,Closed,952,1608
RET-50190,Customer Dissatisfaction,2025-08-17,2025-04-11,CUST-10549,SR-83022,PROD-11575,ORD-41092,Approved,3694,3452
RET-50191,Defective,2025-02-17,2025-03-04,CUST-10754,SR-80475,PROD-11551,ORD-40113,Rejected,440,112
RET-50192,Defective,2025-06-01,2025-04-08,CUST-10266,SR-82245,PROD-11734,ORD-43437,In Progress,4976,821
RET-50193,Warranty Claim,2025-08-11,2025-02-20,CUST-10168,SR-80329,PROD-11384,ORD-40162,Closed,981,1926
RET-50194,Defective,2025-04-15,2025-06-30,CUST-10111,SR-84048,PROD-11485,ORD-44702,Open,3887,3459
RET-50195,Warranty Claim,2025-07-15,2025-08-30,CUST-10356,SR-83007,PROD-11231,ORD-41039,In Progress,1893,903
RET-50196,Damaged,2025-03-12,2025-04-22,CUST-10909,SR-84857,PROD-11213,ORD-42114,In Progress,973,2171
RET-50197,Customer Dissatisfaction,2025-07-29,2025-06-03,CUST-10721,SR-80747,PROD-11809,ORD-40390,Rejected,2188,1224
RET-50198,Damaged,2025-05-07,2025-02-28,CUST-10457,SR-84598,PROD-11477,ORD-44558,Open,4566,2229
RET-50199,Customer Dissatisfaction,2025-04-02,2025-01-30,CUST-10334,SR-83378,PROD-11369,ORD-44248,Rejected,2853,2076
RET-50200,Defective,2025-03-22,2025-08-29,CUST-10923,SR-82781,PROD-11875,ORD-42707,Approved,4060,2776
RET-50201,Damaged,2025-03-08,2025-05-15,CUST-10799,SR-82083,PROD-11277,ORD-43193,Open,4805,2366
RET-50202,Damaged,2025-06-27,2025-02-13,CUST-10580,SR-82997,PROD-11312,ORD-40877,Approved,1728,2331
RET-50203,Warranty Claim,2025-01-18,2025-05-03,CUST-10429,SR-82104,PROD-11473,ORD-40060,Approved,807,1402
RET-50204,Customer Dissatisfaction,2025-04-16,2025-03-03,CUST-10136,SR-82627,PROD-11878,ORD-42543,Open,4847,1654
RET-50205,Defective,2025-03-31,2025-05-17,CUST-10428,SR-84106,PROD-11648,ORD-40609,Closed,570,88
RET-50206,Damaged,2025-04-11,2025-07-02,CUST-11000,SR-82499,PROD-11899,ORD-42938,Open,386,3113
RET-50207,Wrong Item,2025-07-29,2025-04-16,CUST-10407,SR-83106,PROD-11652,ORD-44912,In Progress,677,1410
RET-50208,Damaged,2025-07-06,2025-03-19,CUST-10581,SR-81171,PROD-11480,ORD-44592,Rejected,471,1973
RET-50209,Customer Dissatisfaction,2025-02-16,2025-07-01,CUST-10012,SR-81336,PROD-11562,ORD-42281,Open,2055,2621
RET-50210,Damaged,2025-04-23,2025-07-27,CUST-10122,SR-82660,PROD-11926,ORD-42584,Closed,551,830
RET-50211,Wrong Item,2025-04-17,2025-02-28,CUST-10158,SR-80208,PROD-11305,ORD-43505,Closed,758,686
RET-50212,Damaged,2025-02-27,2025-04-12,CUST-10120,SR-83833,PROD-11002,ORD-42593,Rejected,2244,1679
RET-50213,Customer Dissatisfaction,2025-06-26,2025-02-24,CUST-10980,SR-84421,PROD-11573,ORD-43881,Open,1862,1093
RET-50214,Warranty Claim,2025-02-10,2025-08-16,CUST-10883,SR-81874,PROD-11595,ORD-40280,Approved,235,1922
RET-50215,Damaged,2025-06-29,2025-05-08,CUST-10982,SR-82934,PROD-11753,ORD-44406,Closed,4569,547
RET-50216,Wrong Item,2025-07-16,2025-05-15,CUST-10244,SR-84307,PROD-11157,ORD-40951,Approved,1350,3865
