Order ID,Party ID,Product ID,Order Date,Order Status,Order Value ($),Order Qty
ORD-40026,CUST-10544,PROD-11963,2025-04-06,In Progress,18318,21
ORD-40027,CUST-10039,PROD-11774,2025-06-22,In Progress,17811,49
ORD-40028,CUST-10366,PROD-11430,2024-11-14,Delivered,4591,37
ORD-40029,CUST-10446,PROD-11064,2024-09-28,Shipped,24166,24
ORD-40030,CUST-10876,PROD-11422,2025-05-13,Shipped,5551,45
ORD-40031,CUST-10249,PROD-11007,2025-02-26,In Progress,24625,12
ORD-40032,CUST-10011,PROD-11710,2025-04-09,Cancelled,7279,36
ORD-40033,CUST-10068,PROD-11028,2024-10-09,Cancelled,12268,47
ORD-40034,CUST-10960,PROD-11509,2025-07-17,In Progress,16858,26
ORD-40035,CUST-10118,PROD-11262,2025-02-25,Returned,12677,9
ORD-40036,CUST-10312,PROD-11929,2025-04-04,Returned,16671,24
ORD-40037,CUST-10394,PROD-11807,2025-04-02,Delivered,11238,40
ORD-40038,CUST-10618,PROD-11456,2025-02-12,Shipped,18248,6
ORD-40039,CUST-10140,PROD-11442,2025-03-20,Returned,2262,26
ORD-40040,CUST-10449,PROD-11356,2025-07-28,In Progress,8262,46
ORD-40041,CUST-10353,PROD-11544,2025-08-07,Returned,5211,14
ORD-40042,CUST-10628,PROD-11126,2024-12-16,Returned,3043,35
ORD-40043,CUST-10473,PROD-11797,2025-08-11,Returned,11746,8
ORD-40044,CUST-10909,PROD-11034,2025-04-01,Returned,23789,8
ORD-40045,CUST-10002,PROD-11804,2025-05-17,Delivered,1660,38
ORD-40046,CUST-10113,PROD-11465,2025-01-24,Shipped,12811,10
ORD-40047,CUST-10629,PROD-11640,2025-08-01,Returned,13741,38
ORD-40048,CUST-10093,PROD-11362,2025-04-08,Cancelled,8147,44
ORD-40049,CUST-10617,PROD-11484,2024-10-23,Returned,8884,41
ORD-40050,CUST-10430,PROD-11753,2025-08-24,Delivered,22339,16
ORD-40051,CUST-10321,PROD-11931,2025-04-03,Shipped,6790,12
ORD-40052,CUST-10246,PROD-11683,2025-02-10,Returned,23355,22
ORD-40053,CUST-10217,PROD-11259,2025-04-01,Returned,11113,2
ORD-40054,CUST-10194,PROD-11076,2025-08-17,In Progress,8972,22
ORD-40055,CUST-10636,PROD-11967,2024-10-06,Delivered,11327,28
ORD-40056,CUST-10895,PROD-11126,2025-04-22,Shipped,14241,26
ORD-40057,CUST-10043,PROD-11778,2024-09-28,In Progress,12637,49
ORD-40058,CUST-10152,PROD-11645,2024-09-24,In Progress,23712,32
ORD-40059,CUST-10871,PROD-11770,2025-08-26,In Progress,21061,50
ORD-40060,CUST-10917,PROD-11180,2024-09-12,Shipped,7167,6
ORD-40061,CUST-10884,PROD-11059,2024-09-30,Cancelled,7330,40
ORD-40062,CUST-10798,PROD-11276,2025-03-31,Cancelled,24855,31
ORD-40063,CUST-10452,PROD-11164,2024-11-19,Cancelled,14616,43
ORD-40064,CUST-10556,PROD-11919,2025-07-01,Delivered,4271,7
ORD-40065,CUST-10500,PROD-11016,2025-05-03,In Progress,9114,27
ORD-40066,CUST-10058,PROD-11137,2025-04-12,In Progress,14032,47
ORD-40067,CUST-10459,PROD-11077,2025-01-05,Delivered,13482,11
ORD-40068,CUST-10274,PROD-11903,2025-07-01,Delivered,18213,22
ORD-40069,CUST-10276,PROD-11281,2025-07-26,In Progress,8580,6
ORD-40070,CUST-10888,PROD-11173,2025-01-20,Cancelled,19180,8
ORD-40071,CUST-10977,PROD-11019,2025-04-22,Cancelled,22013,31
ORD-40072,CUST-10030,PROD-11687,2024-11-04,Cancelled,24308,3
ORD-40073,CUST-10428,PROD-11549,2025-08-19,In Progress,21480,16
ORD-40074,CUST-10901,PROD-11969,2025-05-07,In Progress,21739,13
ORD-40075,CUST-10108,PROD-11107,2025-05-23,Shipped,24171,29
ORD-40076,CUST-10175,PROD-11414,2024-11-21,Delivered,11948,19
ORD-40077,CUST-10523,PROD-11301,2025-01-30,In Progress,12562,6
ORD-40078,CUST-10516,PROD-11102,2024-09-30,Returned,20554,11
ORD-40079,CUST-10190,PROD-11408,2024-09-05,Cancelled,4856,12
ORD-40080,CUST-10147,PROD-11834,2025-03-04,Delivered,23569,7
ORD-40081,CUST-10454,PROD-11863,2025-02-21,Delivered,17371,6
ORD-40082,CUST-10245,PROD-11770,2025-02-05,In Progress,15281,9
ORD-40083,CUST-10340,PROD-11460,2025-08-09,Delivered,4243,39
ORD-40084,CUST-10643,PROD-11888,2024-09-11,Delivered,21560,13
ORD-40085,CUST-10346,PROD-11113,2024-09-30,Returned,18648,31
ORD-40086,CUST-10807,PROD-11088,2024-12-21,Cancelled,17513,27
ORD-40087,CUST-10858,PROD-11840,2024-09-20,Returned,17753,42
ORD-40088,CUST-10345,PROD-11004,2025-07-30,Returned,11986,26
ORD-40089,CUST-10866,PROD-11241,2025-08-27,Delivered,2669,21
ORD-40090,CUST-10989,PROD-11573,2025-03-29,In Progress,3999,29
ORD-40091,CUST-10381,PROD-11122,2024-11-09,Cancelled,18124,35
ORD-40092,CUST-10464,PROD-11623,2025-07-27,Cancelled,12085,2
ORD-40093,CUST-10943,PROD-11767,2024-10-07,Returned,1648,30
ORD-40094,CUST-10490,PROD-11738,2025-08-07,Returned,18168,5
ORD-40095,CUST-10340,PROD-11027,2025-04-20,Delivered,14671,44
ORD-40096,CUST-10517,PROD-11988,2025-01-02,Cancelled,14755,28
ORD-40097,CUST-10408,PROD-11889,2025-05-10,Delivered,8863,34
ORD-40098,CUST-10255,PROD-11635,2025-04-08,Delivered,22135,26
ORD-40099,CUST-10969,PROD-11565,2025-01-04,Returned,16500,18
ORD-40100,CUST-10124,PROD-11106,2025-06-20,Cancelled,16205,13
ORD-40101,CUST-10166,PROD-11469,2025-07-06,Cancelled,22772,48
ORD-40102,CUST-10527,PROD-11417,2025-04-19,Shipped,16940,13
ORD-40103,CUST-10864,PROD-11491,2025-08-31,Shipped,15650,25
ORD-40104,CUST-10351,PROD-11100,2025-07-20,Delivered,4555,4
ORD-40105,CUST-10523,PROD-11685,2025-03-28,Delivered,15654,29
ORD-40106,CUST-10686,PROD-11581,2025-04-28,Delivered,5844,36
ORD-40107,CUST-10883,PROD-11885,2025-06-01,In Progress,5361,50
ORD-40108,CUST-10627,PROD-11081,2025-05-09,Returned,11903,8
ORD-40109,CUST-10718,PROD-11263,2025-04-25,Delivered,1039,22
ORD-40110,CUST-10243,PROD-11095,2025-03-07,Delivered,23824,50
ORD-40111,CUST-10521,PROD-11801,2025-06-16,Shipped,18254,28
ORD-40112,CUST-10899,PROD-11868,2024-12-12,In Progress,16342,38
ORD-40113,CUST-10004,PROD-11427,2024-11-30,Returned,5077,21
ORD-40114,CUST-10376,PROD-11432,2025-03-29,Delivered,20625,50
ORD-40115,CUST-10815,PROD-11347,2025-05-17,Cancelled,23227,27
ORD-40116,CUST-10601,PROD-11763,2025-03-25,Cancelled,12848,4
ORD-40117,CUST-10137,PROD-11880,2025-08-08,Returned,20553,22
ORD-40118,CUST-10551,PROD-11808,2025-03-17,Shipped,23589,21
ORD-40119,CUST-10030,PROD-11300,2025-03-14,Shipped,17284,47
ORD-40120,CUST-10882,PROD-11480,2025-06-16,In Progress,24665,16
ORD-40121,CUST-10681,PROD-11817,2025-01-12,Cancelled,5128,17
ORD-40122,CUST-10359,PROD-11097,2025-04-10,In Progress,16335,49
ORD-40123,CUST-10563,PROD-11764,2025-02-16,Delivered,16886,17
ORD-40124,CUST-10653,PROD-11118,2025-04-06,Delivered,18228,40
ORD-40125,CUST-10530,PROD-11933,2024-10-18,Shipped,3816,44
ORD-40126,CUST-10148,PROD-11362,2025-02-17,Returned,7603,8
ORD-40127,CUST-10764,PROD-11064,2024-11-04,Cancelled,10846,21
ORD-40128,CUST-10023,PROD-11144,2025-01-27,Cancelled,23199,49
ORD-40129,CUST-10041,PROD-11946,2025-02-17,Returned,24204,38
ORD-40130,CUST-10240,PROD-11111,2025-08-16,Shipped,22916,33
ORD-40131,CUST-10790,PROD-11643,2025-01-14,In Progress,12848,46
ORD-40132,CUST-10626,PROD-11171,2024-11-08,In Progress,16623,15
ORD-40133,CUST-10397,PROD-11487,2025-07-10,Shipped,17992,18
ORD-40134,CUST-10468,PROD-11943,2025-07-10,Cancelled,17808,2
ORD-40135,CUST-10539,PROD-11107,2025-02-05,In Progress,18315,17
ORD-40136,CUST-10881,PROD-11503,2025-08-26,Delivered,23011,21
ORD-40137,CUST-10258,PROD-11189,2024-12-01,In Progress,14484,41
ORD-40138,CUST-10539,PROD-11016,2025-03-07,Returned,4004,9
ORD-40139,CUST-10023,PROD-11583,2024-10-14,Delivered,7053,38
ORD-40140,CUST-10458,PROD-11624,2025-02-22,Cancelled,21778,5
ORD-40141,CUST-10207,PROD-11619,2024-09-03,In Progress,14817,45
ORD-40142,CUST-10577,PROD-11485,2024-11-28,Shipped,2135,20
ORD-40143,CUST-10118,PROD-11944,2025-01-19,In Progress,3663,1
ORD-40144,CUST-10672,PROD-11772,2024-10-16,Returned,10987,7
ORD-40145,CUST-10020,PROD-11958,2024-10-25,Delivered,24594,35
ORD-40146,CUST-10351,PROD-11048,2025-03-26,Returned,21273,32
ORD-40147,CUST-10859,PROD-11539,2025-07-11,In Progress,12978,43
ORD-40148,CUST-10577,PROD-11448,2025-06-19,Delivered,22016,10
ORD-40149,CUST-10367,PROD-11506,2025-06-17,In Progress,3672,7
ORD-40150,CUST-10419,PROD-11611,2025-05-08,Delivered,13091,33
ORD-40151,CUST-10639,PROD-11842,2025-02-27,Cancelled,3776,29
ORD-40152,CUST-10008,PROD-11660,2025-08-02,Cancelled,5898,44
ORD-40153,CUST-10545,PROD-11019,2024-10-04,In Progress,17765,22
ORD-40154,CUST-10829,PROD-11990,2024-09-07,Delivered,1969,46
ORD-40155,CUST-10849,PROD-11514,2025-06-15,Shipped,17468,6
ORD-40156,CUST-10372,PROD-11876,2024-09-10,Delivered,1350,45
ORD-40157,CUST-10011,PROD-11207,2025-01-01,Delivered,7631,35
ORD-40158,CUST-10678,PROD-11693,2025-01-22,Delivered,8854,13
ORD-40159,CUST-10331,PROD-11552,2024-09-06,Delivered,9141,33
ORD-40160,CUST-10541,PROD-11833,2025-02-22,In Progress,9368,45
ORD-40161,CUST-10583,PROD-11459,2025-03-27,Shipped,21643,37
ORD-40162,CUST-10346,PROD-11018,2025-05-27,Returned,16866,27
ORD-40163,CUST-10457,PROD-11071,2024-09-05,Delivered,1933,5
ORD-40164,CUST-10849,PROD-11757,2025-08-16,In Progress,13515,4
ORD-40165,CUST-10967,PROD-11093,2025-03-01,Cancelled,20676,37
ORD-40166,CUST-10263,PROD-11835,2024-09-24,Returned,15542,7
ORD-40167,CUST-10203,PROD-11414,2024-12-20,Delivered,3348,26
ORD-40168,CUST-10812,PROD-11622,2025-07-22,Delivered,22208,36
ORD-40169,CUST-10625,PROD-11404,2025-05-27,Shipped,6303,11
ORD-40170,CUST-10049,PROD-11268,2024-11-01,Returned,10367,30
ORD-40171,CUST-10276,PROD-11046,2025-02-23,Delivered,3893,27
ORD-40172,CUST-10534,PROD-11289,2024-10-15,Returned,9504,19
ORD-40173,CUST-10771,PROD-11838,2025-07-09,Shipped,18600,29
ORD-40174,CUST-10417,PROD-11628,2025-01-27,Shipped,4547,28
ORD-40175,CUST-10409,PROD-11642,2025-01-24,Returned,22966,39
ORD-40176,CUST-10815,PROD-11513,2025-03-17,In Progress,24232,38
ORD-40177,CUST-10665,PROD-11192,2025-03-21,Returned,19202,5
ORD-40178,CUST-10505,PROD-11672,2024-11-07,Delivered,4651,11
ORD-40179,CUST-10744,PROD-11756,2025-06-07,Delivered,3014,22
ORD-40180,CUST-10233,PROD-11325,2025-03-24,In Progress,18010,21
ORD-40181,CUST-10826,PROD-11005,2025-03-02,In Progress,16805,6
ORD-40182,CUST-10551,PROD-11712,2024-11-28,Shipped,7953,28
ORD-40183,CUST-10415,PROD-11035,2025-03-04,Delivered,12033,3
ORD-40184,CUST-10733,PROD-11508,2025-04-26,Cancelled,1951,26
ORD-40185,CUST-10948,PROD-11977,2025-05-05,Returned,6389,42
ORD-40186,CUST-10626,PROD-11030,2025-04-25,Returned,9767,15
ORD-40187,CUST-10994,PROD-11874,2025-03-28,In Progress,22902,34
ORD-40188,CUST-10371,PROD-11835,2024-11-02,Delivered,9930,45
ORD-40189,CUST-10250,PROD-11987,2024-12-31,Returned,8719,23
ORD-40190,CUST-10608,PROD-11531,2025-07-20,Returned,4807,36
ORD-40191,CUST-10950,PROD-11783,2025-08-22,Shipped,5383,18
ORD-40192,CUST-10982,PROD-11113,2025-06-06,Returned,8774,2
ORD-40193,CUST-10216,PROD-11056,2024-11-07,Cancelled,3913,8
ORD-40194,CUST-10110,PROD-11761,2024-11-28,Shipped,3945,15
ORD-40195,CUST-10258,PROD-11579,2025-08-04,Shipped,11950,21
ORD-40196,CUST-10751,PROD-11952,2025-03-29,Returned,1300,36
ORD-40197,CUST-10570,PROD-11223,2024-12-15,Delivered,18675,12
ORD-40198,CUST-10904,PROD-11453,2025-08-14,Cancelled,20932,15
ORD-40199,CUST-10034,PROD-11060,2024-10-14,Shipped,6164,21
ORD-40200,CUST-10532,PROD-11415,2024-10-01,Shipped,11944,32
ORD-40201,CUST-10956,PROD-11466,2025-02-18,Shipped,1760,16
ORD-40202,CUST-10903,PROD-11477,2024-09-02,Delivered,1407,4
ORD-40203,CUST-10548,PROD-11791,2025-07-10,Returned,14510,34
ORD-40204,CUST-10017,PROD-11884,2025-07-13,In Progress,23503,4
ORD-40205,CUST-10070,PROD-11683,2025-07-04,In Progress,7397,48
ORD-40206,CUST-10812,PROD-11487,2025-05-01,Shipped,16385,36
ORD-40207,CUST-10957,PROD-11051,2024-09-30,Cancelled,3162,33
ORD-40208,CUST-10892,PROD-11900,2025-01-29,Cancelled,11662,34
ORD-40209,CUST-10034,PROD-11539,2024-12-01,Shipped,8036,17
ORD-40210,CUST-10166,PROD-11436,2024-12-26,Returned,17364,39
ORD-40211,CUST-10037,PROD-11768,2025-03-02,In Progress,3584,15
ORD-40212,CUST-10725,PROD-11201,2025-07-11,Returned,10628,3
ORD-40213,CUST-10734,PROD-11088,2024-10-15,Returned,20156,50
ORD-40214,CUST-10229,PROD-11648,2025-02-14,Delivered,2013,28
ORD-40215,CUST-10714,PROD-11140,2025-08-16,Shipped,21316,4
ORD-40216,CUST-10223,PROD-11355,2024-11-23,In Progress,21985,8
ORD-40217,CUST-10504,PROD-11048,2025-02-03,Cancelled,6446,27
ORD-40218,CUST-10574,PROD-11535,2025-08-30,Delivered,5779,2
ORD-40219,CUST-10044,PROD-11841,2025-08-14,Shipped,10677,49
ORD-40220,CUST-10726,PROD-11234,2024-12-17,Delivered,15622,26
ORD-40221,CUST-10014,PROD-11093,2024-10-04,In Progress,1312,14
ORD-40222,CUST-10054,PROD-11012,2025-07-14,In Progress,3570,23
ORD-40223,CUST-10101,PROD-11301,2025-03-08,Cancelled,1681,21
ORD-40224,CUST-10139,PROD-11160,2025-05-15,Cancelled,14755,6
ORD-40225,CUST-10925,PROD-11256,2025-08-22,Shipped,21487,13
ORD-40226,CUST-10665,PROD-11364,2025-04-19,Cancelled,19783,2
ORD-40227,CUST-10770,PROD-11528,2025-01-14,Shipped,5100,2
ORD-40228,CUST-10762,PROD-11662,2024-10-02,Shipped,19133,17
ORD-40229,CUST-10815,PROD-11949,2025-06-26,Delivered,4580,50
ORD-40230,CUST-10722,PROD-11002,2025-01-20,Shipped,18270,12
ORD-40231,CUST-10800,PROD-11847,2025-02-08,Returned,12703,7
ORD-40232,CUST-10915,PROD-11311,2024-12-03,Shipped,17601,27
ORD-40233,CUST-10346,PROD-11275,2024-12-09,In Progress,3014,43
ORD-40234,CUST-10460,PROD-11280,2025-03-19,Delivered,1545,8
ORD-40235,CUST-10993,PROD-11389,2025-02-20,Delivered,11404,24
ORD-40236,CUST-10249,PROD-11433,2024-11-18,Shipped,10019,1
ORD-40237,CUST-10145,PROD-11128,2025-04-01,Shipped,4725,15
ORD-40238,CUST-10691,PROD-11708,2024-10-11,Returned,22095,43
ORD-40239,CUST-10821,PROD-11252,2024-10-03,Delivered,10431,3
ORD-40240,CUST-10525,PROD-11013,2025-05-11,Cancelled,7431,28
ORD-40241,CUST-10867,PROD-11043,2025-05-08,In Progress,18493,33
ORD-40242,CUST-10977,PROD-11750,2025-05-01,Cancelled,23657,9
ORD-40243,CUST-10242,PROD-11980,2024-11-21,Cancelled,4622,33
ORD-40244,CUST-10884,PROD-11042,2025-02-28,Shipped,22577,31
ORD-40245,CUST-10784,PROD-11741,2025-04-02,Returned,12903,13
ORD-40246,CUST-10030,PROD-11528,2025-07-20,Cancelled,11984,24
ORD-40247,CUST-10998,PROD-11748,2024-11-01,Shipped,7595,15
ORD-40248,CUST-10408,PROD-11858,2025-07-25,In Progress,4273,2
ORD-40249,CUST-10183,PROD-11674,2024-12-20,Shipped,11528,3
ORD-40250,CUST-10193,PROD-11951,2025-02-05,Shipped,9201,5
ORD-40251,CUST-10134,PROD-11151,2024-09-06,Delivered,23452,19
ORD-40252,CUST-10506,PROD-11525,2025-08-08,Shipped,6730,26
ORD-40253,CUST-10710,PROD-11530,2024-10-20,Returned,24461,7
ORD-40254,CUST-10030,PROD-11605,2025-08-04,Shipped,24087,15
ORD-40255,CUST-10769,PROD-11352,2025-06-13,Delivered,6718,38
ORD-40256,CUST-10041,PROD-11838,2025-02-18,Shipped,14614,49
ORD-40257,CUST-10872,PROD-11010,2024-11-18,Delivered,14608,39
ORD-40258,CUST-10412,PROD-11841,2025-03-20,In Progress,11398,3
ORD-40259,CUST-10026,PROD-11046,2025-08-02,Returned,21838,25
ORD-40260,CUST-10201,PROD-11780,2024-10-15,In Progress,1140,27
ORD-40261,CUST-10821,PROD-11381,2024-12-10,Cancelled,13037,33
ORD-40262,CUST-10298,PROD-11857,2025-02-23,In Progress,19533,31
ORD-40263,CUST-10531,PROD-11200,2025-03-26,Shipped,8523,26
ORD-40264,CUST-10050,PROD-11915,2025-01-13,Delivered,23211,14
ORD-40265,CUST-10269,PROD-11514,2025-01-24,In Progress,10220,6
ORD-40266,CUST-10814,PROD-11185,2025-01-08,Shipped,13461,23
ORD-40267,CUST-10337,PROD-11477,2024-09-21,Cancelled,4668,3
ORD-40268,CUST-10368,PROD-11520,2025-08-04,Cancelled,3193,48
ORD-40269,CUST-10574,PROD-11658,2025-08-08,In Progress,11543,3
ORD-40270,CUST-10659,PROD-11448,2025-01-23,Returned,19253,7
ORD-40271,CUST-10836,PROD-11787,2024-11-24,Returned,2769,14
ORD-40272,CUST-10206,PROD-11225,2025-06-22,Shipped,7276,28
ORD-40273,CUST-10241,PROD-11497,2025-01-16,Returned,22322,44
ORD-40274,CUST-10075,PROD-11936,2025-01-20,Returned,20064,41
ORD-40275,CUST-10748,PROD-11074,2025-01-09,Delivered,16383,44
ORD-40276,CUST-10373,PROD-11503,2025-03-12,Delivered,11600,35
ORD-40277,CUST-10685,PROD-11837,2025-07-25,Delivered,21013,8
ORD-40278,CUST-10523,PROD-11028,2024-10-27,In Progress,11759,14
ORD-40279,CUST-10447,PROD-11138,2025-03-17,Cancelled,20470,34
ORD-40280,CUST-10258,PROD-11342,2025-02-03,Delivered,14359,9
ORD-40281,CUST-10412,PROD-11090,2024-10-26,Delivered,19075,5
ORD-40282,CUST-10506,PROD-11371,2025-08-10,Returned,4693,50
ORD-40283,CUST-10466,PROD-11989,2025-04-14,In Progress,6425,21
ORD-40284,CUST-10484,PROD-11341,2025-05-08,Cancelled,21718,43
ORD-40285,CUST-10402,PROD-11565,2025-05-18,Cancelled,24821,3
ORD-40286,CUST-10672,PROD-11726,2025-05-29,Cancelled,15449,11
ORD-40287,CUST-10877,PROD-11854,2025-04-05,Cancelled,11666,17
ORD-40288,CUST-10176,PROD-11347,2025-03-04,Returned,19926,9
ORD-40289,CUST-10691,PROD-11037,2025-01-29,In Progress,10468,45
ORD-40290,CUST-10557,PROD-11583,2024-11-18,Shipped,23620,45
ORD-40291,CUST-10917,PROD-11077,2025-05-22,In Progress,12789,3
ORD-40292,CUST-10124,PROD-11748,2024-12-09,Cancelled,21259,9
ORD-40293,CUST-10086,PROD-11449,2025-03-01,Shipped,11657,2
ORD-40294,CUST-10122,PROD-11067,2024-12-20,Delivered,7703,18
ORD-40295,CUST-10303,PROD-11348,2025-08-16,In Progress,11070,30
ORD-40296,CUST-10414,PROD-11096,2025-06-21,Shipped,7770,28
ORD-40297,CUST-10516,PROD-11033,2025-02-11,Cancelled,4710,23
ORD-40298,CUST-10378,PROD-11721,2025-08-13,Returned,9099,40
ORD-40299,CUST-10430,PROD-11162,2025-01-07,Delivered,16701,28
ORD-40300,CUST-10580,PROD-11417,2025-04-10,Cancelled,19243,33
ORD-40301,CUST-10521,PROD-11489,2024-12-30,Delivered,20495,37
ORD-40302,CUST-10516,PROD-11346,2024-10-15,Returned,12083,7
ORD-40303,CUST-10331,PROD-11985,2025-06-15,In Progress,13145,28
ORD-40304,CUST-10550,PROD-11470,2025-02-05,Delivered,8412,41
ORD-40305,CUST-10235,PROD-11936,2024-11-07,Delivered,8405,22
ORD-40306,CUST-10548,PROD-11326,2025-03-25,Delivered,12817,46
ORD-40307,CUST-10516,PROD-11380,2025-01-20,Cancelled,5293,35
ORD-40308,CUST-10208,PROD-11475,2025-04-07,Delivered,11603,4
ORD-40309,CUST-10169,PROD-11638,2025-07-11,Delivered,23516,38
ORD-40310,CUST-10186,PROD-11380,2025-01-30,Cancelled,21693,5
ORD-40311,CUST-10637,PROD-11995,2025-07-08,Returned,8799,21
ORD-40312,CUST-10014,PROD-11763,2024-12-30,Returned,14641,4
ORD-40313,CUST-10528,PROD-11193,2024-12-01,Delivered,20764,34
ORD-40314,CUST-10311,PROD-11432,2025-01-04,Returned,10178,4
ORD-40315,CUST-10414,PROD-11047,2025-05-07,In Progress,7945,44
ORD-40316,CUST-10564,PROD-11765,2025-03-11,In Progress,5135,21
ORD-40317,CUST-10266,PROD-11333,2024-10-13,In Progress,7367,2
ORD-40318,CUST-10852,PROD-11164,2025-08-14,Delivered,23931,44
ORD-40319,CUST-10533,PROD-11720,2025-03-23,Returned,15207,41
ORD-40320,CUST-10959,PROD-11403,2025-02-24,Shipped,21971,47
ORD-40321,CUST-10153,PROD-11131,2025-05-06,In Progress,11592,34
ORD-40322,CUST-10795,PROD-11710,2024-11-30,Shipped,7174,50
ORD-40323,CUST-10720,PROD-11939,2025-07-23,In Progress,20719,38
ORD-40324,CUST-10152,PROD-11164,2025-06-08,Shipped,22961,2
ORD-40325,CUST-10219,PROD-11888,2025-01-29,Shipped,20060,14
ORD-40326,CUST-10294,PROD-11780,2024-11-18,Returned,11936,34
ORD-40327,CUST-10121,PROD-11754,2025-08-02,Cancelled,10999,26
ORD-40328,CUST-10214,PROD-11073,2025-01-25,Cancelled,12892,11
ORD-40329,CUST-10307,PROD-11791,2025-05-18,Returned,5200,31
ORD-40330,CUST-10621,PROD-11204,2025-05-19,Cancelled,23170,45
ORD-40331,CUST-10257,PROD-11907,2024-11-05,Returned,16371,4
ORD-40332,CUST-10697,PROD-11268,2025-08-31,Returned,20581,32
ORD-40333,CUST-10358,PROD-11878,2025-01-06,Delivered,5220,41
ORD-40334,CUST-10463,PROD-11182,2025-07-27,In Progress,24634,27
ORD-40335,CUST-10594,PROD-11123,2025-04-22,In Progress,11819,45
ORD-40336,CUST-10707,PROD-11515,2024-12-03,Returned,23062,42
ORD-40337,CUST-10872,PROD-11833,2025-01-08,Shipped,14900,40
ORD-40338,CUST-10836,PROD-11599,2025-07-03,Delivered,6272,16
ORD-40339,CUST-10812,PROD-11273,2025-05-09,Returned,7203,32
ORD-40340,CUST-10490,PROD-11345,2025-07-24,In Progress,12741,17
ORD-40341,CUST-10518,PROD-11631,2024-12-22,Delivered,12857,27
ORD-40342,CUST-10679,PROD-11357,2024-09-17,Returned,23989,18
ORD-40343,CUST-10904,PROD-11793,2024-10-04,Shipped,12829,15
ORD-40344,CUST-10358,PROD-11353,2025-06-04,Cancelled,17634,29
ORD-40345,CUST-10419,PROD-11320,2024-09-05,Shipped,6924,17
ORD-40346,CUST-10756,PROD-11244,2025-02-08,Returned,5476,12
ORD-40347,CUST-10966,PROD-11100,2024-10-16,Returned,9374,6
ORD-40348,CUST-10639,PROD-11858,2025-04-14,Shipped,17158,4
ORD-40349,CUST-10303,PROD-11573,2025-02-18,Returned,21475,16
ORD-40350,CUST-10649,PROD-11491,2025-05-19,Shipped,6906,4
ORD-40351,CUST-10221,PROD-11943,2025-01-16,In Progress,6031,34
ORD-40352,CUST-10408,PROD-11755,2024-11-17,Returned,3791,2
ORD-40353,CUST-10359,PROD-11821,2025-06-17,Shipped,16126,39
ORD-40354,CUST-10731,PROD-11750,2025-04-07,Shipped,15059,12
ORD-40355,CUST-10718,PROD-11182,2025-01-20,Shipped,23979,26
ORD-40356,CUST-10434,PROD-11842,2024-11-20,In Progress,7680,19
ORD-40357,CUST-10686,PROD-11227,2025-05-22,Returned,23438,39
ORD-40358,CUST-10480,PROD-11268,2024-10-16,Returned,20661,45
ORD-40359,CUST-10210,PROD-11242,2024-10-27,Delivered,7993,42
ORD-40360,CUST-10560,PROD-11473,2024-09-14,Cancelled,3261,2
ORD-40361,CUST-10037,PROD-11745,2024-10-02,Delivered,2076,46
ORD-40362,CUST-10598,PROD-11770,2025-08-13,In Progress,12932,36
ORD-40363,CUST-10631,PROD-11813,2025-04-17,Delivered,13580,21
ORD-40364,CUST-10838,PROD-11725,2025-02-08,Cancelled,8780,1
ORD-40365,CUST-10064,PROD-11920,2024-09-23,Returned,13812,13
ORD-40366,CUST-10861,PROD-11299,2025-08-02,Cancelled,14526,42
