Prod Name,Weight (Oz),Length (cm),Width (Cm),Height (Cm),Capacity,Temperature (F),P_ID
DataSphere,40,16,26,17,250GB,14–122,PROD-11546
Insight360,10,50,24,23,1TB,32–104,PROD-11387
CloudEdge,24,41,30,35,1TB,0–158,PROD-11947
CoreAnalytics,38,37,12,38,500GB,10–120,PROD-11943
NetConnect,14,49,7,18,500GB,32–104,PROD-11830
NetConnect,9,18,18,25,500GB,32–104,PROD-11883
CloudEdge,36,24,32,22,500GB,0–158,PROD-11339
CloudEdge,29,21,33,9,5TB,-4–140,PROD-11520
DataSphere,37,57,15,15,1TB,14–122,PROD-11308
CoreAnalytics,14,30,10,6,250GB,10–120,PROD-11453
CloudEdge,13,27,16,13,2TB,0–158,PROD-11062
Insight360,25,60,29,8,500GB,0–158,PROD-11825
DataSphere,37,56,21,35,1TB,32–104,PROD-11274
Insight360,15,41,28,22,500GB,14–122,PROD-11752
NetConnect,36,20,20,36,1TB,32–104,PROD-11174
DataSphere,30,39,19,11,2TB,-4–140,PROD-11714
DataSphere,36,25,30,36,2TB,10–120,PROD-11937
DataSphere,24,45,6,33,2TB,10–120,PROD-11440
DataSphere,37,54,7,32,500GB,0–158,PROD-11463
Insight360,29,38,21,15,5TB,10–120,PROD-11982
NetConnect,16,42,23,11,5TB,32–104,PROD-11712
CoreAnalytics,35,54,32,11,5TB,32–104,PROD-11973
NetConnect,14,32,10,5,1TB,-4–140,PROD-11836
NetConnect,40,20,7,21,500GB,32–104,PROD-11279
NetConnect,14,27,28,36,5TB,10–120,PROD-11254
CloudEdge,13,31,31,21,500GB,10–120,PROD-11683
NetConnect,24,57,28,7,5TB,14–122,PROD-11402
DataSphere,16,55,18,12,2TB,-4–140,PROD-11383
Insight360,19,19,18,27,5TB,10–120,PROD-11221
CloudEdge,38,54,29,26,5TB,14–122,PROD-11255
DataSphere,26,59,21,40,2TB,10–120,PROD-11541
DataSphere,23,38,7,24,1TB,32–104,PROD-11044
DataSphere,22,31,7,37,250GB,14–122,PROD-11714
Insight360,30,46,7,17,1TB,10–120,PROD-11295
CloudEdge,18,28,35,32,1TB,-4–140,PROD-11126
CloudEdge,9,56,33,20,5TB,10–120,PROD-11235
DataSphere,8,47,32,30,500GB,0–158,PROD-11579
CloudEdge,10,20,27,18,5TB,0–158,PROD-11521
CloudEdge,15,18,24,8,500GB,10–120,PROD-11498
CoreAnalytics,30,47,21,9,5TB,0–158,PROD-11196
NetConnect,11,58,7,13,1TB,0–158,PROD-11923
Insight360,24,47,5,18,5TB,-4–140,PROD-11418
DataSphere,31,24,26,11,1TB,14–122,PROD-11293
CloudEdge,25,19,32,19,250GB,32–104,PROD-11284
NetConnect,32,35,25,27,2TB,14–122,PROD-11448
CloudEdge,32,38,23,39,2TB,-4–140,PROD-11592
Insight360,35,27,7,28,5TB,10–120,PROD-11439
CloudEdge,26,23,10,25,250GB,0–158,PROD-11452
CloudEdge,39,10,34,27,500GB,32–104,PROD-11962
DataSphere,18,45,21,25,500GB,14–122,PROD-11836
CloudEdge,38,47,20,28,250GB,14–122,PROD-11619
NetConnect,35,60,6,12,5TB,14–122,PROD-11321
CoreAnalytics,30,35,24,28,5TB,-4–140,PROD-11184
NetConnect,38,44,32,17,250GB,32–104,PROD-11780
DataSphere,8,46,11,12,500GB,-4–140,PROD-11941
DataSphere,8,49,16,16,500GB,0–158,PROD-11963
NetConnect,27,51,5,25,2TB,0–158,PROD-11619
CloudEdge,28,18,31,24,500GB,14–122,PROD-11670
CoreAnalytics,20,19,6,7,500GB,0–158,PROD-11615
NetConnect,23,12,8,35,1TB,14–122,PROD-11639
DataSphere,14,40,27,33,5TB,10–120,PROD-11859
Insight360,32,38,24,37,5TB,14–122,PROD-11672
DataSphere,8,30,29,6,1TB,0–158,PROD-11271
NetConnect,19,23,5,30,2TB,32–104,PROD-11659
DataSphere,31,25,11,33,2TB,-4–140,PROD-11042
CoreAnalytics,17,46,27,15,250GB,-4–140,PROD-11422
NetConnect,39,13,27,38,1TB,32–104,PROD-11373
NetConnect,8,40,6,7,1TB,14–122,PROD-11459
CloudEdge,36,58,17,21,5TB,32–104,PROD-11615
CoreAnalytics,26,23,17,21,2TB,0–158,PROD-11919
Insight360,38,10,21,5,2TB,0–158,PROD-11386
NetConnect,13,58,23,31,1TB,0–158,PROD-11952
CoreAnalytics,30,52,16,35,5TB,32–104,PROD-11166
DataSphere,16,57,26,40,250GB,14–122,PROD-11127
DataSphere,17,35,24,27,250GB,32–104,PROD-11143
NetConnect,13,46,15,15,500GB,0–158,PROD-11409
CoreAnalytics,19,31,11,10,2TB,32–104,PROD-11442
NetConnect,26,45,13,24,250GB,14–122,PROD-11912
DataSphere,10,21,7,38,250GB,10–120,PROD-11092
DataSphere,39,48,35,34,250GB,10–120,PROD-11411
CloudEdge,10,58,23,24,500GB,0–158,PROD-11921
CloudEdge,18,43,33,15,1TB,0–158,PROD-11160
CoreAnalytics,25,21,17,6,1TB,-4–140,PROD-11906
DataSphere,16,16,8,24,2TB,14–122,PROD-11418
CloudEdge,29,50,27,13,5TB,10–120,PROD-11411
CoreAnalytics,22,20,7,6,250GB,14–122,PROD-11561
CoreAnalytics,14,27,35,37,500GB,14–122,PROD-11952
CloudEdge,12,36,35,24,2TB,32–104,PROD-11245
NetConnect,11,44,9,24,5TB,10–120,PROD-11664
CloudEdge,23,25,31,14,5TB,10–120,PROD-11531
Insight360,31,42,18,38,1TB,-4–140,PROD-11664
Insight360,39,58,24,36,250GB,10–120,PROD-11951
Insight360,31,29,31,20,1TB,-4–140,PROD-11221
CloudEdge,12,30,12,36,5TB,14–122,PROD-11035
CloudEdge,38,16,28,31,250GB,10–120,PROD-11704
DataSphere,18,33,32,10,250GB,14–122,PROD-11304
CloudEdge,22,54,20,37,5TB,-4–140,PROD-11061
DataSphere,37,14,6,22,500GB,14–122,PROD-11623
DataSphere,35,43,13,5,2TB,10–120,PROD-11285
CoreAnalytics,22,31,10,22,250GB,32–104,PROD-11677
DataSphere,21,23,27,7,500GB,10–120,PROD-11656
NetConnect,33,28,14,13,1TB,14–122,PROD-11052
CloudEdge,18,50,15,37,500GB,0–158,PROD-11211
CloudEdge,32,18,35,34,5TB,0–158,PROD-11233
DataSphere,9,10,16,26,5TB,14–122,PROD-11512
DataSphere,15,30,13,12,1TB,32–104,PROD-11470
CloudEdge,12,37,9,11,5TB,0–158,PROD-11350
DataSphere,35,17,27,30,1TB,14–122,PROD-11659
DataSphere,19,35,9,10,5TB,-4–140,PROD-11174
Insight360,32,28,30,34,5TB,0–158,PROD-11158
NetConnect,28,21,6,35,2TB,14–122,PROD-11901
DataSphere,37,19,5,37,250GB,32–104,PROD-11376
Insight360,28,48,28,36,500GB,10–120,PROD-11855
CoreAnalytics,24,31,16,22,1TB,10–120,PROD-11333
NetConnect,37,49,35,7,5TB,14–122,PROD-11607
CoreAnalytics,20,16,20,38,2TB,14–122,PROD-11254
CloudEdge,40,37,21,13,250GB,14–122,PROD-11553
NetConnect,39,47,15,35,250GB,0–158,PROD-11761
NetConnect,22,16,29,32,1TB,10–120,PROD-11387
CloudEdge,36,31,31,8,1TB,32–104,PROD-11143
Insight360,14,41,31,31,250GB,0–158,PROD-11991
CoreAnalytics,27,25,7,5,500GB,-4–140,PROD-11305
Insight360,34,42,14,35,250GB,32–104,PROD-11854
DataSphere,17,18,8,22,5TB,-4–140,PROD-11237
CoreAnalytics,30,60,21,11,250GB,14–122,PROD-11296
DataSphere,20,35,27,18,500GB,0–158,PROD-11602
NetConnect,12,39,12,10,500GB,-4–140,PROD-11278
CoreAnalytics,33,49,32,16,250GB,-4–140,PROD-11772
DataSphere,40,54,18,40,1TB,10–120,PROD-11248
CloudEdge,28,20,7,17,250GB,14–122,PROD-11486
CoreAnalytics,29,42,21,14,250GB,14–122,PROD-11726
DataSphere,32,54,12,39,1TB,-4–140,PROD-11813
CloudEdge,9,50,35,22,500GB,-4–140,PROD-11486
CoreAnalytics,34,45,17,5,5TB,0–158,PROD-11669
CoreAnalytics,39,46,18,34,500GB,10–120,PROD-11312
DataSphere,26,47,13,20,500GB,0–158,PROD-11906
DataSphere,9,41,12,28,2TB,-4–140,PROD-11928
DataSphere,35,20,10,18,1TB,14–122,PROD-11574
Insight360,34,16,14,5,5TB,0–158,PROD-11174
CoreAnalytics,13,44,35,36,250GB,0–158,PROD-11974
Insight360,18,12,19,15,2TB,10–120,PROD-11693
Insight360,11,42,24,28,2TB,10–120,PROD-11844
Insight360,32,29,5,6,500GB,-4–140,PROD-11358
CoreAnalytics,35,14,19,9,2TB,14–122,PROD-11218
CoreAnalytics,26,54,12,25,500GB,0–158,PROD-11938
CloudEdge,28,33,18,35,500GB,-4–140,PROD-11594
NetConnect,17,60,13,13,2TB,14–122,PROD-11506
CoreAnalytics,28,28,20,37,1TB,32–104,PROD-11821
CoreAnalytics,29,38,35,29,1TB,0–158,PROD-11325
CloudEdge,27,19,34,12,250GB,-4–140,PROD-11229
CoreAnalytics,13,50,24,33,500GB,0–158,PROD-11891
CoreAnalytics,12,42,8,19,500GB,32–104,PROD-11301
DataSphere,31,42,16,18,5TB,14–122,PROD-11646
NetConnect,27,35,29,33,1TB,0–158,PROD-11069
CoreAnalytics,12,46,22,24,500GB,14–122,PROD-11532
CloudEdge,24,30,6,27,250GB,10–120,PROD-11552
Insight360,20,22,13,21,500GB,10–120,PROD-11764
Insight360,34,52,34,7,5TB,14–122,PROD-11369
Insight360,25,35,8,13,250GB,32–104,PROD-11636
NetConnect,14,26,11,16,250GB,14–122,PROD-11753
Insight360,23,53,6,24,500GB,10–120,PROD-11079
Insight360,29,55,7,17,1TB,32–104,PROD-11102
Insight360,9,23,21,24,5TB,-4–140,PROD-11209
Insight360,26,27,7,33,1TB,14–122,PROD-11305
Insight360,18,57,11,36,1TB,-4–140,PROD-11977
DataSphere,33,29,16,13,1TB,0–158,PROD-11772
NetConnect,24,30,33,13,500GB,32–104,PROD-11567
CloudEdge,38,23,16,31,1TB,-4–140,PROD-11720
Insight360,20,32,27,31,1TB,32–104,PROD-11495
NetConnect,15,58,30,7,2TB,14–122,PROD-11537
Insight360,22,41,21,24,250GB,32–104,PROD-11549
DataSphere,19,44,13,9,1TB,-4–140,PROD-11799
CoreAnalytics,21,32,12,23,500GB,32–104,PROD-11664
CoreAnalytics,11,54,33,22,1TB,14–122,PROD-11118
Insight360,28,50,33,32,5TB,0–158,PROD-11318
NetConnect,11,27,20,18,500GB,14–122,PROD-11016
CloudEdge,8,17,7,13,250GB,32–104,PROD-11663
Insight360,21,43,12,17,250GB,-4–140,PROD-11380
DataSphere,29,23,30,6,250GB,10–120,PROD-11753
CoreAnalytics,37,58,32,10,1TB,14–122,PROD-11126
DataSphere,23,31,19,29,5TB,-4–140,PROD-11115
Insight360,40,22,28,6,1TB,32–104,PROD-11836
CloudEdge,38,58,25,39,5TB,-4–140,PROD-11213
NetConnect,18,13,10,39,5TB,-4–140,PROD-11054
Insight360,19,49,10,10,1TB,10–120,PROD-11756
DataSphere,22,20,16,7,500GB,-4–140,PROD-11978
CloudEdge,23,48,20,14,500GB,32–104,PROD-11429
CoreAnalytics,22,15,24,28,2TB,-4–140,PROD-11481
Insight360,36,42,8,40,1TB,0–158,PROD-11888
CoreAnalytics,26,54,9,24,250GB,14–122,PROD-11267
NetConnect,18,10,27,21,5TB,0–158,PROD-11567
DataSphere,39,47,16,30,5TB,32–104,PROD-11444
NetConnect,33,43,11,13,5TB,0–158,PROD-11319
DataSphere,29,27,33,23,5TB,10–120,PROD-11838
DataSphere,24,36,27,30,500GB,10–120,PROD-11567
NetConnect,22,48,35,10,250GB,32–104,PROD-11155
CloudEdge,38,41,35,40,5TB,0–158,PROD-11480
CoreAnalytics,16,60,23,25,500GB,10–120,PROD-11170
Insight360,28,51,27,28,2TB,14–122,PROD-11988
DataSphere,23,45,12,19,1TB,14–122,PROD-11901
CloudEdge,16,29,15,9,500GB,14–122,PROD-11704
Insight360,8,44,6,9,5TB,14–122,PROD-11325
DataSphere,29,27,31,28,250GB,14–122,PROD-11298
Insight360,26,20,22,25,500GB,-4–140,PROD-11186
NetConnect,22,23,31,7,1TB,14–122,PROD-11626
Insight360,28,35,12,36,5TB,-4–140,PROD-11150
DataSphere,23,14,27,35,1TB,0–158,PROD-11529
NetConnect,12,33,25,32,250GB,-4–140,PROD-11461
CoreAnalytics,37,22,16,32,2TB,32–104,PROD-11375
Insight360,31,15,30,26,250GB,14–122,PROD-11621
NetConnect,11,17,9,15,5TB,10–120,PROD-11485
CloudEdge,34,56,6,5,2TB,10–120,PROD-11871
Insight360,12,50,5,38,500GB,14–122,PROD-11182
DataSphere,32,13,27,13,2TB,-4–140,PROD-11027
DataSphere,39,26,17,16,5TB,-4–140,PROD-11773
CloudEdge,33,16,10,40,5TB,0–158,PROD-11615
CoreAnalytics,31,23,29,27,500GB,0–158,PROD-11370
CloudEdge,24,57,13,26,250GB,14–122,PROD-11567
CoreAnalytics,28,33,31,34,1TB,32–104,PROD-11090
CloudEdge,33,30,8,28,5TB,10–120,PROD-11465
CloudEdge,35,36,6,25,5TB,32–104,PROD-11698
DataSphere,31,17,13,23,500GB,32–104,PROD-11712
CoreAnalytics,34,19,33,17,1TB,10–120,PROD-11966
NetConnect,19,39,14,39,1TB,14–122,PROD-11663
NetConnect,16,31,14,26,5TB,14–122,PROD-11604
NetConnect,17,59,11,39,500GB,0–158,PROD-11234
DataSphere,36,28,34,39,500GB,10–120,PROD-11561
Insight360,38,21,31,17,500GB,32–104,PROD-11777
DataSphere,29,43,24,40,1TB,0–158,PROD-11304
DataSphere,11,34,35,31,500GB,32–104,PROD-11064
Insight360,24,39,6,36,2TB,0–158,PROD-11905
DataSphere,19,25,8,14,1TB,10–120,PROD-11861
CloudEdge,23,41,27,31,1TB,14–122,PROD-11273
NetConnect,20,48,23,34,1TB,32–104,PROD-11021
DataSphere,24,21,35,21,250GB,32–104,PROD-11174
Insight360,13,44,8,11,2TB,0–158,PROD-11960
CloudEdge,39,23,28,25,2TB,14–122,PROD-11655
Insight360,21,23,31,10,5TB,0–158,PROD-11348
CoreAnalytics,10,18,23,7,5TB,32–104,PROD-11063
NetConnect,17,15,34,25,1TB,14–122,PROD-11247
CloudEdge,28,17,31,35,250GB,14–122,PROD-11824
NetConnect,20,48,26,19,250GB,10–120,PROD-11775
DataSphere,39,46,32,35,500GB,0–158,PROD-11151
Insight360,19,46,19,11,500GB,-4–140,PROD-11562
DataSphere,23,22,23,32,250GB,-4–140,PROD-11372
NetConnect,34,35,27,27,250GB,10–120,PROD-11374
NetConnect,16,53,34,38,500GB,14–122,PROD-11653
Insight360,13,23,25,23,2TB,-4–140,PROD-11360
DataSphere,9,18,8,36,5TB,14–122,PROD-11591
NetConnect,39,37,21,26,500GB,10–120,PROD-11382
NetConnect,18,20,15,17,1TB,0–158,PROD-11592
DataSphere,13,31,30,25,250GB,-4–140,PROD-11033
CloudEdge,23,31,31,17,5TB,14–122,PROD-11571
CloudEdge,28,15,11,8,500GB,0–158,PROD-11980
NetConnect,22,15,22,22,5TB,10–120,PROD-11715
NetConnect,33,50,15,16,1TB,-4–140,PROD-11989
DataSphere,9,37,5,24,5TB,14–122,PROD-11584
DataSphere,26,38,23,15,250GB,10–120,PROD-11273
CloudEdge,23,45,15,8,1TB,14–122,PROD-11609
Insight360,33,28,8,14,1TB,32–104,PROD-11791
DataSphere,25,23,31,22,5TB,10–120,PROD-11303
NetConnect,37,48,29,8,1TB,14–122,PROD-11359
Insight360,8,18,10,19,5TB,32–104,PROD-11603
Insight360,27,46,34,30,500GB,10–120,PROD-11817
Insight360,27,31,29,30,250GB,0–158,PROD-11463
CoreAnalytics,20,32,11,29,500GB,32–104,PROD-11789
NetConnect,36,59,12,31,2TB,10–120,PROD-11964
DataSphere,34,10,13,35,250GB,-4–140,PROD-11666
DataSphere,9,60,30,14,250GB,-4–140,PROD-11105
NetConnect,8,40,17,16,2TB,14–122,PROD-11453
NetConnect,31,41,16,38,250GB,10–120,PROD-11085
Insight360,38,52,27,32,5TB,14–122,PROD-11177
Insight360,27,54,7,21,250GB,10–120,PROD-11825
Insight360,30,42,24,24,250GB,10–120,PROD-11788
NetConnect,39,18,13,9,500GB,14–122,PROD-11459
Insight360,15,56,35,13,500GB,-4–140,PROD-11333
NetConnect,10,53,10,8,1TB,0–158,PROD-11382
Insight360,23,52,31,34,2TB,14–122,PROD-11771
CloudEdge,9,29,25,21,5TB,0–158,PROD-11755
NetConnect,11,49,28,39,1TB,10–120,PROD-11179
NetConnect,35,35,11,24,5TB,14–122,PROD-11276
CloudEdge,29,51,5,30,1TB,10–120,PROD-11383
CoreAnalytics,9,36,34,39,250GB,-4–140,PROD-11623
CoreAnalytics,33,42,9,28,1TB,14–122,PROD-11084
DataSphere,8,52,6,16,5TB,0–158,PROD-11205
Insight360,40,26,14,30,1TB,32–104,PROD-11411
CoreAnalytics,15,29,31,13,1TB,32–104,PROD-11291
CoreAnalytics,15,42,29,10,5TB,10–120,PROD-11066
NetConnect,39,12,12,18,2TB,14–122,PROD-11387
CoreAnalytics,34,33,14,24,250GB,10–120,PROD-11789
CloudEdge,14,31,20,18,250GB,10–120,PROD-11550
NetConnect,40,16,19,30,500GB,10–120,PROD-11586
CloudEdge,21,17,33,30,250GB,14–122,PROD-11530
Insight360,13,25,22,26,1TB,0–158,PROD-11711
Insight360,29,45,10,9,2TB,10–120,PROD-11641
CoreAnalytics,22,49,7,23,1TB,10–120,PROD-11569
CloudEdge,24,24,10,8,250GB,32–104,PROD-11125
Insight360,17,20,22,12,1TB,14–122,PROD-11808
Insight360,25,26,11,23,250GB,10–120,PROD-11091
Insight360,11,45,7,5,500GB,32–104,PROD-11369
NetConnect,15,45,33,29,2TB,0–158,PROD-11593
CoreAnalytics,24,53,34,20,500GB,-4–140,PROD-11333
CloudEdge,20,14,22,10,5TB,10–120,PROD-11672
CoreAnalytics,9,37,7,28,2TB,32–104,PROD-11782
NetConnect,31,44,6,34,250GB,32–104,PROD-11312
NetConnect,9,49,22,21,5TB,-4–140,PROD-11385
DataSphere,15,43,12,39,500GB,0–158,PROD-11550
CoreAnalytics,40,31,28,20,250GB,14–122,PROD-11926
DataSphere,40,57,5,13,2TB,-4–140,PROD-11858
Insight360,10,24,10,11,250GB,14–122,PROD-11410
DataSphere,20,27,28,32,250GB,14–122,PROD-11448
CloudEdge,30,43,31,27,2TB,10–120,PROD-11518
CoreAnalytics,11,58,24,36,500GB,14–122,PROD-11697
CoreAnalytics,11,16,28,24,500GB,0–158,PROD-11299
Insight360,28,41,21,35,500GB,32–104,PROD-11666
Insight360,31,55,15,38,250GB,0–158,PROD-11742
DataSphere,12,57,28,21,2TB,-4–140,PROD-11537
NetConnect,13,60,10,19,1TB,0–158,PROD-11213
NetConnect,34,22,6,20,5TB,10–120,PROD-11540
Insight360,16,55,7,17,250GB,10–120,PROD-11200
Insight360,23,30,14,19,5TB,-4–140,PROD-11309
Insight360,39,33,5,5,500GB,0–158,PROD-11666
CoreAnalytics,14,25,33,18,1TB,10–120,PROD-11813
CoreAnalytics,37,41,16,11,500GB,0–158,PROD-11018
Insight360,15,46,27,26,2TB,14–122,PROD-11530
CloudEdge,31,27,23,30,2TB,-4–140,PROD-11656
NetConnect,39,38,7,5,250GB,0–158,PROD-11813
CoreAnalytics,40,47,10,12,500GB,0–158,PROD-11530
NetConnect,14,60,28,39,5TB,32–104,PROD-11879
NetConnect,8,39,14,34,5TB,14–122,PROD-11241
Insight360,16,24,33,31,500GB,-4–140,PROD-11691
NetConnect,24,20,24,28,250GB,10–120,PROD-11326
CoreAnalytics,16,41,32,6,2TB,10–120,PROD-11022
NetConnect,39,46,10,36,2TB,32–104,PROD-11287
CoreAnalytics,10,42,11,17,5TB,14–122,PROD-11492
CoreAnalytics,35,41,26,28,1TB,14–122,PROD-11758
NetConnect,13,56,25,9,5TB,-4–140,PROD-11380
NetConnect,16,33,35,14,5TB,10–120,PROD-11525
CloudEdge,14,13,16,38,5TB,32–104,PROD-11496
CoreAnalytics,30,21,14,6,1TB,32–104,PROD-11052
Insight360,35,16,7,16,2TB,32–104,PROD-11040
DataSphere,8,30,15,6,2TB,10–120,PROD-11866
NetConnect,40,47,15,23,500GB,14–122,PROD-11201
CoreAnalytics,23,47,32,36,1TB,14–122,PROD-11869
CoreAnalytics,22,33,12,23,1TB,-4–140,PROD-11962
DataSphere,35,35,19,38,5TB,14–122,PROD-11945
CoreAnalytics,26,45,12,31,250GB,10–120,PROD-11482
DataSphere,20,26,29,12,2TB,0–158,PROD-11509
Insight360,27,16,6,39,5TB,14–122,PROD-11857
CloudEdge,12,32,11,11,250GB,32–104,PROD-11961
CloudEdge,22,26,17,35,5TB,-4–140,PROD-11615
NetConnect,36,29,23,9,1TB,0–158,PROD-11691
CoreAnalytics,31,13,13,6,250GB,32–104,PROD-11968
CoreAnalytics,21,52,28,11,5TB,10–120,PROD-11586
Insight360,26,19,26,30,5TB,14–122,PROD-11992
NetConnect,20,56,35,23,500GB,32–104,PROD-11033
Insight360,13,56,28,11,500GB,32–104,PROD-11884
CloudEdge,18,18,29,7,2TB,0–158,PROD-11296
CoreAnalytics,33,15,33,34,5TB,10–120,PROD-11901
NetConnect,21,22,28,6,2TB,-4–140,PROD-11790
CloudEdge,23,56,5,30,1TB,0–158,PROD-11518
DataSphere,22,21,18,10,5TB,32–104,PROD-11404
CoreAnalytics,26,22,6,24,250GB,14–122,PROD-11886
DataSphere,16,15,14,15,5TB,32–104,PROD-11780
CoreAnalytics,13,53,25,38,5TB,32–104,PROD-11119
NetConnect,21,11,28,40,2TB,32–104,PROD-11214
NetConnect,11,55,25,18,250GB,32–104,PROD-11960
DataSphere,21,23,29,27,500GB,10–120,PROD-11001
NetConnect,25,30,7,9,250GB,0–158,PROD-11719
Insight360,28,25,33,7,250GB,0–158,PROD-11430
