NPS_ID,Customer Feedback,Survey Score,Incident ID,Return_ID,Customer_ID,Survey Date,Channel,Region,Surveyor / Agent
NPS-90028,Product setup was confusing,7,SR-83755,RET-50673,CUST-10560,2025-08-01,Email,North America,Richard Nguyen
NPS-90029,"Great support, quick resolution",8,SR-80725,RET-50105,CUST-10028,2025-07-05,SMS,North America,Adam Martinez
NPS-90030,Excellent delivery experience,6,SR-80237,RET-50928,CUST-10177,2025-08-08,Email,Europe,Ivan Shelton
NPS-90031,"Great support, quick resolution",4,SR-83997,RET-50990,CUST-10475,2025-08-12,Phone,Europe,Christopher Norris
NPS-90032,Excellent delivery experience,10,SR-81797,RET-50199,CUST-10584,2025-06-08,SMS,Europe,Charles Clark
NPS-90033,Product setup was confusing,10,SR-81579,RET-50125,CUST-10095,2025-07-07,In-store,Latin America,Michael Singleton
NPS-90034,Would definitely recommend,4,SR-80483,RET-50754,CUST-10975,2025-03-07,In-store,Asia-Pacific,Russell Owen
NPS-90035,"Great support, quick resolution",7,SR-83724,RET-50997,CUST-10220,2025-08-22,SMS,Middle East,Edgar Stephens
NPS-90036,Product setup was confusing,6,SR-80537,RET-50876,CUST-10025,2025-01-20,Email,North America,David Ortega
NPS-90037,Would definitely recommend,9,SR-80132,RET-50849,CUST-10384,2025-05-10,Web App,Middle East,Melody Mcgee
NPS-90038,Excellent delivery experience,7,SR-84610,RET-50558,CUST-10870,2025-02-21,Email,North America,Jacob Ferguson
NPS-90039,Average service,5,SR-83801,RET-50064,CUST-10142,2025-04-24,SMS,Latin America,Dawn Kline
NPS-90040,"Great support, quick resolution",3,SR-84950,RET-50003,CUST-10940,2025-08-07,In-store,Europe,Christopher Cortez
NPS-90041,Would definitely recommend,8,SR-82430,RET-50846,CUST-10494,2025-03-03,Email,North America,Jose Norton
NPS-90042,"Great support, quick resolution",5,SR-84242,RET-50507,CUST-10752,2025-06-23,Phone,Asia-Pacific,Phillip Berry
NPS-90043,Product setup was confusing,10,SR-84578,RET-50319,CUST-10724,2025-01-09,SMS,Europe,Brandon Carlson Jr.
NPS-90044,Average service,3,SR-84298,RET-50963,CUST-10509,2025-02-11,SMS,Middle East,Laura Mclaughlin
NPS-90045,Would definitely recommend,8,SR-80060,RET-50402,CUST-10296,2025-06-09,Email,North America,Rebecca Robbins
NPS-90046,Would definitely recommend,5,SR-80855,RET-50627,CUST-10884,2025-03-28,In-store,Asia-Pacific,Trevor Wilson
NPS-90047,Product setup was confusing,2,SR-82321,RET-50987,CUST-10175,2025-03-23,Email,Asia-Pacific,Terrence Lopez
NPS-90048,Would definitely recommend,4,SR-81722,RET-50035,CUST-10151,2025-05-06,In-store,Middle East,Kenneth Barker
NPS-90049,Excellent delivery experience,5,SR-84973,RET-50751,CUST-10126,2025-04-23,Phone,North America,Tonya Hull
NPS-90050,Product setup was confusing,2,SR-80735,RET-50018,CUST-10967,2025-01-08,SMS,North America,Ryan Maxwell
NPS-90051,Excellent delivery experience,8,SR-83692,RET-50656,CUST-10718,2025-01-11,In-store,Europe,Kathy Ashley
NPS-90052,Average service,3,SR-82267,RET-50670,CUST-10345,2025-01-02,Phone,Middle East,Tonya Burke
NPS-90053,Would definitely recommend,0,SR-80306,RET-50071,CUST-10342,2025-03-08,Web App,Middle East,Christina Carter MD
NPS-90054,Average service,8,SR-81588,RET-50974,CUST-10435,2025-04-27,Phone,Asia-Pacific,Sophia Miles
NPS-90055,Would definitely recommend,10,SR-80298,RET-50081,CUST-10032,2025-03-03,Email,Latin America,Anthony Holt
NPS-90056,"Great support, quick resolution",1,SR-80475,RET-50039,CUST-10427,2025-05-28,Email,Middle East,Jose Robinson
NPS-90057,Excellent delivery experience,6,SR-82320,RET-50973,CUST-10145,2025-06-22,SMS,Asia-Pacific,Christopher Kelley
NPS-90058,Average service,4,SR-84309,RET-50190,CUST-10963,2025-03-11,In-store,Europe,Todd Brown
NPS-90059,Excellent delivery experience,8,SR-82296,RET-50299,CUST-10117,2025-08-26,Phone,Asia-Pacific,Ronald Calderon
NPS-90060,Would definitely recommend,10,SR-83893,RET-50149,CUST-10693,2025-07-10,Web App,Middle East,Benjamin Wood
NPS-90061,Would definitely recommend,9,SR-84823,RET-50256,CUST-10226,2025-06-21,SMS,Asia-Pacific,Christina Gordon
NPS-90062,Would definitely recommend,10,SR-80362,RET-50779,CUST-10844,2025-02-14,Web App,Middle East,Jacob Porter
NPS-90063,Average service,0,SR-80001,RET-50091,CUST-10273,2025-08-06,In-store,Europe,John Richardson
NPS-90064,Average service,10,SR-83538,RET-50457,CUST-10824,2025-06-15,Web App,Middle East,Gina Hernandez
NPS-90065,Excellent delivery experience,1,SR-80819,RET-50122,CUST-10804,2025-07-16,SMS,Middle East,John Rasmussen
NPS-90066,Excellent delivery experience,1,SR-81953,RET-50575,CUST-10032,2025-01-03,SMS,Middle East,Whitney Acosta
NPS-90067,Would definitely recommend,9,SR-81719,RET-50749,CUST-10381,2025-08-24,In-store,Middle East,Katie Holden
NPS-90068,Product setup was confusing,1,SR-80805,RET-50028,CUST-10477,2025-01-03,Web App,Europe,Mark Thomas
NPS-90069,Average service,3,SR-81956,RET-50372,CUST-10605,2025-01-16,SMS,Latin America,Deborah Miller MD
NPS-90070,Would definitely recommend,10,SR-80821,RET-50830,CUST-10178,2025-01-10,In-store,North America,Jessica Dalton
NPS-90071,Excellent delivery experience,8,SR-80451,RET-50882,CUST-10899,2025-03-22,Email,North America,Alexa Wallace
NPS-90072,Excellent delivery experience,2,SR-84696,RET-50641,CUST-10696,2025-06-27,Web App,Latin America,Mary Mendoza
NPS-90073,"Great support, quick resolution",3,SR-81863,RET-50838,CUST-10051,2025-07-28,In-store,Latin America,Cory Kline
NPS-90074,"Great support, quick resolution",4,SR-84002,RET-50340,CUST-10255,2025-08-24,Email,Middle East,Anita Wagner
NPS-90075,Would definitely recommend,2,SR-81759,RET-50915,CUST-10368,2025-04-28,Email,Europe,Heidi Gardner
NPS-90076,Excellent delivery experience,7,SR-80769,RET-50790,CUST-10347,2025-02-14,SMS,North America,Robert Reeves
NPS-90077,Excellent delivery experience,0,SR-80240,RET-50105,CUST-10472,2025-08-03,In-store,Latin America,Kyle Thomas
NPS-90078,"Great support, quick resolution",5,SR-80617,RET-50558,CUST-10304,2025-02-19,SMS,Asia-Pacific,Robert Schmidt
NPS-90079,Average service,9,SR-84123,RET-50786,CUST-10494,2025-05-24,Web App,Latin America,David Garcia
NPS-90080,"Great support, quick resolution",4,SR-83339,RET-50283,CUST-10214,2025-04-20,Web App,North America,Amanda Flowers
NPS-90081,Would definitely recommend,0,SR-82080,RET-50273,CUST-10559,2025-03-24,Phone,Europe,Jason Johnson
NPS-90082,Average service,3,SR-82457,RET-50208,CUST-10896,2025-07-06,In-store,Latin America,Sharon Armstrong
NPS-90083,Excellent delivery experience,3,SR-81041,RET-50262,CUST-10488,2025-04-29,Email,Asia-Pacific,Audrey Simmons
NPS-90084,Average service,10,SR-82041,RET-50911,CUST-10596,2025-04-20,Phone,Middle East,Daniel Smith
NPS-90085,Would definitely recommend,10,SR-83688,RET-50315,CUST-10308,2025-07-31,Phone,Middle East,Elizabeth Henderson
NPS-90086,Excellent delivery experience,1,SR-81076,RET-50797,CUST-10752,2025-07-17,In-store,Latin America,Cassandra Johnson
NPS-90087,Would definitely recommend,1,SR-81271,RET-50191,CUST-10706,2025-04-05,SMS,Middle East,Kelsey Aguilar
NPS-90088,Product setup was confusing,4,SR-81157,RET-50827,CUST-10465,2025-01-02,In-store,Middle East,Lori Phillips
NPS-90089,Would definitely recommend,2,SR-84608,RET-50943,CUST-10158,2025-06-28,Web App,Middle East,Selena Short
NPS-90090,Excellent delivery experience,6,SR-80721,RET-50381,CUST-10392,2025-02-14,In-store,North America,Madeline Perkins
NPS-90091,"Great support, quick resolution",3,SR-84617,RET-50923,CUST-10516,2025-07-11,SMS,Europe,Catherine Mckay
NPS-90092,"Great support, quick resolution",10,SR-83324,RET-50995,CUST-10822,2025-03-09,SMS,Middle East,Joseph Robinson
NPS-90093,Would definitely recommend,10,SR-81565,RET-50322,CUST-10135,2025-08-29,Phone,Latin America,Jeremy Thompson
NPS-90094,Excellent delivery experience,8,SR-82630,RET-50766,CUST-10967,2025-03-17,Web App,North America,Brandon Chavez
NPS-90095,"Great support, quick resolution",9,SR-81870,RET-50724,CUST-10511,2025-03-15,In-store,Latin America,Christine Davis
NPS-90096,Excellent delivery experience,8,SR-83557,RET-50124,CUST-10810,2025-08-04,Email,North America,Collin Holmes
NPS-90097,Average service,3,SR-80267,RET-50316,CUST-10192,2025-08-27,Email,Latin America,Diana Smith
NPS-90098,Product setup was confusing,3,SR-83946,RET-50447,CUST-10001,2025-07-04,In-store,Asia-Pacific,Rebecca Powers
NPS-90099,Average service,10,SR-80788,RET-50873,CUST-10544,2025-02-23,SMS,Latin America,Steve Oliver
NPS-90100,Average service,7,SR-83227,RET-50439,CUST-10159,2025-01-06,Email,Middle East,Thomas Coleman
NPS-90101,Product setup was confusing,5,SR-84936,RET-50706,CUST-10380,2025-05-12,Phone,North America,Amanda Jones
NPS-90102,Product setup was confusing,0,SR-80540,RET-50795,CUST-10472,2025-01-18,Email,Middle East,Heather Garrett
NPS-90103,Would definitely recommend,4,SR-82863,RET-50144,CUST-10094,2025-07-01,Email,Middle East,Brandon Rivers
NPS-90104,"Great support, quick resolution",0,SR-82242,RET-50188,CUST-10669,2025-03-17,Web App,Europe,Kevin Jones
NPS-90105,Would definitely recommend,9,SR-81333,RET-50558,CUST-10224,2025-07-12,Phone,Asia-Pacific,Joseph Adams
NPS-90106,Average service,8,SR-84182,RET-50486,CUST-10165,2025-02-06,Web App,Asia-Pacific,Jake Fletcher
NPS-90107,Excellent delivery experience,6,SR-84383,RET-50334,CUST-10976,2025-08-21,SMS,Middle East,Dr. David Torres
NPS-90108,Product setup was confusing,0,SR-83694,RET-50292,CUST-10077,2025-06-03,Web App,Latin America,Tiffany Lewis
NPS-90109,"Great support, quick resolution",6,SR-84356,RET-50655,CUST-10060,2025-08-11,Web App,Middle East,David Rasmussen
NPS-90110,"Great support, quick resolution",8,SR-81016,RET-50189,CUST-10639,2025-05-07,In-store,Europe,Ashley Hardy
NPS-90111,Would definitely recommend,4,SR-81355,RET-50046,CUST-10163,2025-05-12,Phone,Asia-Pacific,Joshua White
NPS-90112,Would definitely recommend,6,SR-80990,RET-50741,CUST-10579,2025-01-29,Email,Asia-Pacific,Monique Johnson
NPS-90113,"Great support, quick resolution",3,SR-84861,RET-50600,CUST-10287,2025-03-21,Web App,Middle East,Matthew Mitchell
NPS-90114,Excellent delivery experience,1,SR-80312,RET-50019,CUST-10109,2025-05-16,Phone,North America,Carl Watson
NPS-90115,Would definitely recommend,6,SR-84464,RET-50935,CUST-10075,2025-06-04,Email,Middle East,Erica Parks
NPS-90116,Average service,8,SR-81547,RET-50226,CUST-10661,2025-08-17,In-store,Middle East,Roberta Perry
NPS-90117,Would definitely recommend,1,SR-84841,RET-50742,CUST-10882,2025-04-06,Email,Asia-Pacific,Paula Cooper
NPS-90118,Excellent delivery experience,9,SR-83460,RET-50455,CUST-10170,2025-02-08,In-store,Middle East,Carolyn Carey
NPS-90119,"Great support, quick resolution",9,SR-84488,RET-50297,CUST-10520,2025-04-21,Email,North America,Nicole Summers
NPS-90120,Excellent delivery experience,8,SR-80251,RET-50612,CUST-10362,2025-08-17,Phone,North America,James Jimenez
NPS-90121,Average service,3,SR-83493,RET-50252,CUST-10665,2025-05-01,Phone,Middle East,Joseph Montoya
NPS-90122,Would definitely recommend,6,SR-83199,RET-50893,CUST-10708,2025-04-19,Web App,Asia-Pacific,Aaron Richardson
NPS-90123,Product setup was confusing,2,SR-82825,RET-50510,CUST-10449,2025-01-29,In-store,Asia-Pacific,Jeffery Taylor
NPS-90124,Product setup was confusing,4,SR-84878,RET-50678,CUST-10620,2025-02-21,SMS,Europe,Jessica Abbott
NPS-90125,Excellent delivery experience,5,SR-83205,RET-50980,CUST-10158,2025-01-05,SMS,Middle East,Alicia Young
NPS-90126,Average service,8,SR-81349,RET-50082,CUST-10858,2025-03-31,In-store,Latin America,Joshua Robinson
NPS-90127,Average service,5,SR-83960,RET-50931,CUST-10034,2025-02-03,SMS,North America,Kelli Gordon
NPS-90128,Would definitely recommend,8,SR-80659,RET-50336,CUST-10329,2025-02-05,SMS,Europe,Ray Butler
NPS-90129,Would definitely recommend,7,SR-80688,RET-50241,CUST-10140,2025-07-28,Web App,Asia-Pacific,Bryan Rivas
NPS-90130,"Great support, quick resolution",7,SR-84996,RET-50150,CUST-10971,2025-07-10,Phone,North America,Tina Rodriguez
NPS-90131,Excellent delivery experience,1,SR-84386,RET-50679,CUST-10962,2025-05-03,Phone,Europe,Rita Frost
NPS-90132,Excellent delivery experience,8,SR-82201,RET-50361,CUST-10179,2025-03-29,Phone,Middle East,Bradley Garner
NPS-90133,Would definitely recommend,6,SR-83284,RET-50212,CUST-10947,2025-04-26,Phone,Latin America,Suzanne Mcguire
NPS-90134,Average service,2,SR-82664,RET-50490,CUST-10358,2025-05-02,Phone,North America,Ashley Murray
NPS-90135,Would definitely recommend,7,SR-82762,RET-50945,CUST-10777,2025-02-16,Web App,Asia-Pacific,Lisa Barnes
NPS-90136,Excellent delivery experience,0,SR-84909,RET-50606,CUST-10623,2025-06-10,In-store,Asia-Pacific,Michael Golden
NPS-90137,Product setup was confusing,4,SR-83468,RET-50405,CUST-10504,2025-03-13,In-store,Middle East,Michelle Cabrera
NPS-90138,"Great support, quick resolution",8,SR-83425,RET-50412,CUST-10941,2025-04-14,Phone,Europe,Natalie Howard
NPS-90139,Would definitely recommend,8,SR-82764,RET-50627,CUST-10702,2025-05-05,Phone,Latin America,Alexander Williams
NPS-90140,Average service,1,SR-84081,RET-50462,CUST-10591,2025-01-14,SMS,Middle East,Audrey Hess
NPS-90141,Product setup was confusing,3,SR-82483,RET-50121,CUST-10494,2025-01-15,Email,North America,Rick Taylor
NPS-90142,Product setup was confusing,7,SR-83121,RET-50735,CUST-10287,2025-06-13,In-store,Asia-Pacific,Chad Johnson
NPS-90143,Product setup was confusing,1,SR-84217,RET-50614,CUST-10379,2025-07-23,Email,Asia-Pacific,Jason King
NPS-90144,"Great support, quick resolution",4,SR-84307,RET-50827,CUST-10860,2025-05-18,SMS,Europe,Ashley Nelson
NPS-90145,Would definitely recommend,1,SR-80032,RET-50407,CUST-10416,2025-06-03,SMS,Middle East,Derrick Singleton
NPS-90146,Average service,10,SR-80597,RET-50262,CUST-10041,2025-02-17,SMS,Middle East,Abigail Cortez
NPS-90147,Would definitely recommend,10,SR-80916,RET-50394,CUST-10399,2025-05-12,Email,Latin America,Bruce Stewart
NPS-90148,Excellent delivery experience,5,SR-84586,RET-50663,CUST-10786,2025-04-16,Web App,Middle East,Gina Freeman
NPS-90149,"Great support, quick resolution",4,SR-84977,RET-50499,CUST-10908,2025-01-15,Email,Asia-Pacific,Keith Strong
NPS-90150,Excellent delivery experience,8,SR-80868,RET-50937,CUST-10475,2025-05-14,In-store,North America,Philip Ramirez
NPS-90151,Excellent delivery experience,3,SR-81973,RET-50527,CUST-10497,2025-04-22,SMS,Latin America,Joseph Gordon
NPS-90152,Product setup was confusing,4,SR-84628,RET-50946,CUST-10800,2025-02-27,SMS,Europe,Todd Davis
NPS-90153,Would definitely recommend,4,SR-80481,RET-50096,CUST-10213,2025-03-07,Email,Latin America,Frances Mitchell
NPS-90154,"Great support, quick resolution",2,SR-80580,RET-50426,CUST-10646,2025-05-07,In-store,North America,Troy Blair
NPS-90155,Average service,3,SR-83040,RET-50718,CUST-10346,2025-06-18,Web App,North America,Jason Smith
NPS-90156,Would definitely recommend,5,SR-81436,RET-50136,CUST-10974,2025-05-22,Phone,Latin America,Manuel Gomez
NPS-90157,"Great support, quick resolution",6,SR-81028,RET-50619,CUST-10544,2025-03-24,Web App,Europe,Margaret West
NPS-90158,Average service,7,SR-83578,RET-50630,CUST-10307,2025-04-22,Web App,Latin America,Dan Reynolds
NPS-90159,Average service,7,SR-80702,RET-50682,CUST-10416,2025-01-05,In-store,Latin America,Caleb Perry
NPS-90160,Product setup was confusing,9,SR-84585,RET-50786,CUST-10901,2025-02-28,In-store,Europe,Laura Houston
NPS-90161,Average service,3,SR-81801,RET-50229,CUST-10248,2025-05-07,Phone,Middle East,Sarah Palmer
NPS-90162,Would definitely recommend,8,SR-83108,RET-50292,CUST-10470,2025-04-01,Phone,Asia-Pacific,Karen Campbell
NPS-90163,Would definitely recommend,4,SR-83208,RET-50790,CUST-10126,2025-01-10,Phone,Asia-Pacific,Sydney Nielsen
NPS-90164,Excellent delivery experience,3,SR-81950,RET-50499,CUST-10030,2025-06-10,Phone,Asia-Pacific,Thomas Warren
NPS-90165,Excellent delivery experience,9,SR-80464,RET-50371,CUST-10082,2025-03-12,Web App,North America,Gerald Martin
NPS-90166,Excellent delivery experience,6,SR-82575,RET-50245,CUST-10232,2025-06-15,In-store,Middle East,Caitlin Larson
NPS-90167,Product setup was confusing,1,SR-82085,RET-50526,CUST-10653,2025-07-26,Email,Latin America,Ann Gentry
NPS-90168,"Great support, quick resolution",4,SR-82384,RET-50893,CUST-10388,2025-04-05,SMS,North America,Julian Camacho
NPS-90169,"Great support, quick resolution",1,SR-83040,RET-50091,CUST-10955,2025-01-13,Web App,Asia-Pacific,Douglas Wilson
NPS-90170,Would definitely recommend,2,SR-84673,RET-50624,CUST-10879,2025-01-21,Email,Asia-Pacific,Jesse Evans
NPS-90171,Excellent delivery experience,6,SR-83967,RET-50572,CUST-10115,2025-01-30,Web App,Asia-Pacific,Michael Fox
NPS-90172,Would definitely recommend,8,SR-80016,RET-50042,CUST-10783,2025-01-06,SMS,Middle East,Olivia Acosta
NPS-90173,Would definitely recommend,6,SR-81218,RET-50936,CUST-10150,2025-05-07,SMS,Europe,Mark White
NPS-90174,"Great support, quick resolution",7,SR-80799,RET-50465,CUST-10569,2025-02-19,In-store,Middle East,Paul Sims
NPS-90175,Product setup was confusing,8,SR-80218,RET-50582,CUST-10228,2025-06-22,SMS,Middle East,Kathryn Garrett
NPS-90176,Average service,9,SR-80025,RET-50975,CUST-10844,2025-05-16,Email,Latin America,Elizabeth White MD
NPS-90177,Average service,5,SR-80344,RET-50139,CUST-10225,2025-08-01,Phone,Europe,Mary Goodman
NPS-90178,Average service,9,SR-84248,RET-50088,CUST-10821,2025-01-19,Email,Asia-Pacific,Angelica Thomas
NPS-90179,Excellent delivery experience,1,SR-81273,RET-50907,CUST-10183,2025-03-20,Web App,Middle East,Joann Bautista
NPS-90180,Average service,5,SR-80501,RET-50792,CUST-10711,2025-05-05,Phone,Europe,Louis Bates
NPS-90181,Product setup was confusing,7,SR-83256,RET-50830,CUST-10345,2025-02-19,In-store,Latin America,Alexander Williams
NPS-90182,"Great support, quick resolution",3,SR-84457,RET-50580,CUST-10921,2025-01-28,In-store,Middle East,Benjamin Garcia
NPS-90183,"Great support, quick resolution",0,SR-81304,RET-50858,CUST-10212,2025-01-20,Email,Asia-Pacific,Shelley Martinez
NPS-90184,"Great support, quick resolution",10,SR-81178,RET-50975,CUST-10410,2025-03-21,SMS,Middle East,Valerie Montgomery
NPS-90185,Would definitely recommend,10,SR-84576,RET-50425,CUST-10641,2025-03-26,In-store,Latin America,Mark Gregory
NPS-90186,"Great support, quick resolution",9,SR-80050,RET-50436,CUST-10911,2025-08-13,Web App,North America,Matthew Hopkins
NPS-90187,Average service,6,SR-83547,RET-50517,CUST-10543,2025-08-24,In-store,Latin America,Justin Hartman
NPS-90188,Average service,8,SR-82024,RET-50588,CUST-10645,2025-08-25,SMS,North America,Tammie Spencer
NPS-90189,Would definitely recommend,0,SR-81820,RET-50580,CUST-10230,2025-06-25,In-store,Asia-Pacific,Amanda Woodard
NPS-90190,Average service,6,SR-84031,RET-50158,CUST-10279,2025-05-21,SMS,Asia-Pacific,Sarah Jones
NPS-90191,Would definitely recommend,4,SR-82389,RET-50156,CUST-10054,2025-05-31,SMS,Latin America,Terry Sutton
NPS-90192,Excellent delivery experience,3,SR-83377,RET-50050,CUST-10054,2025-03-26,Phone,Asia-Pacific,Valerie Le
NPS-90193,Would definitely recommend,5,SR-84504,RET-50225,CUST-10506,2025-04-15,Phone,North America,James Allen
NPS-90194,Average service,5,SR-81707,RET-50662,CUST-10417,2025-08-27,Email,Middle East,Taylor Walker
NPS-90195,Excellent delivery experience,9,SR-83012,RET-50340,CUST-10760,2025-03-11,Web App,North America,George Sosa
NPS-90196,Excellent delivery experience,8,SR-82634,RET-50872,CUST-10819,2025-05-07,In-store,Asia-Pacific,Cody Deleon
NPS-90197,Would definitely recommend,5,SR-81850,RET-50351,CUST-10217,2025-04-04,SMS,North America,Paul Davis
NPS-90198,Product setup was confusing,1,SR-83274,RET-50635,CUST-10887,2025-04-16,Web App,Europe,Rhonda Fowler
NPS-90199,Would definitely recommend,9,SR-80572,RET-50599,CUST-10247,2025-07-28,In-store,Middle East,Amanda Cunningham
NPS-90200,Average service,7,SR-84064,RET-50850,CUST-10300,2025-06-12,Web App,Asia-Pacific,Robert Sullivan
NPS-90201,Product setup was confusing,5,SR-82577,RET-50393,CUST-10748,2025-04-25,Email,Europe,Lisa Owen
NPS-90202,Average service,10,SR-80091,RET-50145,CUST-10782,2025-04-13,Phone,Asia-Pacific,Clifford Hinton
NPS-90203,Average service,9,SR-80424,RET-50610,CUST-10463,2025-01-29,In-store,Middle East,Jennifer Rodriguez
NPS-90204,Product setup was confusing,2,SR-80303,RET-50035,CUST-10020,2025-03-07,In-store,North America,Christopher Hess
NPS-90205,Product setup was confusing,1,SR-84893,RET-50415,CUST-10442,2025-01-23,In-store,Latin America,Tony Nelson
NPS-90206,"Great support, quick resolution",8,SR-82636,RET-50179,CUST-10123,2025-02-12,In-store,Europe,Lisa Murphy
NPS-90207,Would definitely recommend,6,SR-82478,RET-50577,CUST-10927,2025-04-22,Phone,North America,Julia Holland
NPS-90208,"Great support, quick resolution",1,SR-84419,RET-50865,CUST-10835,2025-04-07,In-store,North America,Peter Stokes
NPS-90209,"Great support, quick resolution",1,SR-81530,RET-50927,CUST-10280,2025-05-07,Web App,Latin America,Brian Warren
NPS-90210,Excellent delivery experience,5,SR-80174,RET-50682,CUST-10190,2025-01-19,Email,Latin America,Megan Schaefer
NPS-90211,Would definitely recommend,1,SR-82493,RET-50185,CUST-10415,2025-05-24,Web App,Asia-Pacific,Stacy Moss
NPS-90212,Excellent delivery experience,10,SR-81171,RET-50576,CUST-10132,2025-04-23,Web App,Asia-Pacific,Kathleen Patterson
NPS-90213,Product setup was confusing,5,SR-83419,RET-50558,CUST-10684,2025-05-28,Phone,Europe,Tiffany Pacheco
NPS-90214,Average service,4,SR-82284,RET-50866,CUST-10002,2025-07-25,Web App,Middle East,Jason Krueger
NPS-90215,Product setup was confusing,7,SR-82681,RET-50334,CUST-10449,2025-01-27,Email,Europe,Joseph Dunlap
NPS-90216,Excellent delivery experience,2,SR-83269,RET-50630,CUST-10220,2025-04-16,SMS,Middle East,Erin Maldonado
NPS-90217,Excellent delivery experience,9,SR-81667,RET-50701,CUST-10609,2025-05-01,SMS,North America,Dylan Martin
NPS-90218,Average service,2,SR-81837,RET-50588,CUST-10937,2025-02-17,SMS,Middle East,Amy Jones
NPS-90219,Would definitely recommend,0,SR-83872,RET-50543,CUST-10873,2025-01-06,Email,Asia-Pacific,Sandra Schultz
NPS-90220,Product setup was confusing,7,SR-83549,RET-50652,CUST-10899,2025-08-02,Phone,Middle East,Bradley Munoz
NPS-90221,Average service,1,SR-82944,RET-50018,CUST-10861,2025-07-21,Web App,Latin America,Christopher King
NPS-90222,"Great support, quick resolution",2,SR-83425,RET-50632,CUST-10104,2025-06-14,SMS,Latin America,Leslie Lawrence
NPS-90223,"Great support, quick resolution",8,SR-80096,RET-50589,CUST-10179,2025-06-12,In-store,Europe,Deborah Short
NPS-90224,"Great support, quick resolution",8,SR-82732,RET-50004,CUST-10588,2025-01-23,SMS,Latin America,Jackie Hinton
NPS-90225,Product setup was confusing,9,SR-81387,RET-50401,CUST-10521,2025-03-14,Web App,Latin America,Angela Wheeler
NPS-90226,Excellent delivery experience,9,SR-80137,RET-50785,CUST-10469,2025-01-01,SMS,Asia-Pacific,Christopher Duran
NPS-90227,Excellent delivery experience,5,SR-80657,RET-50846,CUST-10907,2025-07-07,Email,Latin America,Karen Harvey
