AdID,ContentID,AdType,AdDuration,AdImpressions,ClickThroughRate,RevenueGenerated,AdCampaignID,SponsorID
63,241,Banner,23,94338,0.0513340292689625,34722.62626083964,7,43
64,78,Mid-roll,48,98135,0.0110505877847353,26561.640606425484,42,14
65,299,Banner,60,14225,0.0435982270803238,26052.01181160824,11,43
66,14,Mid-roll,14,5871,0.0964487627972995,16355.815527895824,13,49
67,335,Mid-roll,34,17592,0.0114416636787773,34662.948592046014,27,50
68,422,Banner,16,29147,0.0736634231163791,26333.05673384206,15,9
69,157,Banner,13,17258,0.098347064565283,38267.51919723168,25,43
70,109,Banner,54,4791,0.0500188724539739,22781.82747388201,28,38
71,102,Pre-roll,51,46190,0.0349664841307885,48150.86274330535,30,24
72,69,Banner,18,11320,0.0303184692566496,15332.41597494308,37,45
73,391,Mid-roll,13,78408,0.0369088450249818,10906.405311168164,40,37
74,392,Pre-roll,40,91003,0.0730110889656895,16341.887269439228,49,26
75,342,Mid-roll,21,97147,0.0807220334078454,23196.51123760835,43,47
76,231,Mid-roll,45,40137,0.0158354504042142,10038.475108612,20,1
77,480,Mid-roll,46,53724,0.0977660651798368,39128.24086772076,42,25
78,218,Banner,60,17710,0.0162793520029247,40352.34513526499,12,30
79,63,Pre-roll,51,88553,0.0117239672745935,48009.46916370573,25,1
80,348,Mid-roll,31,96544,0.0101754523721996,29127.626933542248,8,24
81,418,Pre-roll,28,13301,0.0712037265075056,12770.65631610254,34,43
82,327,Pre-roll,36,64289,0.0465612081812452,23649.023419678066,25,46
83,263,Pre-roll,31,51975,0.0655004778400171,20500.00725080413,46,35
84,149,Pre-roll,30,71896,0.0516156138329583,31503.96040830143,32,16
85,302,Pre-roll,33,37936,0.0665418561735336,26163.236989484893,19,29
86,320,Mid-roll,58,68761,0.06104281392393,45153.656330638216,42,24
87,198,Pre-roll,53,76090,0.0574220044037707,25267.06281065239,37,26
88,239,Pre-roll,44,68420,0.0261946199333564,6154.997913044075,46,11
89,197,Mid-roll,10,40821,0.0955930505052461,38374.43702341581,32,35
90,342,Banner,29,2445,0.0909649124213993,24289.57094173671,20,31
91,121,Mid-roll,19,24026,0.029390986423881,20130.398381451058,13,31
92,83,Banner,23,96813,0.0681268268010019,35688.10896093005,10,19
93,133,Pre-roll,11,94473,0.0723554356709258,31956.55565382205,13,42
94,93,Pre-roll,52,37115,0.0564132153961505,10417.655686654156,43,8
95,487,Mid-roll,44,17514,0.0816932121062065,13133.787101629789,33,23
96,313,Pre-roll,9,58554,0.0251235054720082,42467.28162870907,48,36
97,255,Mid-roll,18,62325,0.0113034606935661,47300.06145007852,39,3
98,87,Banner,55,42026,0.0993215819430417,47122.54153185169,24,9
99,224,Banner,56,23941,0.0768464108695758,35769.909477213354,25,9
100,277,Mid-roll,27,69169,0.0449510114757231,14675.5438799518,50,22
101,333,Mid-roll,32,76796,0.0497346127488434,36984.705729214256,16,18
102,319,Pre-roll,30,52986,0.0391011116846053,37872.5308887937,10,1
103,487,Mid-roll,53,47938,0.0644363291175411,24373.47667925752,1,25
104,20,Banner,51,1510,0.0883710821865211,24803.25501413328,1,6
105,468,Mid-roll,27,2990,0.0803254274990483,22183.285268278265,39,26
106,199,Mid-roll,9,57837,0.0144527749498107,47185.158827081614,6,47
107,324,Mid-roll,47,38669,0.036251523824973,9694.700493250924,35,5
108,206,Banner,48,20467,0.0720357587437355,4942.560321475679,5,45
109,91,Pre-roll,33,61379,0.0378946801427769,23330.52091034352,24,33
110,474,Banner,27,15306,0.0599414444886216,38887.63599528896,46,4
111,459,Pre-roll,19,12618,0.0149209159448756,9736.412267082129,9,31
112,320,Pre-roll,58,55388,0.0168940027864092,3514.711990965256,14,35
113,229,Pre-roll,14,31982,0.0197929683086584,30646.98875607335,8,31
114,494,Pre-roll,26,29635,0.0629201825915575,16999.4495664298,23,8
115,233,Mid-roll,28,37939,0.0999358972210565,26050.57526238238,44,24
116,169,Banner,19,63392,0.0854586594698116,6665.049802378626,26,40
117,152,Banner,30,78416,0.0103057175176134,26060.884383038006,38,38
118,484,Pre-roll,50,34743,0.0134012812347746,35779.991188301625,38,40
119,338,Mid-roll,30,20118,0.0970091089530889,3119.3411183046937,10,24
120,449,Banner,38,44824,0.0893341240102962,37912.52864895521,42,16
121,280,Pre-roll,12,10093,0.048352709729581,20537.73605911927,30,40
122,268,Pre-roll,52,43596,0.0514306811179099,45883.17777985523,9,30
123,77,Mid-roll,15,61755,0.0790925494073321,18611.09533994395,16,24
124,132,Banner,20,21813,0.0564011382575578,8775.614950722833,11,14
125,348,Mid-roll,43,58763,0.0555968757412959,39736.84634534817,9,28
126,359,Banner,39,9973,0.0523433331617629,40298.32483270951,28,13
127,360,Mid-roll,23,41206,0.0566417082903144,14010.836080941184,31,46
128,240,Pre-roll,39,14343,0.0609364753508198,38565.55365916068,50,3
129,269,Mid-roll,44,81394,0.0458524968925013,41195.78686819644,4,29
130,475,Mid-roll,33,78720,0.0424496808032105,33079.68927347496,2,43
131,415,Pre-roll,15,56675,0.0686358221714405,16324.328556607272,35,6
132,475,Mid-roll,20,76639,0.0825789132476982,30256.122211325288,34,8
133,402,Banner,46,53226,0.056474523212709,43821.16123312393,45,4
134,380,Banner,11,87296,0.0921222673461793,6150.39615184333,37,37
135,400,Mid-roll,16,4781,0.0884152448723223,38877.15438206565,43,1
136,159,Banner,60,98618,0.0585512765585561,48545.86917601645,11,16
137,294,Banner,13,69751,0.0294269630016307,37835.92842475125,48,46
138,444,Pre-roll,44,3554,0.0715528072280409,40712.4146842514,7,28
139,4,Mid-roll,34,26358,0.0349121646857311,38829.7364944817,11,49
140,312,Pre-roll,34,11457,0.0636513334980256,34888.4180399053,2,34
141,214,Pre-roll,11,10601,0.0311900991169404,18730.53075343867,23,10
142,64,Pre-roll,40,59196,0.0973493623848327,36070.55241007117,3,13
143,35,Banner,28,87551,0.0103712333179874,17163.099519141433,33,24
144,76,Pre-roll,45,48606,0.0514205779293592,9011.21052891134,44,36
145,196,Mid-roll,35,2562,0.0142665528454172,15090.438598646762,32,13
146,132,Banner,19,2099,0.032142541793073,21706.718510608014,22,42
147,99,Pre-roll,22,3866,0.0754886200751742,36658.02944394821,20,20
148,151,Banner,5,72147,0.019778809323005,27388.9806424954,10,44
149,447,Pre-roll,16,37350,0.0508817809887336,27209.214512287363,39,33
150,209,Pre-roll,54,14863,0.0199689193639057,18492.701454264647,27,39
151,142,Mid-roll,59,22921,0.0478398616990391,38315.56112976781,21,41
152,467,Banner,7,93492,0.0350245817623024,14012.744120947898,34,18
153,326,Pre-roll,32,86451,0.0892715091222354,36944.54550160376,26,35
154,412,Banner,31,99296,0.0172444125260854,46287.14875343002,19,40
155,378,Mid-roll,50,43695,0.028836638993835,31889.783705077974,46,41
156,390,Banner,46,48589,0.0466699311756362,25146.99779430238,12,20
157,463,Mid-roll,20,3991,0.0572274154148805,18354.769625700705,31,22
158,95,Pre-roll,12,7398,0.0862435631017418,45930.20254600444,48,38
159,235,Pre-roll,31,28315,0.0116894616613953,39797.84733253586,27,7
160,55,Mid-roll,28,15317,0.0312347620553633,38766.37824217241,34,30
161,410,Pre-roll,53,39286,0.03871077977239,42258.55176368845,42,35
162,380,Pre-roll,10,39642,0.0295866621167166,31651.170726296907,15,10
163,159,Mid-roll,45,3413,0.0997282703888504,27179.942901266924,46,49
164,15,Mid-roll,12,57450,0.0776337906852169,12053.344944376366,11,41
165,298,Banner,21,47159,0.0534308610680699,39631.1930749422,4,26
166,493,Pre-roll,24,43240,0.081534122483215,39844.44964647552,33,26
167,499,Mid-roll,11,16633,0.011533613570146,2917.199148980234,26,10
168,407,Banner,41,75178,0.0104970085605121,32520.05811707468,33,8
169,326,Banner,14,25710,0.0622292928013386,22671.74469044731,1,15
170,162,Mid-roll,30,11283,0.0934911389916661,49269.01618538522,34,19
171,434,Banner,32,38546,0.0119223618282856,41907.95228229807,33,15
172,171,Mid-roll,36,19104,0.0491429440224072,42713.2976387616,39,40
173,395,Pre-roll,37,59983,0.077554668394808,6836.780533165748,26,31
174,480,Mid-roll,55,55702,0.0213853527399003,47346.58529450066,45,14
175,288,Banner,6,42796,0.0876810011276572,29059.328600835004,20,3
176,493,Banner,5,2880,0.0646566004022814,20351.546301088165,2,49
177,284,Banner,27,20414,0.0201379727202655,27215.62646735763,30,1
178,113,Mid-roll,18,13875,0.0873477993783113,29443.712684536546,38,20
179,201,Pre-roll,23,54551,0.0709036966427815,49433.97575749382,15,31
180,247,Mid-roll,34,65844,0.0581662589088451,15096.384384529118,26,21
181,319,Banner,30,15137,0.0791473516678621,35995.65289212082,37,24
182,222,Banner,13,50891,0.0643901021466725,19667.66749989936,48,7
183,136,Mid-roll,41,71916,0.0545514503688726,49813.97716738967,9,10
184,487,Banner,17,23869,0.0998588635784243,4862.289445058542,5,7
185,16,Pre-roll,44,68132,0.0175701855854808,40750.31792277437,43,28
186,219,Banner,13,13261,0.0879659272660291,23571.02919097085,26,49
187,412,Pre-roll,9,25708,0.0195534712537792,37912.94997643703,10,33
188,215,Mid-roll,24,40402,0.0145097297636702,42202.08567128104,41,29
189,33,Banner,23,25810,0.0970178055582511,28918.717035909445,26,36
190,50,Pre-roll,59,7026,0.0978574760484364,17515.28931897246,18,30
191,87,Pre-roll,16,99202,0.0910895835391056,17339.436010912024,26,48
192,193,Banner,54,50751,0.0149501703712864,28356.07870361212,38,48
193,277,Mid-roll,27,68958,0.0401981434516028,46527.79474162582,18,35
194,209,Banner,57,23768,0.0261454592292645,38074.2637745475,12,43
195,201,Pre-roll,37,6210,0.0260547045160052,16421.3760428768,4,1
196,54,Banner,5,66273,0.0667382227435255,45611.20951037845,50,2
197,210,Pre-roll,57,15779,0.0396587164225643,33803.99427755132,26,48
198,187,Banner,30,98970,0.0318409483265756,27542.45895570507,9,6
199,284,Pre-roll,39,78661,0.0638278889447092,24266.54425367906,28,45
200,339,Banner,8,73583,0.0670191762533381,16500.798643559912,27,36
