ContentID,tags,director
108,"two, now, person",Katie Martinez
109,"any, soon, accept",Suzanne Newman
110,"add, so, above",Mia Richardson
111,"pressure, imagine, significant",Edward Martinez
112,"story, there, development",Justin Cabrera
113,"hour, chair, smile",Patrick Steele
114,"cost, skin, fight",Richard Cole
115,"society, national, front",George Howard
116,"onto, approach, seek",Cynthia Gordon
117,"add, as, spring",Sean Martinez
118,"paper, wall, read",Anne Holmes
119,"study, prove, edge",Ryan King
120,"certain, quite, step",Catherine Cunningham
121,"capital, open, crime",Kari Smith
122,"leg, follow, place",Brian Jordan
123,"protect, night, here",Michael Burton
124,"author, vote, ball",Todd Weiss
125,"interest, church, political",Kimberly Adams
126,"church, modern, media",Cynthia Paul
127,"like, daughter, threat",William Sheppard
128,"across, outside, long",Carl Bowman
129,"standard, radio, more",Jonathon Grant
130,"agent, consumer, forget",Shawn Dudley
131,"writer, idea, face",Melanie Duran
132,"rich, product, others",Brittany Wood
133,"north, day, throughout",James Briggs
134,"subject, current, wall",Michael Hendricks
135,"summer, market, future",Scott Gonzalez
136,"whatever, yet, figure",Mary Johnson
137,"possible, paper, middle",Richard Oliver
138,"decision, which, really",Thomas Smith
139,"perhaps, Democrat, subject",Amy Gray
140,"sit, student, half",Judy Glover
141,"black, audience, politics",Brenda James
142,"current, arm, them",Kevin Allen
143,"figure, it, reality",Michele Hughes
144,"work, ever, small",Todd Schmitt
145,"travel, could, own",Kathryn Matthews
146,"with, offer, yard",John Jimenez
147,"management, be, drive",Rebecca Williams
148,"bad, official, race",Daniel Wright
149,"measure, force, add",Stephanie Lyons
150,"finish, which, shake",Susan Esparza
151,"party, stage, to",Amy Miller
152,"receive, tell, begin",Timothy Palmer
153,"analysis, north, task",Ryan Hansen
154,"despite, evidence, school",Joseph Melton
155,"page, loss, he",Danielle Rose
156,"action, network, question",Jacob Johnson
157,"or, listen, price",Jessica Wilson
158,"true, produce, west",Larry Lowery
159,"describe, mouth, focus",Erika Jones
160,"parent, tell, off",Mr. Eddie Alvarez
161,"career, term, believe",Brittany Campbell
162,"by, these, then",Troy Watson
163,"several, pattern, better",Matthew Riley
164,"paper, along, woman",Crystal Singh
165,"among, series, debate",Sydney Roberts
166,"glass, seven, upon",Kevin Rodriguez
167,"baby, defense, unit",Ann Moss
168,"road, believe, simply",Walter Schmidt
169,"pass, speak, energy",Tammy Collins
170,"school, education, art",Andrea Travis
171,"arrive, far, road",Phillip Manning
172,"pull, make, cultural",Allison Marshall
173,"three, choice, school",Phillip Ortega
174,"type, defense, catch",Christy Wood
175,"dog, work, good",Lori Newman
176,"detail, her, parent",Crystal Brown
177,"under, region, answer",Mark Brown
178,"idea, media, score",Roberto Mccann
179,"then, nearly, leg",James Rasmussen
180,"ground, might, station",Rose Harrison MD
181,"property, together, town",Shelby Smith
182,"garden, tell, speak",Cheryl Conley MD
183,"position, among, ability",Wyatt Zuniga
184,"defense, stuff, book",Darius Clark
185,"have, listen, organization",Travis Franklin
186,"commercial, cost, police",Brandy Waller
187,"adult, woman, either",Lindsay Perez
188,"start, call, executive",Amy Allen
189,"nor, store, finally",Cheryl Herring
190,"if, during, issue",Jeffrey Hamilton
191,"here, raise, hundred",Anna Rojas
192,"page, policy, possible",Walter Bullock
193,"suddenly, example, ago",Kyle Morales
194,"choose, hour, read",Mitchell Cruz
195,"decide, public, skill",Daniel Ramirez
196,"be, body, race",William Walker
197,"easy, building, laugh",Amy Gordon
198,"threat, that, another",Karen Long
199,"place, middle, already",Michaela Kim
200,"believe, will, little",Angela Harrison
201,"let, knowledge, office",Lauren Weaver
202,"sure, total, already",Trevor Carter
203,"present, green, area",Rachel Martinez
204,"realize, cost, window",April Smith
205,"box, enjoy, one",David Moreno
206,"nice, land, present",Christopher Hill
207,"serve, sing, develop",Joshua Mcdonald
208,"grow, lawyer, old",Ashley Diaz
209,"computer, reduce, among",Hannah Kelly
210,"push, despite, eye",Patricia Blankenship
211,"friend, stage, investment",Ms. Diana Sanchez
212,"sort, shake, ten",Sue Mcdonald MD
213,"discover, sense, effect",Mary Bailey
214,"from, generation, security",Shawn Branch
215,"economy, others, under",Kristin Curtis
216,"blood, hit, three",Lauren Smith
217,"soldier, together, cold",Gina Kirk
218,"economy, design, lay",Maria Jackson
219,"player, why, score",Justin Powers
220,"month, style, drive",Michael Gonzalez
221,"wish, parent, point",Allison Neal
222,"see, main, enough",Beth Horne
223,"occur, dinner, position",Meghan Bautista
224,"me, attention, little",Jordan Rodgers
225,"send, own, student",Kelly Merritt
226,"amount, now, wide",Raymond Middleton
227,"far, region, heavy",Erik Todd
228,"environment, do, allow",Denise Bradley
229,"baby, friend, campaign",Austin Stone
230,"part, theory, anyone",Cody Hernandez
231,"ground, social, vote",Cory Ray
232,"success, action, mouth",Robert Coleman
233,"effort, center, see",Sheila Jensen
234,"kid, either, dinner",Katie Turner
235,"various, term, hand",Stacy Kelly
236,"enough, cut, better",Sarah Harvey
237,"appear, throughout, high",Charles Murphy
238,"drug, situation, song",Tyler Anderson
239,"word, beyond, follow",Benjamin Nelson
240,"middle, music, practice",Ryan Bell
241,"hard, deep, cover",Alejandra Wilson
242,"deep, exactly, might",Johnny Landry
243,"recognize, some, per",Cindy Smith
244,"and, election, let",Miss Brenda Walters
245,"national, join, prove",Devin Bauer
246,"effort, information, hold",Jamie Barnes
247,"season, skill, drug",Christopher Deleon
248,"sell, society, hotel",Robert Taylor
249,"thousand, likely, first",John Blackwell
250,"protect, mean, true",Stephen Jimenez
251,"entire, practice, positive",Mary Conner
252,"hard, people, staff",Thomas Dawson
253,"pay, into, significant",Kelsey Davis
254,"whether, still, matter",Kevin Monroe
255,"bag, reality, use",Kendra Griffin
256,"perform, member, production",Carrie Jackson
257,"away, policy, let",Gabrielle Rodriguez
258,"hard, politics, fill",Mary Hunter
259,"commercial, able, west",David Gardner
260,"level, international, among",Anthony Mayer
261,"fly, anyone, drive",Jaime Willis
262,"culture, trial, about",Mandy Murphy
263,"main, contain, now",Kevin Tucker
264,"training, PM, put",Kara Kelly
265,"experience, same, card",Karen Soto
266,"kind, evidence, those",Sara Chase
267,"build, recognize, president",Beth Holmes
268,"middle, hour, model",Jim Campbell
269,"record, must, very",Abigail Morris
270,"project, need, black",Kimberly Rice
271,"who, majority, mention",Jesse Ryan
272,"break, American, ahead",Darryl Harper
273,"camera, thousand, join",Thomas Patterson
274,"general, music, study",Christopher Decker
275,"reach, see, short",Janet Phillips
276,"real, shake, service",Maureen Nelson
277,"price, cut, story",Sharon Wilson
278,"sure, crime, interest",Kevin Ellison
279,"kind, company, dinner",Nathan Baker
280,"without, force, real",Nathan Gordon
281,"son, floor, help",Sarah Sharp
282,"every, will, certainly",Madison Herrera
283,"stay, above, about",Dr. Amanda Dominguez
284,"plan, sing, rise",Dawn Lewis
285,"management, over, safe",Brian Davis
286,"Democrat, animal, phone",Bonnie Tran
287,"where, feeling, option",Kevin Price
288,"expect, describe, entire",Barbara Ayala
289,"now, tax, nation",Karen Novak
290,"street, region, fear",Mikayla Buchanan
291,"nice, throw, will",Michael Lloyd
292,"perform, pressure, cup",Michael Brown
293,"Congress, fine, laugh",Melissa Ortega
294,"face, page, year",Katie Wood
295,"enjoy, law, agree",Victoria Price
296,"type, bed, administration",William Smith
297,"forget, traditional, page",Sean Zuniga
298,"head, standard, foreign",Lauren Cummings
299,"beautiful, sort, fund",Karen Miller
300,"but, keep, film",Lisa Lowery
301,"how, increase, general",Elizabeth Gomez
302,"car, serious, run",Sonya Gonzalez
303,"dream, some, money",Stephen Castillo
304,"player, employee, others",Crystal King
305,"indeed, human, four",Lindsay Ponce
306,"already, many, growth",James Hopkins
307,"radio, enough, Congress",Lori Clark
308,"open, would, trouble",Michael Davis
309,"expert, as, lot",Megan Mann
310,"live, economy, grow",Deborah Jones
311,"light, they, public",Michael Jackson
312,"reflect, ready, determine",Mrs. Susan Bryan
313,"white, environmental, season",William Garcia
314,"each, use, trouble",Yesenia Martin
315,"either, term, cause",Darlene Valdez
316,"stop, stand, wait",Bobby Wilson
317,"could, yet, its",Jason Holmes
318,"every, turn, body",Melissa Madden
319,"might, according, shake",John Perez
320,"five, already, participant",Sydney Pratt
321,"policy, close, week",Rita Parsons
322,"operation, create, from",David Bentley
323,"face, choice, activity",Stephen Sanchez
324,"value, believe, organization",Travis Mata
325,"debate, move, environmental",Daniel Ford
326,"any, begin, ask",Dawn Adams
327,"measure, act, personal",Michelle Vargas
328,"me, decade, time",Jackson Willis
329,"or, project, kid",Patricia Garcia
330,"condition, from, no",Adrian Hernandez
331,"evidence, democratic, someone",Justin Soto
332,"be, stage, reach",Chelsea Carlson
333,"might, necessary, stuff",Thomas Willis
334,"middle, ahead, vote",Christopher Morton
335,"them, bed, sport",David Brady
336,"community, reason, information",Janet Burnett
337,"little, senior, event",Ashley Gonzales
338,"would, despite, drug",Aaron Benjamin
339,"source, across, lose",Justin Ramirez
340,"sound, born, describe",Amy Sanchez
341,"soldier, audience, color",Alexander Robertson
342,"whom, never, five",Samuel Jenkins
343,"customer, imagine, throw",Lindsey Becker
344,"including, inside, second",Makayla Gordon
345,"each, eight, arrive",Mary Cobb
346,"black, green, mind",Levi Kelly
347,"this, itself, message",Connie Brown
348,"during, quite, across",Mark Raymond
349,"yes, easy, certain",Brandon Ferguson
350,"return, father, decade",Russell Howard
351,"field, movie, whole",Francisco Morgan
352,"despite, type, shoulder",Thomas Rios
353,"TV, provide, form",Kimberly Jones
354,"catch, fall, little",Miss Amanda Green DDS
355,"figure, health, laugh",Susan Olsen
356,"director, before, whatever",Timothy Donaldson
357,"what, hope, mother",Brian Vega
358,"before, recently, now",Joshua Jones
359,"improve, however, win",Grace Roberts
360,"thousand, to, area",Stephanie Pitts
361,"deep, beyond, experience",Matthew Jones
362,"bar, do, player",Cynthia Rodriguez
363,"enter, soldier, huge",Travis Robertson
364,"everybody, class, along",Luis Arias
365,"claim, check, medical",Isabel Brown
366,"wife, oil, actually",Victoria Davis
367,"success, prove, laugh",Ethan Sanchez
368,"city, factor, able",Gregory Smith
369,"believe, enough, from",Patricia Byrd
370,"analysis, wonder, arrive",Alexander Rodriguez
371,"blood, cup, name",Matthew Morris
372,"democratic, man, situation",Rita Le
373,"hotel, find, act",Julia Humphrey
374,"almost, why, water",Linda Walker
375,"speech, picture, add",Phillip Best
376,"role, country, couple",Eugene Carpenter
377,"than, outside, card",Jacob Wright
378,"condition, exactly, boy",Terry Hughes
379,"pick, tend, share",Cassandra Escobar
380,"as, another, forward",Kaitlin Moore
381,"every, forget, more",Ashley Young
382,"do, spend, decide",Sarah Deleon
383,"again, rate, sell",Lisa Martinez
384,"might, civil, fill",Wendy Conway
385,"billion, live, near",Jose Weiss
386,"could, card, drug",Heather Curtis
387,"yourself, black, why",Julie Vance
388,"region, product, guy",Richard Sanchez
389,"too, management, green",Jaime Mitchell
390,"dark, six, series",Andrew Jones
391,"role, store, when",David Hayes
392,"standard, son, one",Kyle Howell
393,"join, education, along",Rachel Ortiz
394,"in, dream, soon",Wendy Smith
395,"imagine, opportunity, everybody",Philip Martinez
396,"small, drug, week",Christopher Webster
397,"half, wind, upon",Joyce Wilson
398,"example, speech, wrong",John Palmer
399,"early, method, year",Kelsey Peterson
400,"Mrs, instead, blood",Tanner Perez
401,"lead, standard, reveal",Rhonda Schwartz
402,"western, fish, organization",Tiffany Freeman
403,"just, unit, mouth",Robert Bowman
404,"purpose, beautiful, both",Karla Hahn
405,"star, turn, author",Anthony Williams
406,"factor, him, save",Tony Morales
407,"certainly, relate, pressure",Margaret Johnson
408,"opportunity, different, build",Melissa Adams
409,"cell, rock, side",Jennifer Allen
410,"eye, start, wonder",Christian Robinson
411,"surface, sense, top",Maurice Chandler
412,"generation, young, save",Heidi Berry
413,"real, drop, range",Jeffrey Mccullough
414,"today, garden, soldier",Peter Martinez
415,"report, short, picture",Deborah Sims
416,"cell, but, production",Michele Lee
417,"true, surface, assume",James Li
418,"trip, ahead, whatever",Mrs. Darlene Gordon
419,"police, who, best",John Smith
420,"Mr, raise, book",April Howell
421,"commercial, cell, amount",Jessica Cameron
422,"begin, collection, turn",Jonathan Sanford
423,"many, involve, with",Jennifer Dyer
424,"approach, suffer, another",Nancy Baker
425,"easy, now, painting",Crystal Elliott
426,"throughout, various, player",Linda Gilmore
427,"sure, measure, carry",Cindy Chambers
428,"claim, style, floor",Michael Watson
429,"market, hope, speech",Johnny Jackson
430,"challenge, Mrs, treat",Erica Burns
431,"others, response, song",Matthew Ellis
432,"major, ten, leg",Richard Larsen
433,"partner, agency, lawyer",Marcus Kaiser
434,"seven, would, paper",Deborah Casey
435,"often, recently, outside",Michelle Coleman
436,"picture, size, those",James Morales
437,"stay, side, member",Candace Davis
438,"figure, born, reduce",Jennifer Porter
439,"matter, computer, player",Samantha Thomas
440,"close, professional, small",Robert Vasquez
441,"stay, project, member",Susan Williams
442,"relate, push, summer",Julia Sutton
443,"or, knowledge, process",Jonathan Reed
444,"idea, former, star",Laura Hale
445,"organization, message, know",Frances Brown
446,"skin, financial, customer",Erica Wagner
447,"as, protect, mission",Sandra Evans
448,"situation, my, pick",Julia Williams
449,"huge, value, smile",Ruben Flores
450,"play, job, they",Melinda Butler
451,"analysis, it, possible",Amanda Reynolds
452,"today, upon, thousand",Daniel Lloyd
453,"style, goal, far",Kyle Donovan
454,"force, discuss, bank",Elizabeth Hardy
455,"break, face, trip",Brandon Pollard
456,"real, person, think",Glen Alvarez
457,"true, president, company",Lauren Rodriguez
458,"great, provide, hope",Yolanda Smith
459,"law, various, standard",Angela Knight
460,"charge, someone, finish",Tricia Ward
461,"sign, impact, wrong",Jeffrey White
462,"know, next, program",Jackie Jones
463,"card, hotel, American",Yvette Morales
464,"myself, box, bring",Kendra Perez
465,"exactly, civil, walk",Charlotte Yang
466,"example, friend, certainly",Lisa Foley
467,"be, clearly, federal",Deborah Anderson
468,"charge, maybe, design",Monica Martin
469,"church, meeting, guy",Joseph Fleming
470,"member, be, sport",Nicholas Martinez
471,"institution, history, identify",Richard Dalton
472,"prevent, Mrs, manager",Benjamin Santana
473,"as, full, success",Warren Mitchell
474,"someone, television, understand",Peter Suarez
475,"talk, professor, democratic",Michael Fitzgerald
476,"recognize, five, race",Yolanda Figueroa
477,"thing, human, usually",Gregory Tapia
478,"difference, late, against",James Perez
479,"hot, rest, open",Matthew Thompson
480,"watch, crime, art",Angela Thomas
481,"exactly, like, then",Bradley Gomez
482,"marriage, strategy, people",Hunter Reeves
483,"mention, place, several",Jessica Stafford
484,"board, data, from",Troy Jefferson
485,"sort, travel, less",Kylie Lawson
486,"over, serve, seven",Gabriel Wallace
487,"loss, listen, night",Kathryn Reynolds
488,"fill, recently, order",Whitney Carter
489,"hospital, treatment, forward",Angela Smith
490,"data, beat, social",Dr. John Johnson
491,"everybody, range, when",Nicole Hodge
492,"something, design, nor",Rachel Maxwell
493,"open, seat, us",Brianna Lewis
494,"member, agreement, year",Adam Patterson
495,"middle, opportunity, sing",Brandi Wilcox
496,"daughter, science, camera",Stephanie Wong
497,"seek, few, wear",Andrew Montes
498,"side, almost, still",Ashley Deleon
499,"anything, person, explain",Aaron Morales
500,"different, community, decide",Catherine Sanchez
