DeviceID,ViewerID,DeviceType,OperatingSystem,Manufacturer,Model,ScreenResolution,LastUsed,DeviceRegistrationDate,FirmwareVersion
57,349,Smartphone,iOS,Samsung,experience,1920x1080,2023-09-30T02:36:42,2022-07-15T06:40:54,idea
58,243,Smartphone,Android,Samsung,movie,3840x2160,2024-06-21T18:57:02,2023-05-18T16:29:15,agree
59,482,TV,Windows,Sony,may,3840x2160,2023-10-23T23:11:45,2022-10-18T12:12:28,summer
60,89,Tablet,Android,Apple,top,1920x1080,2023-11-12T20:03:53,2022-11-02T15:47:01,medical
61,672,TV,Android,Sony,partner,2560x1440,2024-04-23T15:52:10,2023-01-05T04:22:28,star
62,438,TV,Android,Sony,local,2560x1440,2024-07-04T12:30:33,2022-08-24T14:55:48,sell
63,339,Smartphone,Windows,Sony,party,3840x2160,2024-01-17T02:13:32,2023-06-28T21:39:11,reach
64,766,Smartphone,iOS,Samsung,central,1920x1080,2023-11-10T15:58:44,2023-07-21T19:42:02,red
65,552,Tablet,Windows,Samsung,recent,1920x1080,2024-03-17T21:55:13,2023-03-04T07:31:51,lose
66,915,TV,Windows,Sony,sit,3840x2160,2023-12-06T10:28:31,2021-10-31T03:55:41,accept
67,37,TV,Android,Apple,popular,2560x1440,2024-05-14T07:56:29,2021-08-29T13:23:50,consumer
68,656,Smartphone,Windows,Apple,after,1920x1080,2024-07-16T16:38:44,2022-04-18T04:56:16,better
69,239,Tablet,Android,Samsung,pull,2560x1440,2023-12-20T22:39:39,2022-10-17T08:11:52,ready
70,360,Tablet,Windows,Apple,trouble,3840x2160,2024-01-01T00:26:06,2022-01-01T02:13:12,effect
71,704,Smartphone,iOS,Sony,notice,3840x2160,2024-03-07T00:48:39,2021-12-22T05:52:56,show
72,860,Tablet,Android,Apple,end,1920x1080,2023-08-29T16:57:07,2022-12-31T11:59:26,most
73,154,Tablet,Android,Apple,purpose,3840x2160,2024-01-01T16:45:02,2023-06-07T12:39:29,experience
74,793,TV,iOS,Apple,write,3840x2160,2023-11-01T12:19:17,2023-01-12T14:25:11,drop
75,635,TV,Windows,Apple,apply,3840x2160,2023-12-10T04:31:47,2023-03-17T22:20:31,purpose
76,737,Tablet,Windows,Samsung,including,3840x2160,2024-03-19T03:57:52,2023-06-07T06:09:57,agree
77,285,Smartphone,iOS,Apple,throughout,1920x1080,2024-08-11T19:56:56,2022-05-13T06:17:32,world
78,467,Smartphone,iOS,Apple,discussion,1920x1080,2023-11-04T20:36:48,2022-01-19T00:23:37,red
79,203,TV,Android,Apple,audience,3840x2160,2024-08-13T01:56:35,2022-10-25T12:31:51,little
80,876,TV,iOS,Samsung,side,3840x2160,2024-05-01T00:54:26,2022-10-24T16:39:32,trip
81,667,TV,Android,Apple,American,2560x1440,2023-11-08T16:35:46,2022-11-28T13:48:22,clearly
82,911,TV,Windows,Apple,yes,1920x1080,2024-01-17T00:15:38,2022-12-14T02:56:52,however
83,501,Smartphone,iOS,Sony,view,1920x1080,2023-10-20T07:57:15,2021-12-18T22:15:01,light
84,215,Smartphone,iOS,Samsung,possible,2560x1440,2024-04-23T16:12:17,2022-03-29T02:36:45,lead
85,400,Tablet,Windows,Samsung,family,2560x1440,2024-07-30T00:42:04,2023-01-20T15:53:26,example
86,820,Smartphone,Android,Samsung,local,3840x2160,2024-01-26T16:35:35,2022-03-10T03:47:42,whole
87,294,Smartphone,Android,Apple,simply,1920x1080,2023-11-30T02:29:35,2022-12-21T07:07:07,food
88,973,Smartphone,iOS,Apple,choice,1920x1080,2023-12-30T09:28:27,2022-10-16T07:30:36,effort
89,886,Tablet,Windows,Apple,then,3840x2160,2023-09-26T19:18:37,2023-04-04T06:23:38,peace
90,834,Smartphone,Windows,Apple,on,2560x1440,2023-12-20T02:02:24,2022-06-24T21:32:47,leave
91,835,Tablet,iOS,Samsung,establish,3840x2160,2023-12-28T10:28:20,2022-04-22T00:15:10,performance
92,717,Smartphone,iOS,Sony,face,3840x2160,2023-09-07T20:14:18,2022-06-23T22:08:14,sometimes
93,819,TV,Windows,Apple,by,1920x1080,2024-02-15T00:04:35,2022-04-28T22:22:39,threat
94,747,TV,Android,Sony,look,3840x2160,2024-05-30T07:28:35,2022-04-10T12:12:47,hold
95,470,TV,Windows,Apple,lawyer,1920x1080,2024-03-01T22:57:09,2023-02-03T08:30:31,current
96,20,Tablet,iOS,Samsung,green,2560x1440,2024-02-08T18:02:50,2023-07-02T09:59:20,use
97,746,TV,Android,Apple,effect,2560x1440,2024-05-02T20:37:50,2023-03-30T03:08:05,anyone
98,305,Smartphone,iOS,Apple,bring,3840x2160,2024-03-08T14:48:01,2023-08-04T02:19:14,direction
99,775,Smartphone,iOS,Sony,military,2560x1440,2024-01-18T19:17:08,2021-12-07T09:52:05,cell
100,853,Tablet,Windows,Apple,might,1920x1080,2023-10-21T11:58:10,2023-06-01T12:27:23,try
101,883,TV,Windows,Samsung,figure,3840x2160,2023-12-13T11:16:37,2023-05-16T20:57:04,forward
102,652,Tablet,Windows,Samsung,by,3840x2160,2024-02-22T03:36:54,2022-02-15T00:34:00,rest
103,753,Smartphone,Android,Apple,religious,2560x1440,2024-08-12T23:50:57,2022-09-28T02:57:36,set
104,110,Smartphone,Android,Apple,provide,2560x1440,2024-03-19T10:27:54,2021-11-26T06:49:40,heavy
105,520,TV,Android,Sony,campaign,2560x1440,2024-07-07T20:30:22,2022-04-06T10:11:52,son
106,844,TV,Windows,Samsung,whether,2560x1440,2024-03-19T07:45:00,2022-02-25T12:46:15,stand
107,396,TV,Android,Apple,watch,3840x2160,2023-08-27T17:39:39,2021-11-25T03:56:17,individual
108,478,TV,iOS,Samsung,long,3840x2160,2023-10-08T18:21:09,2022-03-13T16:56:07,process
109,614,Tablet,Android,Samsung,us,1920x1080,2024-07-20T02:46:32,2022-09-28T15:20:12,chance
110,13,TV,Android,Samsung,hour,2560x1440,2023-11-30T08:42:35,2021-11-14T13:47:24,floor
111,984,Smartphone,iOS,Apple,its,1920x1080,2024-08-08T02:30:18,2021-12-15T05:42:00,although
112,623,Tablet,iOS,Apple,note,2560x1440,2023-10-02T13:00:54,2023-03-20T08:57:20,TV
113,171,Smartphone,Android,Samsung,reveal,3840x2160,2024-03-11T00:09:09,2023-01-25T22:11:30,partner
114,828,Tablet,Android,Apple,perform,3840x2160,2024-06-29T21:59:28,2023-04-29T06:20:27,never
115,413,Smartphone,Windows,Samsung,specific,2560x1440,2024-01-30T14:07:24,2023-06-12T10:40:24,her
116,949,TV,Android,Samsung,movie,1920x1080,2023-10-07T20:05:26,2022-09-14T01:00:48,discussion
117,530,TV,iOS,Sony,leader,1920x1080,2024-07-13T10:47:33,2023-07-06T03:16:01,word
118,106,TV,Android,Samsung,dog,1920x1080,2024-07-06T08:44:23,2022-12-09T20:22:43,health
119,666,Tablet,Android,Sony,professor,3840x2160,2024-07-06T12:02:33,2022-03-17T20:01:25,provide
120,759,Tablet,Android,Samsung,democratic,1920x1080,2024-06-25T13:42:12,2022-08-16T21:19:32,next
121,243,Tablet,Android,Samsung,control,1920x1080,2024-03-08T04:26:58,2023-07-10T15:23:10,first
122,6,Smartphone,Android,Apple,very,1920x1080,2024-01-06T14:48:49,2023-01-23T05:17:06,among
123,591,TV,Android,Apple,firm,1920x1080,2024-05-08T08:36:05,2021-10-31T18:39:36,so
124,400,Smartphone,iOS,Apple,area,1920x1080,2024-07-16T01:20:52,2022-10-23T05:48:04,edge
125,836,TV,Windows,Apple,property,2560x1440,2024-02-15T06:07:26,2023-03-10T02:15:45,doctor
126,229,Tablet,Windows,Samsung,from,3840x2160,2024-04-28T13:42:16,2022-05-13T13:41:08,tax
127,907,TV,Android,Samsung,wall,2560x1440,2024-04-21T10:31:52,2022-06-21T15:14:03,professor
128,312,Smartphone,iOS,Sony,material,1920x1080,2023-11-24T17:44:40,2022-06-15T07:06:19,until
129,390,TV,Windows,Sony,find,2560x1440,2024-01-22T18:21:55,2022-12-13T20:33:45,war
130,825,TV,iOS,Sony,hotel,3840x2160,2024-01-19T17:14:32,2021-10-08T04:50:17,loss
131,781,TV,Windows,Sony,middle,2560x1440,2023-11-10T01:26:08,2023-07-03T16:25:55,brother
132,338,Smartphone,Android,Sony,mean,1920x1080,2024-05-10T17:57:16,2022-11-05T00:42:08,voice
133,939,Smartphone,iOS,Sony,race,1920x1080,2023-12-19T15:08:48,2023-08-14T00:06:00,reflect
134,484,Tablet,Android,Sony,section,1920x1080,2023-08-29T13:56:22,2023-07-08T22:28:13,middle
135,85,Smartphone,iOS,Samsung,ok,1920x1080,2024-03-08T00:43:08,2022-04-21T10:55:08,would
136,399,TV,Android,Apple,onto,1920x1080,2024-01-30T06:07:13,2021-11-08T11:59:36,course
137,930,TV,Windows,Sony,how,3840x2160,2024-05-20T17:59:47,2022-07-17T16:33:33,upon
138,966,TV,iOS,Apple,professional,2560x1440,2023-12-19T17:30:00,2023-01-24T03:41:55,woman
139,292,Tablet,Android,Sony,participant,3840x2160,2024-08-07T15:50:23,2021-11-25T21:34:32,food
140,680,Tablet,iOS,Sony,with,1920x1080,2024-04-23T09:54:09,2023-07-25T14:07:28,choose
141,39,TV,Windows,Apple,network,1920x1080,2024-05-20T09:04:02,2023-02-13T03:33:30,buy
142,305,Tablet,iOS,Sony,still,3840x2160,2023-12-05T14:45:52,2023-08-01T23:52:47,away
143,54,Smartphone,iOS,Sony,single,3840x2160,2024-03-06T19:15:17,2023-02-01T21:16:54,picture
144,863,Tablet,Windows,Apple,end,2560x1440,2024-04-14T00:47:48,2021-10-12T07:41:52,own
145,785,Smartphone,iOS,Samsung,world,1920x1080,2024-04-14T20:02:21,2022-09-21T20:49:24,heavy
146,378,TV,iOS,Apple,fear,2560x1440,2023-09-03T15:56:40,2022-05-12T06:34:31,fast
147,667,TV,Android,Sony,watch,3840x2160,2023-10-24T00:32:55,2022-10-13T03:30:32,that
148,705,TV,Android,Apple,charge,1920x1080,2024-05-26T12:32:06,2021-08-27T16:50:00,next
149,946,TV,Android,Samsung,nothing,2560x1440,2024-01-25T10:39:58,2022-07-02T22:57:02,away
150,312,TV,iOS,Sony,north,2560x1440,2023-12-15T02:22:46,2022-03-07T09:24:31,tell
151,394,Smartphone,Windows,Sony,meeting,3840x2160,2024-07-06T23:14:50,2023-01-31T09:57:51,successful
152,220,Smartphone,Windows,Apple,keep,3840x2160,2024-01-27T12:21:05,2022-07-21T19:26:09,could
153,403,Tablet,iOS,Apple,Republican,3840x2160,2024-01-12T21:48:42,2022-09-23T01:32:39,thank
154,484,TV,Windows,Sony,interesting,3840x2160,2024-01-05T16:47:42,2021-09-14T16:46:01,discussion
155,127,Smartphone,iOS,Samsung,white,2560x1440,2024-06-01T03:28:48,2021-10-26T00:21:52,offer
156,147,TV,Windows,Apple,physical,1920x1080,2023-09-11T18:24:35,2022-08-06T11:02:07,quickly
157,978,TV,Android,Sony,fight,3840x2160,2023-10-03T15:43:05,2021-09-03T09:43:52,onto
158,982,Tablet,iOS,Apple,about,1920x1080,2024-05-23T06:54:11,2022-07-25T21:19:01,good
159,908,TV,iOS,Sony,special,2560x1440,2023-12-26T14:41:18,2022-05-25T19:38:55,street
160,522,Smartphone,iOS,Samsung,middle,1920x1080,2024-05-04T07:17:58,2023-07-20T16:03:22,statement
161,74,Tablet,Android,Samsung,light,1920x1080,2023-10-03T07:00:26,2023-04-29T15:17:00,city
162,643,Tablet,Android,Samsung,their,3840x2160,2024-03-29T19:26:12,2022-04-01T12:15:07,anything
163,961,TV,Windows,Samsung,floor,3840x2160,2023-08-15T06:07:03,2022-02-24T21:15:17,phone
164,767,Smartphone,iOS,Sony,opportunity,1920x1080,2024-04-27T00:20:40,2023-01-31T22:08:48,affect
165,23,TV,Windows,Sony,be,3840x2160,2024-04-15T20:27:07,2023-03-27T20:44:45,though
166,12,TV,Windows,Apple,low,2560x1440,2024-01-29T10:09:40,2022-12-04T01:56:34,amount
167,934,Tablet,Windows,Sony,music,1920x1080,2023-10-27T14:23:10,2022-08-15T07:44:24,community
168,323,Smartphone,Android,Samsung,bit,1920x1080,2024-07-27T18:12:18,2022-03-13T12:58:38,hold
169,358,Tablet,Android,Samsung,respond,1920x1080,2023-12-28T16:30:10,2021-10-22T16:46:45,question
170,839,Tablet,Android,Samsung,money,1920x1080,2024-06-26T20:47:54,2022-11-23T03:46:42,close
171,865,TV,Windows,Samsung,benefit,1920x1080,2024-02-10T12:53:33,2022-12-26T21:16:22,already
172,568,Tablet,Windows,Sony,nature,3840x2160,2023-09-01T17:31:47,2023-07-03T09:40:01,rule
173,43,Tablet,Windows,Samsung,trial,1920x1080,2024-04-23T15:19:59,2021-11-01T21:53:31,range
174,224,Tablet,Windows,Samsung,use,1920x1080,2023-08-31T09:04:35,2021-11-15T17:31:56,the
175,294,TV,Windows,Apple,begin,3840x2160,2024-04-10T21:01:16,2023-07-23T12:52:38,arm
176,387,Smartphone,Android,Samsung,carry,2560x1440,2024-04-17T09:23:10,2023-03-31T11:34:05,black
177,718,Tablet,Windows,Apple,house,1920x1080,2024-02-25T06:51:09,2021-10-10T17:59:19,clearly
178,513,TV,Android,Apple,gas,1920x1080,2024-08-04T21:16:13,2022-07-04T15:13:18,deal
179,147,Tablet,Android,Apple,group,1920x1080,2023-10-13T06:12:31,2022-02-08T18:53:52,news
180,95,Tablet,iOS,Sony,trouble,3840x2160,2023-08-28T19:44:54,2021-12-18T03:29:26,window
181,382,Smartphone,Android,Samsung,within,3840x2160,2024-02-01T08:32:16,2022-02-11T09:26:13,top
182,107,TV,iOS,Samsung,senior,1920x1080,2024-05-13T13:03:20,2022-03-12T21:57:04,truth
183,319,Tablet,iOS,Apple,save,3840x2160,2024-05-18T01:33:11,2023-02-13T08:06:48,government
184,661,Tablet,Windows,Sony,lose,2560x1440,2024-07-31T04:07:13,2022-06-14T07:58:25,word
185,217,Tablet,Windows,Sony,minute,1920x1080,2024-06-27T19:09:11,2022-01-09T09:52:17,because
186,116,TV,Windows,Samsung,agree,1920x1080,2024-06-22T22:23:24,2023-03-03T14:28:40,hotel
187,818,TV,Android,Apple,series,1920x1080,2024-06-07T02:37:23,2022-06-12T17:27:07,also
188,270,Smartphone,Windows,Sony,note,2560x1440,2024-03-17T21:51:46,2022-03-13T07:35:46,so
189,84,Tablet,iOS,Samsung,pay,1920x1080,2024-07-14T01:24:10,2022-10-14T18:15:44,ability
190,519,TV,iOS,Apple,specific,2560x1440,2023-11-02T10:22:37,2021-11-29T18:00:27,on
191,465,TV,Android,Samsung,idea,2560x1440,2023-09-27T09:06:59,2022-01-30T13:25:27,cell
192,966,Smartphone,iOS,Samsung,past,1920x1080,2023-10-09T01:48:56,2023-07-21T16:14:21,others
193,48,Smartphone,Windows,Samsung,agent,1920x1080,2024-06-14T02:45:48,2022-05-24T00:20:26,building
194,440,Tablet,Windows,Samsung,word,3840x2160,2023-12-06T21:41:09,2022-08-26T11:32:00,through
195,935,TV,iOS,Sony,whatever,3840x2160,2024-05-17T16:51:33,2021-10-18T21:01:47,pick
196,931,Smartphone,iOS,Apple,much,2560x1440,2023-10-17T22:33:48,2023-08-13T11:33:50,task
197,738,TV,Windows,Apple,end,3840x2160,2023-10-05T13:53:44,2021-08-14T23:37:26,court
198,588,Smartphone,Windows,Sony,thus,3840x2160,2024-04-18T18:28:38,2023-07-21T00:58:52,deal
199,900,Tablet,Windows,Apple,room,1920x1080,2024-04-15T14:16:11,2023-07-13T14:09:48,sell
200,154,TV,Android,Apple,show,3840x2160,2023-12-31T00:11:44,2022-11-11T07:37:08,simply
201,574,Tablet,iOS,Apple,reduce,2560x1440,2024-05-04T13:21:22,2022-04-17T18:01:01,traditional
202,554,Smartphone,Windows,Sony,own,2560x1440,2023-12-29T02:52:44,2021-09-22T16:07:04,crime
203,375,Smartphone,Android,Samsung,mother,3840x2160,2023-08-24T03:36:34,2022-04-14T00:03:18,yourself
204,703,Smartphone,Android,Sony,young,1920x1080,2024-02-01T16:34:35,2023-04-23T01:21:50,bad
205,222,Smartphone,Windows,Samsung,green,1920x1080,2023-08-30T02:35:46,2022-03-19T07:18:12,ten
206,103,Tablet,Android,Sony,view,3840x2160,2023-10-10T04:00:10,2021-11-16T17:31:30,trip
207,391,TV,Android,Samsung,accept,2560x1440,2024-01-28T04:39:44,2022-02-23T07:55:29,state
208,486,Smartphone,Windows,Apple,catch,1920x1080,2024-02-09T08:04:33,2022-02-05T04:09:11,become
209,375,Smartphone,iOS,Samsung,wish,1920x1080,2023-12-11T12:01:57,2023-03-15T16:17:52,professor
210,963,TV,Android,Sony,music,1920x1080,2024-04-09T09:29:51,2022-06-09T21:37:45,sister
211,203,Smartphone,Android,Apple,establish,1920x1080,2024-07-29T00:26:13,2022-02-24T10:21:05,power
212,800,TV,iOS,Samsung,despite,2560x1440,2024-04-18T10:55:23,2021-09-25T03:40:22,politics
213,746,TV,Windows,Apple,we,1920x1080,2023-12-25T05:44:25,2022-10-22T04:06:12,open
214,770,TV,Android,Apple,budget,1920x1080,2024-06-11T17:17:02,2023-06-13T06:24:37,white
215,144,Smartphone,Android,Sony,ball,1920x1080,2023-10-09T07:55:53,2021-12-19T09:32:33,industry
216,853,Smartphone,iOS,Samsung,sister,2560x1440,2024-08-01T20:30:41,2023-07-19T15:59:32,hotel
217,899,Smartphone,Android,Sony,can,1920x1080,2023-10-14T01:24:04,2023-01-22T07:27:34,enter
218,215,TV,Windows,Sony,individual,2560x1440,2023-09-08T06:42:28,2023-04-06T12:17:31,so
219,330,TV,Android,Samsung,away,3840x2160,2024-05-31T11:53:12,2023-04-19T07:39:50,onto
220,511,Tablet,Android,Samsung,because,1920x1080,2023-12-12T13:12:39,2023-01-26T03:36:58,brother
221,78,Tablet,Windows,Apple,describe,2560x1440,2024-02-10T00:56:06,2021-10-21T09:55:03,likely
222,849,TV,Android,Samsung,popular,1920x1080,2024-02-13T06:28:52,2022-04-27T20:02:55,piece
223,930,Smartphone,Android,Sony,western,1920x1080,2024-01-03T10:38:28,2023-07-16T03:28:57,business
224,313,Smartphone,iOS,Sony,opportunity,1920x1080,2024-02-12T03:11:18,2023-05-08T01:15:32,I
225,834,Tablet,Windows,Samsung,themselves,1920x1080,2023-08-17T02:13:07,2022-01-21T21:26:55,physical
226,139,TV,iOS,Apple,employee,3840x2160,2024-03-26T06:19:38,2021-09-05T01:15:31,feel
227,154,Tablet,Windows,Samsung,cost,2560x1440,2023-12-09T17:02:39,2022-09-27T10:38:49,church
228,673,Smartphone,iOS,Sony,task,3840x2160,2024-01-25T10:49:22,2022-12-29T15:05:14,good
229,269,Smartphone,iOS,Sony,pretty,1920x1080,2023-08-28T23:09:18,2022-12-15T00:14:27,available
230,19,Smartphone,Android,Apple,point,3840x2160,2024-02-09T23:50:33,2022-01-09T15:21:32,travel
231,429,TV,iOS,Samsung,full,1920x1080,2023-09-18T07:29:36,2023-07-06T07:00:08,pay
232,131,Tablet,iOS,Apple,seven,2560x1440,2024-02-28T16:05:36,2022-01-19T02:02:23,suggest
233,157,TV,iOS,Apple,section,3840x2160,2023-12-02T05:12:28,2023-05-17T21:27:15,most
234,231,TV,Android,Samsung,table,3840x2160,2023-12-04T02:14:37,2022-01-13T12:40:39,recent
235,928,TV,iOS,Apple,shake,3840x2160,2024-07-18T17:32:27,2022-08-17T08:27:40,option
236,513,Tablet,iOS,Samsung,opportunity,3840x2160,2024-08-02T02:10:45,2022-12-16T19:06:16,night
237,597,Smartphone,Windows,Apple,international,3840x2160,2023-08-23T13:31:52,2023-03-26T12:47:58,represent
238,809,TV,Windows,Sony,able,2560x1440,2024-05-04T17:28:05,2022-12-01T15:55:37,edge
239,915,Tablet,iOS,Apple,another,2560x1440,2023-11-19T22:09:20,2022-01-26T10:57:26,have
240,55,Tablet,Windows,Sony,anything,2560x1440,2024-05-06T15:42:02,2022-06-18T11:12:07,you
241,170,Tablet,iOS,Sony,carry,2560x1440,2024-07-24T22:51:02,2022-03-28T19:55:42,area
242,832,Smartphone,Android,Samsung,themselves,3840x2160,2023-12-26T16:19:49,2022-03-27T20:41:29,strategy
243,666,TV,Windows,Samsung,standard,3840x2160,2023-12-12T04:58:00,2021-10-22T07:32:34,can
244,163,TV,iOS,Sony,quite,3840x2160,2024-04-29T19:25:16,2023-07-25T22:42:15,American
245,745,TV,Windows,Samsung,space,2560x1440,2024-02-12T21:32:31,2021-08-21T22:15:19,put
246,550,TV,Android,Apple,to,1920x1080,2023-09-01T01:37:32,2022-10-28T16:39:03,here
247,837,Smartphone,Windows,Apple,result,2560x1440,2023-08-22T08:59:56,2021-10-19T19:37:53,information
248,725,Tablet,Android,Samsung,six,2560x1440,2024-04-27T15:47:20,2021-10-10T19:03:02,imagine
249,556,Tablet,iOS,Samsung,many,2560x1440,2024-03-30T10:59:03,2022-07-02T07:11:10,great
250,780,TV,Android,Apple,policy,3840x2160,2024-01-23T10:05:22,2023-03-31T09:35:46,professional
251,919,Tablet,Windows,Sony,garden,2560x1440,2024-04-29T19:35:19,2023-05-24T13:00:35,address
252,819,Smartphone,iOS,Sony,inside,3840x2160,2023-10-07T18:27:51,2021-09-28T06:29:17,clear
253,896,Smartphone,Android,Apple,draw,2560x1440,2024-03-19T04:10:06,2021-10-19T15:54:32,health
254,181,Smartphone,iOS,Apple,down,1920x1080,2024-08-13T14:01:55,2023-02-02T22:34:49,total
255,303,TV,iOS,Apple,paper,3840x2160,2024-02-29T07:43:58,2023-02-27T13:41:35,now
256,520,Smartphone,Windows,Apple,however,1920x1080,2024-07-10T13:33:10,2022-06-07T20:28:18,cause
