LocationID,Country,State,City,PostalCode,TimeZone,IPAddressRange,GeoCoordinates
17,Congo,Minnesota,Natalieville,28157,Atlantic/Azores,165.55.252.62 - 91.252.89.181,POINT(11.580889199650443 -70.31895261951999)
18,Venezuela,Washington,East Coryton,72019,America/Santo_Domingo,84.40.147.113 - 161.150.27.227,POINT(60.32598035509503 81.47216701691121)
19,Myanmar,Hawaii,Hernandezshire,06224,Asia/Bangkok,89.118.152.151 - 116.21.14.100,POINT(37.68526797898204 65.20998010754988)
20,North Macedonia,Rhode Island,Lake Christinehaven,13031,Pacific/Galapagos,115.153.99.128 - 27.246.113.89,POINT(-160.1510620074772 13.724628003926583)
21,Grenada,North Dakota,Port Andrew,93054,Europe/Athens,115.158.182.2 - 146.199.190.79,POINT(-124.84566685676143 -57.376294330747854)
22,Kyrgyz Republic,Kansas,Griffinchester,77411,America/Belize,201.111.223.121 - 59.126.249.45,POINT(-105.04073501045742 53.62724420886855)
23,Mexico,Wisconsin,Port Luketon,30163,Africa/Windhoek,21.203.221.121 - 202.20.70.7,POINT(-151.19056127795585 -85.87130993676672)
24,Cocos (Keeling) Islands,Alaska,West Tonyaton,65760,Europe/Belgrade,112.186.125.18 - 11.147.12.156,POINT(-128.26293418528184 12.593658019543085)
25,Portugal,Michigan,Bakerchester,79192,Africa/Tunis,44.110.231.176 - 70.82.236.27,POINT(173.02384030825954 -22.67553117474789)
26,Haiti,Idaho,West Christopherstad,41204,Africa/Brazzaville,156.240.69.189 - 63.253.202.164,POINT(143.64690706815134 62.94384901014524)
27,Solomon Islands,Arkansas,Robinborough,31553,Pacific/Truk,191.106.5.11 - 96.160.95.181,POINT(-50.3622301975162 33.70049680772077)
28,Panama,Ohio,Mendezstad,19829,Asia/Dubai,211.77.172.72 - 27.238.230.18,POINT(38.79795273943594 61.69232949731722)
29,Jordan,Arkansas,North Jessicaborough,22770,Africa/Kigali,156.116.109.239 - 6.236.82.64,POINT(47.91739114090774 -11.60103484364953)
30,Togo,Pennsylvania,Lake Kylebury,72367,Europe/San_Marino,79.89.69.117 - 183.81.186.29,POINT(-97.88980275253752 -32.29073051360552)
31,Marshall Islands,North Dakota,Millsland,25084,Asia/Shanghai,156.21.46.39 - 53.86.171.250,POINT(172.635458322597 38.41066778755018)
32,Nepal,Mississippi,Santiagoshire,71687,Europe/Vienna,176.248.168.198 - 149.97.30.118,POINT(148.50146429254164 -64.58160812149362)
33,Guinea,Connecticut,South James,86857,Indian/Antananarivo,41.97.188.67 - 82.92.151.66,POINT(-53.64224587633551 34.5623216679313)
34,Nigeria,New Mexico,North Linda,21452,Asia/Kashgar,113.187.103.44 - 44.241.224.9,POINT(-77.08877784499396 20.601859856647152)
35,Tokelau,Wyoming,Port Shannon,82863,Asia/Dushanbe,156.133.178.177 - 69.66.182.48,POINT(-58.49097195459258 7.200485921213954)
36,India,Florida,Taylorside,61434,Asia/Rangoon,15.107.247.5 - 41.254.42.234,POINT(146.32732953401177 -61.32980689299386)
37,Reunion,South Dakota,Andreamouth,13019,Asia/Rangoon,154.103.135.87 - 35.179.76.68,POINT(100.31181766600093 -64.60790695717031)
38,Uruguay,Arkansas,New Brianstad,75590,Asia/Jerusalem,207.63.44.82 - 141.155.206.73,POINT(-74.38967114206757 27.08751997216598)
39,Bangladesh,Arkansas,Mcdowellshire,36220,Africa/Kigali,155.180.92.153 - 23.90.189.80,POINT(34.024022050059585 -74.81475570903858)
40,Guinea-Bissau,New Jersey,Nicoleville,13993,America/Tegucigalpa,219.154.45.6 - 70.155.193.8,POINT(120.01091701782349 -87.6226551337951)
41,United States Minor Outlying Islands,Vermont,Haleyport,84718,Africa/Lome,2.11.64.2 - 221.216.40.90,POINT(-62.9453552294398 -52.291235915153976)
42,Nepal,Montana,Sheilashire,78982,Africa/Nouakchott,119.113.8.230 - 37.203.42.84,POINT(-94.81867951898155 -68.81720234745437)
43,Iceland,Arizona,Port Michael,30137,Africa/Gaborone,184.31.224.220 - 200.224.89.29,POINT(-66.23619461664255 -26.552740115027554)
44,South Georgia and the South Sandwich Islands,Minnesota,Floresbury,57865,Asia/Seoul,48.97.75.5 - 111.149.153.206,POINT(-25.761874228988262 3.383944956159837)
45,Palau,Tennessee,New Randallview,10278,Africa/Nairobi,184.45.198.15 - 92.83.195.217,POINT(45.79112947028355 -15.181524937130291)
46,Falkland Islands (Malvinas),Washington,Thomasport,13099,Africa/Djibouti,29.59.244.136 - 85.144.37.21,POINT(157.70688533138934 -37.0115038976296)
47,Kazakhstan,Montana,Erinland,16518,Africa/Cairo,52.242.45.163 - 219.27.255.41,POINT(175.19131554415685 53.32520916409513)
48,Hong Kong,Hawaii,Millsport,67000,Europe/Tirane,152.200.99.47 - 47.145.78.35,POINT(-106.2332282419172 -73.12789814601815)
49,Korea,Minnesota,New Katie,48583,Africa/Niamey,166.32.195.210 - 196.228.236.47,POINT(-81.24708353673535 -80.08893055165552)
50,Costa Rica,Hawaii,Schmidtland,53030,Africa/Windhoek,188.102.120.7 - 208.130.209.52,POINT(114.33016858224767 -74.3831058483157)
51,Kenya,Idaho,South Emilybury,48352,Europe/Oslo,194.185.39.128 - 30.57.225.8,POINT(134.4589209944346 28.612333066506523)
52,French Southern Territories,Minnesota,West Laura,66159,Africa/Maputo,41.125.28.68 - 138.171.74.129,POINT(65.64729461525073 -17.68450770950352)
53,Qatar,Arizona,West Lori,80102,Atlantic/Cape_Verde,83.170.228.149 - 165.193.200.18,POINT(-23.589522070973345 -46.40225028752132)
54,Korea,Ohio,North Ashley,16444,Africa/Tripoli,102.79.88.224 - 184.219.17.108,POINT(-21.036363939963138 30.75962843854134)
55,Pakistan,Washington,East Marymouth,46428,America/Antigua,141.211.28.226 - 102.113.225.158,POINT(-119.93084308780996 -27.99746378153236)
56,Moldova,Illinois,Port Joshua,74166,Asia/Muscat,71.10.198.237 - 131.97.250.5,POINT(-171.00878753581154 -0.7342280390639502)
57,Canada,Wyoming,Victoriaborough,63056,Africa/Bujumbura,92.5.206.62 - 87.181.138.127,POINT(-87.90080261479893 -70.61492815912487)
58,Nigeria,Alabama,Nancyhaven,95798,America/Lima,129.236.231.132 - 30.240.79.13,POINT(65.00112684324134 25.795424302881756)
59,Morocco,Rhode Island,Carolynmouth,05514,Africa/Luanda,17.181.128.105 - 218.128.125.49,POINT(163.80431150593284 -89.84132206909129)
60,Vanuatu,Connecticut,Lake Scott,37560,Europe/Vatican,132.115.65.195 - 221.224.84.193,POINT(-16.584910500112358 -6.286609259191053)
61,Montserrat,Georgia,South Candace,25330,Africa/Bujumbura,8.17.95.214 - 188.72.22.36,POINT(38.176354001896414 53.53967177942886)
62,Northern Mariana Islands,Washington,Weaverton,82089,Asia/Phnom_Penh,217.95.47.116 - 119.198.153.128,POINT(-129.22086376062384 43.729919041338206)
63,Kyrgyz Republic,Rhode Island,Lake Stacychester,48422,America/Guyana,4.211.33.51 - 51.180.30.160,POINT(13.548336031622114 22.648092467453367)
64,Dominica,Oregon,Port Mary,48121,Africa/Douala,46.68.47.153 - 87.6.56.184,POINT(-56.01922595005331 -5.453895675173015)
65,Peru,Vermont,Wyattfurt,58455,Europe/Copenhagen,82.226.101.99 - 94.185.254.105,POINT(114.57403784944592 -41.66538861935411)
66,Northern Mariana Islands,Colorado,Sarahhaven,61431,Africa/Asmera,18.114.160.240 - 83.118.0.68,POINT(-110.57906052663859 77.39548304764295)
67,Mauritania,Idaho,East Marc,26748,America/Guyana,24.191.4.167 - 200.185.81.221,POINT(-63.13151869326326 -32.52840099090689)
68,Seychelles,Kentucky,North Holly,98515,Indian/Antananarivo,23.249.143.86 - 25.26.39.174,POINT(-31.305831284656193 -54.247367754255336)
69,Hong Kong,North Carolina,Jessicashire,60904,America/Belize,222.203.244.97 - 37.10.139.177,POINT(22.775082240937422 -85.45444221008519)
70,Cote d'Ivoire,West Virginia,Michaelstad,96227,Asia/Aqtobe,70.198.109.10 - 186.75.190.147,POINT(140.76289688483524 -19.23798559582106)
71,Bulgaria,Kansas,Colemanberg,59055,America/Santo_Domingo,59.241.206.113 - 12.178.131.82,POINT(-9.233443138955096 -36.512632988427185)
72,Ethiopia,Ohio,Port Robertmouth,96581,Pacific/Port_Moresby,47.67.112.25 - 84.245.33.162,POINT(100.5525302769363 11.485345229800686)
73,Cameroon,Idaho,Hendersonview,31523,America/Asuncion,101.76.161.178 - 188.178.0.94,POINT(-58.790308099335064 14.029187465404235)
74,British Indian Ocean Territory (Chagos Archipelago),Ohio,Parsonsside,35896,America/Tegucigalpa,218.154.245.0 - 216.115.249.80,POINT(-155.58772316413064 -4.723728188580935)
75,Aruba,New Mexico,North Jacquelinestad,27530,America/Tegucigalpa,57.243.12.243 - 132.179.65.210,POINT(-157.04464989404735 63.07953323391169)
76,Oman,Louisiana,Tylerport,74057,Africa/Cairo,168.14.239.246 - 1.35.7.240,POINT(-9.792040977512784 38.95363782160851)
77,Honduras,Oklahoma,Frazierview,84686,America/Guatemala,8.174.241.75 - 134.155.4.129,POINT(-99.39665335810926 74.41853138848708)
78,Iraq,Pennsylvania,Claudiatown,67815,Pacific/Palau,88.157.155.22 - 189.200.145.238,POINT(34.083517423177796 -16.330300529799914)
79,Uganda,Kansas,Osborneburgh,30727,Africa/Nairobi,18.137.69.83 - 101.29.250.141,POINT(-138.2668138637053 3.285896202692001)
80,Congo,Oklahoma,Blackton,58233,America/Santo_Domingo,75.133.186.146 - 135.59.231.231,POINT(-77.08785719759528 31.54257856283354)
81,Zimbabwe,North Carolina,Lake Dianamouth,84122,Europe/Amsterdam,155.236.77.117 - 138.104.252.182,POINT(-81.8865748705933 -52.16189166268586)
82,Mozambique,North Carolina,North Sergio,28235,Asia/Bishkek,221.149.140.18 - 93.164.244.132,POINT(173.4671190491493 47.95670124404904)
83,Thailand,New Jersey,Johnsonbury,55265,Africa/Porto-Novo,174.77.165.25 - 27.215.117.11,POINT(133.81587093059733 -24.920230285555178)
84,Saint Lucia,Louisiana,West Chad,17367,Africa/Banjul,174.130.141.55 - 17.5.191.73,POINT(54.91624322678976 78.488628138814)
85,Saint Helena,Wisconsin,South Zacharymouth,88282,Asia/Muscat,169.77.49.44 - 77.177.240.146,POINT(26.289417634049073 -72.82912077892054)
86,Israel,Virginia,Lake Eugene,05681,Pacific/Port_Moresby,83.23.108.127 - 180.1.238.228,POINT(-8.020014373280901 71.6778031315983)
87,Hong Kong,Rhode Island,North Roberto,16519,Indian/Comoro,27.136.93.27 - 155.93.68.127,POINT(-33.81874437014872 76.45144540694906)
88,Malaysia,Iowa,Faulknerville,54587,Europe/Berlin,160.135.98.6 - 116.45.30.123,POINT(112.4139948455952 18.36991703997211)
89,Qatar,Louisiana,Fernandezton,67806,America/Guyana,162.74.90.26 - 116.152.20.74,POINT(-63.587231382526525 -56.13636854496376)
90,Moldova,Maine,New Richardtown,10580,Asia/Dubai,1.200.16.171 - 208.65.161.28,POINT(113.65332187532664 -85.0490086605227)
91,Yemen,South Carolina,Port Brianna,69784,Africa/Blantyre,150.30.174.162 - 218.134.43.121,POINT(-2.953138527450392 52.483144780938034)
92,Belgium,Georgia,Reynoldschester,29342,Asia/Kuwait,118.227.248.216 - 140.222.35.237,POINT(-118.04132831438133 -75.51358164032288)
93,Cuba,Arizona,Port Bryan,03594,Africa/Kampala,33.160.71.21 - 191.90.159.159,POINT(47.586229761800496 3.804950272472098)
94,Seychelles,Ohio,Lake Susanport,90772,Africa/Bangui,196.47.29.9 - 124.143.167.200,POINT(6.213700123236947 26.92331606438698)
95,French Southern Territories,Indiana,Jasmineborough,97799,Asia/Katmandu,134.11.84.87 - 220.61.13.48,POINT(-126.9303820322387 -8.649420315182724)
96,Czech Republic,Arizona,Lake Angel,72616,America/Paramaribo,131.218.43.27 - 50.5.142.241,POINT(-36.342850350064765 -12.471697959242732)
97,Kazakhstan,Utah,Garciabury,78613,Africa/Djibouti,87.161.227.165 - 54.133.143.15,POINT(-154.12800236454126 27.46045253594731)
98,Greenland,Louisiana,West Pamela,92459,Africa/Lusaka,203.203.45.142 - 44.234.77.170,POINT(3.1824973845528177 -74.3504406858522)
99,Portugal,Hawaii,Romerofort,03864,Africa/Luanda,66.32.196.56 - 174.162.190.38,POINT(151.62624589833115 -42.02424080089423)
100,Uganda,Virginia,Guerramouth,38852,America/Port_of_Spain,44.229.73.206 - 212.109.181.85,POINT(153.3677552261516 9.155234088243176)
