SubscriptionID,ViewerID,SubscriptionType,StartDate,EndDate,RenewalStatus,PaymentMethod,ActiveStatus,LastRenewalDate,SubscriptionTier
35,593,Standard,2023-04-06T19:16:39,2024-05-12T10:47:42,True,Credit Card,True,2023-12-20T04:50:11,Basic
36,763,Basic,2023-07-27T22:33:59,2023-10-21T14:48:26,True,PayPal,False,2023-11-04T11:03:30,Basic
37,507,Standard,2022-08-27T09:51:45,2023-09-24T11:24:52,False,PayPal,False,2024-02-04T16:19:48,Standard
38,599,Standard,2022-05-24T02:44:41,2024-06-19T18:00:04,True,Debit Card,True,2024-07-05T20:10:23,Standard
39,949,Premium,2023-03-23T06:59:37,2024-02-06T17:07:56,True,PayPal,True,2024-01-05T21:33:37,Standard
40,397,Basic,2022-05-14T20:28:07,2023-11-25T16:46:24,True,PayPal,False,2024-04-19T05:33:34,Premium
41,967,Basic,2022-12-21T22:38:31,2023-12-19T16:18:01,True,PayPal,False,2023-12-12T02:30:17,Basic
42,746,Basic,2021-08-14T16:37:03,2024-04-18T00:27:59,True,Credit Card,False,2023-09-26T08:56:34,Basic
43,409,Premium,2023-07-26T20:49:58,2024-03-19T09:06:02,False,Credit Card,True,2024-04-10T15:11:38,Basic
44,232,Basic,2021-09-20T17:44:02,2024-05-20T22:52:15,False,PayPal,False,2023-11-25T07:19:09,Basic
45,557,Basic,2021-10-04T03:47:19,2023-08-24T16:11:17,False,Debit Card,True,2024-05-15T05:34:23,Premium
46,849,Basic,2023-03-21T00:02:49,2023-10-21T23:18:00,True,Credit Card,False,2024-01-01T21:42:22,Standard
47,409,Basic,2022-07-16T19:07:56,2023-08-29T02:04:35,False,Credit Card,True,2023-08-31T03:42:37,Standard
48,905,Premium,2023-02-09T19:32:10,2023-08-14T23:17:59,False,Credit Card,True,2024-04-12T17:27:26,Premium
49,657,Standard,2022-03-29T15:20:50,2024-05-28T23:40:21,False,Credit Card,True,2024-07-08T15:19:02,Standard
50,659,Basic,2022-07-23T18:07:56,2023-10-16T05:59:36,False,PayPal,True,2023-12-05T19:48:56,Standard
51,263,Basic,2021-08-29T07:00:01,2023-10-07T04:20:36,True,Credit Card,False,2024-05-20T05:16:09,Premium
52,370,Standard,2023-01-19T23:13:56,2023-12-23T15:51:10,False,Debit Card,False,2023-12-31T22:21:56,Premium
53,67,Basic,2023-03-21T03:57:52,2023-12-06T19:03:55,False,PayPal,False,2023-10-07T04:34:15,Basic
54,154,Premium,2022-07-20T04:09:17,2024-03-19T21:24:22,True,Debit Card,True,2024-03-12T09:22:55,Premium
55,253,Standard,2023-05-16T22:56:45,2023-11-25T05:17:52,False,Debit Card,True,2024-06-06T02:54:59,Basic
56,328,Standard,2021-08-24T05:28:05,2024-08-07T21:46:32,False,Debit Card,True,2024-04-20T00:37:23,Basic
57,766,Premium,2021-11-18T14:42:46,2024-07-17T11:11:33,True,Credit Card,True,2023-11-08T06:37:07,Premium
58,918,Premium,2022-11-21T15:34:51,2024-03-13T23:12:38,True,Credit Card,True,2023-08-19T04:10:34,Basic
59,416,Premium,2022-11-25T03:44:26,2024-01-18T06:08:16,True,Credit Card,True,2024-04-23T12:55:09,Premium
60,385,Basic,2022-07-09T19:24:55,2024-06-30T19:28:45,False,Credit Card,True,2024-04-16T12:26:43,Standard
61,722,Basic,2022-12-11T03:27:18,2024-04-21T07:25:06,True,Debit Card,False,2024-06-10T20:45:57,Premium
62,968,Standard,2023-07-02T22:03:38,2023-09-08T00:47:48,False,Credit Card,False,2024-03-15T21:52:23,Premium
63,681,Standard,2023-04-05T04:53:29,2023-12-13T22:30:26,True,Credit Card,False,2024-03-20T14:48:42,Premium
64,474,Premium,2022-06-14T01:47:29,2024-05-21T23:44:59,False,PayPal,False,2024-05-16T14:39:16,Standard
65,914,Standard,2022-03-09T08:45:04,2024-02-16T19:36:57,True,PayPal,True,2024-06-18T07:07:08,Standard
66,267,Premium,2023-02-15T03:53:48,2024-06-27T23:31:23,True,PayPal,True,2023-10-09T03:40:24,Premium
67,476,Premium,2021-09-16T07:41:33,2024-06-07T20:04:58,True,Credit Card,True,2023-08-29T11:34:46,Standard
68,147,Basic,2022-06-12T22:07:47,2024-03-04T18:55:29,False,PayPal,False,2023-11-29T06:51:39,Standard
69,933,Standard,2022-01-28T09:30:30,2024-02-04T20:48:45,False,PayPal,True,2024-08-02T12:22:46,Standard
70,960,Premium,2023-07-20T05:39:55,2023-12-14T14:47:50,False,Debit Card,False,2024-02-28T21:50:13,Standard
71,58,Premium,2022-08-13T21:02:55,2023-09-28T17:56:07,False,Credit Card,True,2024-06-10T06:35:15,Premium
72,214,Standard,2021-11-30T21:19:36,2024-07-20T17:37:23,False,Credit Card,True,2023-12-25T07:14:15,Premium
73,33,Standard,2022-10-02T09:47:45,2024-04-02T12:16:35,False,Debit Card,True,2023-11-17T08:37:41,Basic
74,379,Standard,2022-11-19T19:23:40,2023-09-28T13:17:20,True,Credit Card,False,2024-06-30T13:26:18,Basic
75,75,Standard,2022-08-19T10:15:03,2024-01-01T18:46:41,False,Credit Card,True,2023-11-05T09:35:37,Premium
76,906,Premium,2022-11-02T09:28:01,2024-05-06T19:32:21,False,Credit Card,False,2024-05-18T04:14:51,Standard
77,423,Premium,2022-09-21T20:57:02,2024-08-07T15:48:25,False,Credit Card,False,2023-12-10T03:01:20,Standard
78,203,Basic,2022-03-26T19:18:12,2023-11-23T20:59:01,False,PayPal,False,2024-03-31T05:00:09,Basic
79,82,Standard,2023-03-29T22:32:50,2024-06-29T07:26:45,True,PayPal,False,2023-09-18T06:46:45,Basic
80,976,Basic,2023-02-21T05:32:53,2024-03-08T13:47:15,True,Debit Card,False,2024-06-17T02:55:21,Standard
81,449,Standard,2022-07-27T13:04:02,2023-10-29T21:20:49,True,PayPal,True,2024-07-09T21:21:41,Basic
82,420,Basic,2022-09-29T21:23:16,2024-04-16T01:49:29,False,Debit Card,False,2024-07-05T08:48:01,Basic
83,252,Premium,2023-01-29T16:55:09,2023-09-01T05:40:29,True,Credit Card,True,2024-07-28T10:18:30,Basic
84,151,Basic,2021-09-11T20:39:52,2024-02-04T14:50:28,True,Debit Card,False,2023-10-15T22:00:16,Basic
85,986,Basic,2021-10-14T13:15:02,2024-03-29T06:24:02,False,PayPal,True,2023-12-09T02:00:13,Premium
86,365,Premium,2023-05-04T23:01:20,2024-07-16T01:39:33,True,Credit Card,True,2023-10-31T19:22:07,Basic
87,916,Premium,2023-04-28T04:21:43,2024-07-15T17:02:18,True,Credit Card,False,2023-08-22T10:11:31,Premium
88,159,Basic,2022-05-25T07:03:31,2023-11-07T10:44:05,True,Credit Card,False,2024-03-29T01:46:23,Standard
89,403,Basic,2022-03-26T00:28:39,2023-10-30T14:23:46,True,Debit Card,True,2024-06-07T13:02:38,Premium
90,876,Standard,2023-01-26T18:33:20,2024-01-05T07:49:43,False,Debit Card,True,2024-07-28T14:43:57,Basic
91,231,Standard,2022-10-26T01:31:16,2024-05-22T17:14:11,True,Debit Card,False,2024-07-30T04:03:06,Basic
92,603,Standard,2023-06-17T05:29:05,2024-01-22T14:30:39,True,Credit Card,True,2023-09-02T15:52:55,Standard
93,447,Premium,2022-06-28T12:18:12,2024-03-24T00:10:42,False,Credit Card,True,2023-11-07T02:07:15,Basic
94,96,Standard,2022-07-28T19:25:15,2023-09-24T23:05:39,True,Debit Card,True,2024-07-31T08:41:33,Premium
95,326,Standard,2021-10-08T20:34:12,2023-12-08T05:41:07,True,Credit Card,False,2024-01-28T12:57:16,Standard
96,873,Basic,2023-08-13T04:09:12,2023-12-29T11:34:59,False,Debit Card,False,2024-06-10T04:51:11,Basic
97,928,Premium,2022-03-26T00:34:35,2024-01-29T14:04:45,False,Credit Card,False,2024-02-29T07:40:32,Basic
98,753,Basic,2022-10-28T18:00:27,2023-09-04T11:19:09,True,PayPal,True,2023-11-06T22:20:50,Basic
99,463,Standard,2021-10-11T05:25:52,2023-11-17T02:16:17,True,PayPal,False,2023-11-25T15:23:20,Premium
100,515,Premium,2022-08-03T08:36:26,2024-04-26T21:34:11,False,Credit Card,True,2024-02-20T13:23:18,Basic
101,497,Premium,2023-05-05T19:00:28,2024-03-09T17:06:22,False,Credit Card,True,2023-10-16T11:25:34,Standard
102,768,Basic,2021-12-11T11:56:39,2024-04-29T18:59:59,False,Credit Card,True,2023-08-29T12:25:14,Standard
103,449,Standard,2022-01-27T08:34:00,2023-08-16T21:42:20,False,Credit Card,False,2024-05-13T14:21:34,Basic
104,998,Standard,2021-10-13T17:51:00,2024-04-06T17:11:30,True,PayPal,True,2023-11-09T11:23:37,Premium
105,566,Basic,2021-09-05T14:21:43,2023-12-28T19:00:47,False,PayPal,True,2024-04-04T21:41:45,Standard
106,46,Standard,2022-04-13T17:02:27,2024-02-17T05:11:35,True,Credit Card,False,2024-04-30T15:28:42,Premium
107,422,Basic,2022-12-08T14:52:39,2024-06-03T10:05:57,False,Debit Card,True,2023-12-27T08:47:48,Premium
108,787,Premium,2023-07-25T21:02:05,2024-03-09T17:44:51,False,PayPal,True,2023-09-25T10:39:30,Basic
109,878,Premium,2023-02-26T05:07:13,2024-04-13T14:26:17,True,PayPal,False,2023-10-21T08:33:00,Standard
110,952,Basic,2022-08-21T17:53:35,2024-02-04T02:29:53,False,Credit Card,True,2024-02-29T08:38:50,Standard
111,919,Basic,2022-01-01T21:13:12,2023-10-25T20:31:09,True,PayPal,True,2024-03-18T05:11:50,Standard
112,520,Basic,2022-03-31T04:59:48,2024-03-02T11:34:53,True,Credit Card,False,2024-06-09T16:31:18,Basic
113,503,Premium,2023-03-12T03:27:31,2024-07-22T17:15:29,True,Debit Card,True,2023-10-09T06:14:41,Standard
114,782,Premium,2023-07-01T11:39:54,2023-12-27T19:45:33,True,Debit Card,True,2024-01-16T01:09:50,Basic
115,721,Standard,2023-07-07T17:11:11,2024-01-24T05:36:54,True,Credit Card,False,2023-11-04T17:36:54,Basic
116,655,Basic,2022-02-18T10:32:59,2024-02-08T10:37:28,False,Credit Card,False,2024-05-30T19:49:28,Basic
117,172,Basic,2021-12-04T21:24:22,2023-09-28T16:17:37,False,Debit Card,False,2024-02-28T20:50:32,Standard
118,434,Basic,2023-01-22T07:09:08,2023-08-14T21:46:13,True,Debit Card,False,2024-07-21T09:01:29,Premium
119,734,Standard,2022-08-22T11:13:40,2024-05-15T02:04:19,True,Debit Card,True,2024-02-16T16:57:57,Premium
120,283,Basic,2023-08-05T16:34:38,2024-01-04T06:48:59,True,PayPal,True,2024-02-07T18:48:18,Standard
121,954,Premium,2022-07-12T02:35:44,2024-07-22T00:48:19,False,Credit Card,False,2024-05-14T03:38:53,Premium
122,923,Standard,2022-09-10T18:03:52,2024-01-11T17:05:46,True,PayPal,True,2024-05-17T04:58:40,Premium
123,252,Basic,2023-01-29T08:27:17,2024-01-04T18:16:44,True,PayPal,False,2024-03-06T13:19:44,Standard
124,67,Premium,2022-10-02T11:36:37,2024-02-05T20:43:10,False,PayPal,True,2024-07-22T03:35:57,Basic
125,570,Premium,2022-04-06T15:00:34,2024-07-19T04:46:46,True,Credit Card,True,2024-01-07T03:42:21,Basic
126,739,Basic,2023-05-09T16:49:01,2024-01-05T10:08:33,False,Credit Card,False,2023-10-25T02:45:15,Basic
127,488,Premium,2022-04-17T01:58:35,2023-11-06T18:54:03,True,Debit Card,True,2023-10-11T02:01:56,Standard
128,376,Standard,2023-05-08T10:42:16,2024-02-10T03:33:02,False,Debit Card,False,2024-05-24T18:49:41,Basic
129,157,Premium,2022-07-26T21:59:39,2024-04-30T13:03:42,True,Debit Card,False,2023-09-18T19:23:07,Basic
130,116,Standard,2021-09-15T20:05:32,2023-09-09T17:16:15,False,Credit Card,True,2024-08-04T19:24:09,Basic
131,294,Standard,2021-10-17T01:10:58,2023-12-16T01:38:07,False,PayPal,True,2024-01-16T13:13:52,Premium
132,566,Standard,2022-12-24T21:17:03,2023-12-03T23:02:24,True,PayPal,True,2024-05-09T17:07:40,Standard
133,301,Basic,2022-01-14T15:58:29,2023-12-02T12:50:18,False,PayPal,True,2024-04-24T19:21:54,Basic
134,770,Standard,2023-04-13T20:31:31,2024-02-04T15:31:13,True,Credit Card,True,2024-02-06T14:10:49,Standard
135,751,Standard,2021-10-19T16:39:45,2024-01-22T05:43:09,False,PayPal,False,2023-10-18T09:19:33,Basic
136,489,Standard,2023-03-18T09:52:38,2024-02-08T10:42:13,True,PayPal,False,2024-04-01T06:55:41,Premium
137,731,Basic,2021-10-09T09:18:45,2024-02-09T20:21:24,False,Credit Card,True,2024-02-09T01:57:03,Premium
138,347,Basic,2022-12-28T17:54:00,2023-09-19T19:45:15,True,PayPal,True,2024-03-05T00:26:54,Basic
139,200,Standard,2022-06-27T23:12:47,2023-09-25T14:31:35,False,Debit Card,False,2024-01-10T12:10:34,Standard
140,639,Premium,2023-05-05T01:09:56,2024-06-11T08:20:39,False,PayPal,True,2024-04-10T21:34:05,Standard
141,365,Premium,2023-03-08T12:59:14,2024-06-03T17:45:45,False,PayPal,False,2024-03-12T02:45:28,Premium
142,773,Basic,2023-01-02T09:52:40,2024-04-20T22:10:32,False,Debit Card,False,2024-07-13T22:25:17,Premium
143,972,Standard,2023-03-23T15:57:13,2023-10-19T14:09:52,False,Credit Card,False,2023-12-18T08:29:36,Standard
144,499,Premium,2021-11-23T12:58:48,2023-12-05T12:36:24,False,Credit Card,True,2023-11-26T12:14:18,Standard
145,397,Basic,2023-06-24T03:39:32,2024-03-20T19:37:05,False,PayPal,True,2023-10-11T12:21:23,Standard
146,666,Standard,2022-02-18T18:20:50,2024-04-05T02:11:30,False,PayPal,True,2023-12-02T07:03:48,Premium
147,225,Basic,2021-10-18T23:44:20,2024-08-09T06:39:48,True,PayPal,False,2023-11-01T18:32:24,Standard
148,35,Basic,2023-07-03T16:17:33,2023-11-07T21:27:25,False,PayPal,True,2023-09-09T23:36:17,Basic
149,489,Basic,2022-12-10T22:11:43,2024-02-24T19:58:28,False,Credit Card,True,2023-12-08T19:03:45,Premium
150,362,Basic,2022-05-02T15:35:41,2024-02-26T02:10:33,False,Credit Card,False,2024-03-21T17:10:33,Premium
151,390,Basic,2023-07-19T00:18:19,2023-11-02T09:36:19,False,Credit Card,False,2024-01-15T00:01:44,Premium
152,126,Premium,2022-08-18T19:47:01,2024-02-16T12:34:26,False,Debit Card,True,2024-06-12T17:02:34,Standard
153,259,Premium,2023-05-10T14:25:47,2023-10-12T15:16:22,True,Debit Card,False,2024-02-21T00:16:34,Basic
154,29,Premium,2022-02-04T08:35:14,2023-10-27T20:31:25,False,Debit Card,False,2024-01-22T21:29:30,Basic
155,875,Premium,2022-05-29T17:10:05,2023-11-30T05:21:33,True,Credit Card,False,2024-03-08T02:44:50,Standard
156,775,Basic,2023-04-25T10:37:50,2024-05-17T12:08:04,False,PayPal,True,2023-11-10T23:42:19,Premium
157,571,Basic,2023-06-01T05:04:28,2023-11-29T09:25:25,True,Credit Card,False,2024-05-12T21:18:50,Premium
158,620,Premium,2023-03-15T15:02:02,2023-12-28T19:30:49,True,Credit Card,False,2024-07-19T06:23:07,Standard
159,914,Premium,2023-02-28T10:01:03,2023-12-01T19:52:17,True,Credit Card,True,2024-05-18T09:42:23,Standard
160,3,Premium,2022-03-30T20:09:43,2023-09-29T12:04:49,False,Credit Card,False,2024-05-11T05:53:34,Standard
161,298,Standard,2023-07-17T22:24:05,2023-09-20T21:54:41,True,Credit Card,True,2024-07-13T15:19:46,Standard
162,475,Standard,2023-03-19T20:14:47,2024-03-12T22:57:13,True,PayPal,False,2023-10-13T02:04:35,Basic
163,531,Basic,2021-11-19T16:49:13,2024-07-06T06:49:28,False,Debit Card,True,2024-06-19T04:48:23,Basic
164,959,Premium,2022-11-07T21:13:19,2024-03-25T13:59:33,True,Credit Card,False,2024-06-06T03:40:45,Premium
165,868,Standard,2022-08-11T23:35:45,2023-12-15T08:58:18,True,Debit Card,False,2024-08-06T02:33:27,Basic
166,686,Basic,2023-07-01T10:59:38,2024-05-08T03:10:07,True,PayPal,False,2024-07-31T15:30:40,Basic
167,698,Standard,2022-04-01T05:15:58,2024-07-12T00:07:03,False,Debit Card,False,2024-04-10T19:56:45,Basic
168,230,Basic,2022-05-19T14:20:18,2024-08-03T03:48:09,False,Debit Card,True,2024-07-15T03:38:09,Standard
169,555,Basic,2021-11-15T09:15:16,2024-03-08T04:33:26,True,PayPal,False,2024-02-17T22:28:39,Standard
170,499,Standard,2022-03-02T03:29:23,2024-03-02T22:52:17,False,Credit Card,False,2023-08-21T10:13:36,Standard
171,925,Basic,2023-03-04T13:44:48,2023-12-18T19:55:04,True,PayPal,True,2024-04-12T23:21:16,Basic
172,594,Premium,2022-01-27T14:31:16,2024-06-07T01:30:43,False,PayPal,True,2023-12-09T15:43:34,Premium
173,408,Standard,2023-03-10T06:29:29,2023-10-24T22:49:55,False,PayPal,True,2024-05-14T03:00:51,Standard
174,818,Standard,2023-07-18T02:22:48,2023-08-30T09:13:42,False,Debit Card,True,2024-05-27T10:48:11,Standard
175,396,Standard,2021-12-11T08:53:59,2023-10-25T04:22:30,True,Debit Card,True,2024-06-01T08:33:57,Standard
176,738,Basic,2022-07-11T12:37:39,2024-04-10T13:27:45,True,Credit Card,False,2024-02-10T03:07:27,Basic
177,206,Premium,2023-04-11T10:15:11,2023-09-17T09:26:44,False,PayPal,False,2024-02-25T17:44:16,Standard
178,110,Premium,2022-06-06T11:12:11,2023-12-28T21:59:23,True,Credit Card,True,2024-01-14T02:31:20,Standard
179,641,Premium,2022-04-03T15:06:15,2023-10-06T00:50:08,True,PayPal,False,2024-08-08T10:19:18,Premium
180,559,Standard,2022-07-18T21:44:46,2024-04-11T21:49:35,False,Credit Card,False,2024-04-04T23:22:09,Standard
181,789,Basic,2022-06-11T22:26:23,2024-04-28T10:59:34,False,Debit Card,True,2024-03-04T02:14:16,Standard
182,643,Standard,2022-11-17T18:06:28,2024-01-25T04:06:04,True,Debit Card,False,2024-04-19T18:08:48,Premium
183,624,Basic,2021-09-10T04:37:59,2024-01-05T22:49:48,False,Credit Card,True,2024-02-12T20:18:11,Premium
184,833,Standard,2022-01-16T11:12:51,2023-09-14T22:26:36,False,Debit Card,False,2023-11-12T14:16:52,Standard
185,551,Basic,2023-03-24T03:35:40,2023-11-13T06:41:56,False,Debit Card,False,2024-07-28T19:39:11,Basic
186,335,Premium,2022-07-24T18:11:06,2024-02-07T13:49:08,True,Credit Card,True,2023-10-27T15:09:41,Standard
187,879,Premium,2023-07-17T11:39:56,2023-08-14T22:14:46,False,PayPal,True,2024-06-06T06:28:12,Basic
188,15,Premium,2023-01-01T03:31:57,2024-01-22T14:44:40,True,Debit Card,True,2024-03-12T03:32:28,Standard
189,90,Standard,2022-05-15T09:36:07,2023-11-12T19:58:34,True,PayPal,False,2024-02-10T02:33:09,Standard
190,694,Premium,2023-05-18T11:10:42,2024-04-22T09:07:13,False,Credit Card,True,2024-06-16T02:06:43,Premium
191,762,Premium,2022-07-19T23:41:49,2023-11-13T06:53:57,False,Debit Card,False,2024-02-15T09:36:17,Premium
192,656,Basic,2022-02-15T04:10:03,2024-04-12T12:29:59,True,PayPal,False,2024-03-31T12:27:49,Basic
193,655,Basic,2022-11-23T13:42:32,2024-02-16T17:52:15,False,PayPal,False,2024-05-04T06:06:01,Basic
194,211,Standard,2022-01-06T20:17:11,2024-08-06T17:23:20,False,Credit Card,False,2023-11-29T06:49:01,Basic
195,965,Standard,2022-02-15T04:03:10,2023-11-05T23:51:22,False,PayPal,True,2023-08-29T23:41:31,Basic
196,264,Basic,2023-06-28T23:52:44,2023-12-14T21:00:53,True,PayPal,True,2024-05-22T16:37:31,Premium
197,47,Premium,2023-01-07T08:40:20,2024-05-20T00:02:44,False,Debit Card,True,2023-09-04T13:41:47,Basic
198,926,Standard,2021-08-28T02:50:37,2024-01-27T11:36:33,False,PayPal,True,2024-07-27T22:42:00,Basic
199,7,Premium,2022-11-20T06:23:29,2024-04-16T19:40:53,True,Debit Card,True,2023-12-06T07:04:24,Premium
200,140,Premium,2022-12-18T17:04:04,2023-09-25T07:27:35,False,Debit Card,False,2023-10-03T04:13:04,Premium
201,204,Basic,2023-04-09T21:24:21,2024-04-10T23:04:56,True,PayPal,True,2024-04-01T15:33:37,Basic
202,602,Standard,2022-12-27T14:07:38,2024-07-22T09:04:09,True,PayPal,False,2024-03-09T17:43:17,Basic
203,44,Premium,2023-05-17T16:29:29,2023-12-03T17:00:25,False,Credit Card,False,2023-08-23T13:06:42,Basic
204,625,Standard,2022-05-24T00:34:54,2024-02-11T05:01:29,True,Credit Card,False,2024-07-22T16:16:22,Standard
205,466,Premium,2021-12-19T14:54:27,2024-06-05T04:46:40,False,Credit Card,True,2024-04-30T10:19:25,Premium
206,74,Standard,2022-07-01T17:29:21,2023-10-23T09:05:14,False,Debit Card,False,2024-04-22T22:26:12,Premium
207,43,Premium,2021-09-05T03:14:13,2024-06-04T23:25:18,False,PayPal,True,2024-06-21T22:50:18,Standard
208,943,Basic,2022-12-26T11:02:17,2024-03-25T05:29:51,True,Credit Card,True,2024-05-30T21:24:25,Standard
209,83,Basic,2022-10-31T05:08:46,2023-09-19T08:35:41,True,PayPal,False,2023-09-22T22:35:46,Basic
210,257,Standard,2023-04-11T01:40:57,2023-11-02T17:32:30,True,PayPal,True,2024-06-29T20:37:31,Standard
211,771,Basic,2023-07-30T15:54:41,2024-01-18T13:24:12,False,Credit Card,False,2024-07-15T15:58:53,Basic
212,653,Standard,2023-08-09T15:28:33,2023-10-03T20:21:01,True,Credit Card,True,2024-02-01T10:16:40,Standard
213,50,Premium,2022-04-16T09:19:48,2024-07-02T23:46:39,False,PayPal,True,2023-08-28T04:13:34,Basic
214,42,Standard,2021-10-10T14:16:13,2023-09-21T14:54:13,True,Debit Card,True,2024-02-19T19:49:58,Premium
215,70,Standard,2023-01-07T20:31:32,2023-09-09T01:21:30,False,Debit Card,False,2024-03-25T18:41:34,Standard
216,653,Basic,2022-07-29T01:56:25,2024-04-19T22:20:12,True,Debit Card,True,2023-08-14T16:37:00,Standard
217,269,Basic,2023-05-17T17:21:54,2023-10-12T06:43:42,False,Credit Card,True,2023-08-25T08:12:34,Premium
218,649,Basic,2023-08-11T12:02:31,2023-12-31T17:11:17,False,Credit Card,True,2023-11-18T19:24:49,Basic
219,681,Standard,2021-08-31T18:36:40,2024-04-13T22:38:55,False,PayPal,False,2024-05-08T17:57:39,Standard
220,774,Standard,2021-10-27T08:40:10,2024-01-23T14:31:19,True,Credit Card,False,2024-03-11T14:21:57,Premium
221,60,Premium,2022-07-27T08:29:36,2024-04-09T20:19:18,True,Debit Card,False,2024-01-21T05:51:46,Standard
222,397,Basic,2021-08-21T12:43:36,2024-03-06T13:04:13,True,Debit Card,True,2024-07-12T00:42:27,Basic
223,67,Basic,2023-07-12T12:04:01,2023-12-08T01:48:14,True,Debit Card,True,2024-06-03T10:52:41,Basic
224,139,Standard,2023-07-19T17:43:21,2024-05-26T20:42:50,False,Credit Card,True,2023-12-01T07:05:13,Premium
225,881,Premium,2023-05-04T00:10:38,2024-06-19T05:51:50,True,PayPal,True,2024-05-20T02:21:58,Premium
226,298,Standard,2021-08-31T01:37:25,2024-08-11T21:05:27,False,PayPal,True,2024-05-24T12:47:39,Standard
227,788,Basic,2022-02-18T17:02:50,2023-12-16T23:20:07,False,PayPal,False,2024-01-24T14:01:58,Standard
228,937,Premium,2022-06-08T09:22:01,2023-12-12T06:38:34,True,Debit Card,True,2024-04-23T22:00:42,Standard
