date,prod_id,vol,amt,return_per
9/11/21,P156,973,70974.41,1.52
9/11/21,P157,113,66498.24,2.9
9/11/21,P158,279,33078.3,3.65
9/19/21,P159,379,99527.08,2.79
9/22/21,P160,112,63009.46,1.12
9/30/21,P161,579,34156.26,2.46
10/3/21,P162,507,93832.91,4.97
10/14/21,P163,761,85330.07,4.74
10/18/21,P164,395,52211.06,3.67
10/18/21,P165,227,96314.37,2.98
10/22/21,P166,621,73346.07,2.81
10/25/21,P167,550,29616.87,4.85
10/25/21,P168,854,57761.45,4.93
10/25/21,P169,414,56058.14,2.5
10/29/21,P170,507,41540.59,1.64
10/29/21,P171,447,51361.73,2.45
11/2/21,P172,535,13117.7,4.44
11/5/21,P173,247,85326.55,4
11/5/21,P174,712,32557.79,2.12
11/9/21,P175,380,31934.58,2.15
12/8/21,P176,579,25785.28,3.01
12/12/21,P177,610,28583.98,4.24
12/12/21,P178,249,36287.1,2.73
12/23/21,P179,597,78258.25,1.17
12/23/21,P180,697,17489.61,3.63
1/15/22,P181,446,22224.1,3.01
1/19/22,P182,346,87698.7,1.86
1/23/22,P183,979,92380.74,3.1
1/26/22,P184,351,51785.91,3.57
1/30/22,P185,655,84124.89,2.03
1/30/22,P186,613,78197.65,4.99
2/3/22,P187,147,52040.91,3.19
2/3/22,P188,470,75789,4.11
2/17/22,P189,269,12266.5,2.22
2/17/22,P190,217,37675.46,2.55
2/17/22,P191,151,58707.06,2.41
2/21/22,P192,118,58651.24,2.27
2/21/22,P193,993,67922.6,4.76
2/25/22,P194,961,89830.57,4.87
2/25/22,P195,374,68217.18,3.78
2/25/22,P135,717,99634.44,2.5
2/28/22,P136,685,59528.06,1.41
3/8/22,P137,316,44289.32,3.58
3/11/22,P138,129,71897.63,3.19
3/15/22,P139,333,88512.95,2.56
3/15/22,P140,212,45559.55,2.96
3/26/22,P141,867,82692.01,1.83
3/26/22,P142,286,98198.75,2.78
3/30/22,P143,694,55818.17,3.55
4/6/22,P144,389,92324.99,4.88
4/6/22,P145,287,79183.63,4.45
4/10/22,P146,567,54360.23,2.55
4/10/22,P147,232,93441.38,3.78
4/10/22,P148,987,43914.21,2.35
4/13/22,P149,188,58211.16,4.89
4/17/22,P150,121,97365.5,1.4
5/2/22,P151,895,14784.2,2.21
5/2/22,P152,405,72925.76,1.78
5/6/22,P153,343,36861.39,3.31
5/9/22,P154,730,24025.63,2.65
5/13/22,P155,722,71771.17,4.01
5/17/22,P156,954,25935.02,2.67
5/24/22,P157,394,70158.2,1.29
5/28/22,P158,240,63071.12,2.64
6/4/22,P159,438,53584.12,3.28
6/4/22,P160,881,57856.48,4.14
6/15/22,P161,751,29485.52,4.8
6/19/22,P162,766,72191.3,1.21
6/22/22,P163,959,35802.54,4.82
6/26/22,P164,289,68541.61,4.25
6/26/22,P165,216,63968.4,4.83
6/30/22,P166,551,47165.29,1.47
7/11/22,P167,709,82808.33,4.13
7/18/22,P168,293,91345.24,4.63
7/18/22,P169,218,14334.7,4.23
7/22/22,P170,671,76807.52,3.63
7/22/22,P171,314,54615.92,4.35
7/22/22,P172,380,10406.75,4.96
8/2/22,P173,743,88136.73,3.99
8/2/22,P174,113,74188.77,1.78
8/5/22,P175,188,47650.23,3.32
8/5/22,P176,535,90774.38,4.66
8/5/22,P177,969,17470.25,3.9
8/5/22,P178,371,79171.64,3.78
8/5/22,P179,798,53339.13,3.26
8/9/22,P180,781,36058.5,3.86
8/9/22,P181,678,76941.06,4.66
8/9/22,P182,163,46893.04,3.26
8/13/22,P183,814,35223.12,1.69
8/13/22,P184,575,97342.6,4.11
8/13/22,P185,120,50833.75,1.97
8/16/22,P186,211,86449.97,1.54
8/20/22,P187,573,31362.27,4.54
8/20/22,P188,114,10113.61,2.01
8/27/22,P189,361,71318.15,1.4
8/27/22,P190,866,91329.38,1.7
9/4/22,P191,756,62416.54,3.07
9/4/22,P192,674,88828.24,3.23
9/8/22,P193,134,20363.13,2.53
9/11/22,P194,247,29723.14,1.59
9/11/22,P195,973,70974.41,1.52
9/11/22,P196,113,66498.24,2.9
9/11/22,P197,279,33078.3,3.65
9/19/22,P198,379,99527.08,2.79
9/22/22,P199,112,63009.46,1.12
9/30/22,P189,579,34156.26,2.46
10/3/22,P190,507,93832.91,4.97
10/14/22,P191,761,85330.07,4.74
10/18/22,P192,395,52211.06,3.67
10/18/22,P193,227,96314.37,2.98
10/22/22,P194,621,73346.07,2.81
10/25/22,P195,550,29616.87,4.85
10/25/22,P196,854,57761.45,4.93
10/25/22,P197,414,56058.14,2.5
10/29/22,P198,507,41540.59,1.64
10/29/22,P199,447,51361.73,2.45
11/2/22,P158,535,13117.7,4.44
11/5/22,P159,247,85326.55,4
11/5/22,P160,712,32557.79,2.12
11/9/22,P161,380,31934.58,2.15
12/8/22,P162,579,25785.28,3.01
12/12/22,P163,610,28583.98,4.24
12/12/22,P164,249,36287.1,2.73
12/23/22,P165,597,78258.25,1.17
12/23/22,P166,697,17489.61,3.63
