left_master_id,left_table,right_table,left_column,right_column,intersect_count,left_intersect_ratio,right_intersect_ratio,right_master_id,ts,in_ground_truth,in_predicted
upstream_dataset$$##$$install_base$$##$$Product ID,install_base,products,Product ID,Product ID,630,0.63,1,upstream_dataset$$##$$products$$##$$Product ID,,TRUE,TRUE
upstream_dataset$$##$$inventory$$##$$Prod_ID,inventory,products,Prod_ID,Product ID,621,0.621,1,upstream_dataset$$##$$products$$##$$Product ID,,TRUE,TRUE
680$$##$$Od_Contract_ID,logistics,orders,Od_Contract_ID,Order ID,890,0.178,1,664$$##$$Order ID,,TRUE,TRUE
668$$##$$Return_ID,nps_survey,returns,Return_ID,Return_ID,627,0.627,1,669$$##$$Return_ID,,FALSE,TRUE
upstream_dataset$$##$$nps_survey$$##$$Incident ID,nps_survey,service_requests,Incident ID,SR ID,911,0.182,1,upstream_dataset$$##$$service_requests$$##$$SR ID,,TRUE,TRUE
673$$##$$Product ID,products,orders,Product ID,Product ID,994,1,0.994,664$$##$$Product ID,,TRUE,TRUE
676$$##$$Od ID,renewals,orders,Od ID,Order ID,906,0.181,1,664$$##$$Order ID,,TRUE,TRUE
669$$##$$R Order ID,returns,orders,R Order ID,Order ID,925,0.185,1,664$$##$$Order ID,,TRUE,TRUE
upstream_dataset$$##$$service_requests$$##$$Sales Ord ID,service_requests,orders,Sales Ord ID,Order ID,3223,0.645,1,upstream_dataset$$##$$orders$$##$$Order ID,,TRUE,FALSE
673$$##$$Product ID,products,prob_statement_issue,Product ID,Pd_ID,628,1,0.628,679$$##$$Pd_ID,,TRUE,TRUE
upstream_dataset$$##$$prob_statement_issue$$##$$SR ID,prob_statement_issue,service_requests,SR ID,SR ID,890,0.178,1,upstream_dataset$$##$$service_requests$$##$$SR ID,,TRUE,TRUE
665$$##$$P_ID,product_feature,products,P_ID,Product ID,644,0.644,1,673$$##$$Product ID,,TRUE,TRUE
upstream_dataset$$##$$product_hierarchy$$##$$Product ID,product_hierarchy,products,Product ID,Product ID,631,0.631,1,upstream_dataset$$##$$products$$##$$Product ID,,TRUE,TRUE
673$$##$$Product ID,products,renewals,Product ID,Pr ID,646,1,0.646,676$$##$$Pr ID,,TRUE,TRUE
669$$##$$Product ID,returns,products,Product ID,Product ID,642,0.642,1,673$$##$$Product ID,,TRUE,TRUE
upstream_dataset$$##$$products$$##$$Product ID,products,service_requests,Product ID,Prod ID,993,1,0.993,upstream_dataset$$##$$service_requests$$##$$Prod ID,,TRUE,TRUE
upstream_dataset$$##$$returns$$##$$SR ID,returns,service_requests,SR ID,SR ID,1000,0.2,1,upstream_dataset$$##$$service_requests$$##$$SR ID,,TRUE,TRUE
